"wt","age","afb"
2.884875,27,17
2.884875,27,18
2.884875,27,Inf
2.884875,22,16
2.884875,24,Inf
2.884875,48,20
2.884875,49,26
2.884875,28,Inf
2.884875,40,Inf
2.884875,47,Inf
2.884875,32,Inf
2.884875,16,Inf
2.884875,48,41
2.884875,29,18
2.884875,43,13
2.884875,15,Inf
2.884875,28,19
2.884875,33,19
2.884875,45,23
2.884875,26,20
4.311268,38,11
4.311268,17,Inf
4.311268,22,Inf
4.311268,21,Inf
4.311268,28,27
4.311268,43,24
4.311268,38,18
4.311268,22,Inf
4.311268,17,Inf
4.311268,18,Inf
4.311268,22,Inf
4.311268,41,17
3.22947,39,25
3.22947,21,19
3.22947,24,Inf
3.22947,30,23
3.22947,19,Inf
3.22947,32,21
3.22947,31,21
3.22947,35,21
3.22947,45,39
3.22947,23,Inf
3.22947,40,37
3.22947,29,20
3.22947,21,Inf
3.22947,31,18
3.22947,27,24
3.22947,41,Inf
3.22947,20,12
3.22947,35,25
3.22947,26,25
3.22947,33,29
3.22947,30,Inf
3.22947,36,28
3.22947,34,32
3.22947,31,Inf
3.22947,35,17
3.22947,17,Inf
3.22947,42,Inf
5.652551,33,Inf
5.652551,24,Inf
5.652551,42,34
5.652551,28,Inf
5.652551,35,Inf
5.652551,32,16
5.652551,34,32
5.652551,18,Inf
5.652551,47,Inf
5.652551,36,Inf
5.652551,26,Inf
5.652551,46,16
5.652551,24,17
5.652551,26,Inf
5.652551,35,22
5.652551,27,17
5.652551,42,22
5.652551,20,Inf
5.652551,38,30
5.652551,35,33
5.652551,45,24
5.652551,27,Inf
5.652551,20,Inf
5.652551,27,26
2.782525,45,24
2.782525,15,Inf
2.782525,47,28
2.782525,25,Inf
2.782525,16,Inf
2.782525,34,24
2.782525,35,23
2.782525,20,Inf
2.782525,34,22
2.782525,42,29
2.782525,47,21
2.782525,17,Inf
2.782525,17,Inf
2.782525,18,Inf
2.782525,34,Inf
2.782525,23,Inf
2.782525,34,30
2.782525,42,20
2.782525,38,Inf
2.782525,41,29
3.00823,37,16
3.00823,20,Inf
3.00823,18,Inf
3.00823,19,18
3.00823,34,Inf
3.00823,25,Inf
3.00823,25,Inf
3.00823,30,15
3.00823,40,15
3.00823,20,Inf
3.00823,18,Inf
3.00823,27,23
3.00823,43,18
3.00823,20,Inf
3.00823,17,Inf
3.00823,44,23
3.00823,48,22
3.00823,15,Inf
3.00823,39,Inf
3.00823,22,Inf
3.00823,32,25
3.00823,43,Inf
3.00823,31,26
3.00823,28,15
3.00823,26,21
3.00823,23,Inf
3.00823,20,Inf
3.00823,15,Inf
3.00823,43,17
3.00823,26,17
3.00823,20,Inf
3.00823,21,Inf
3.00823,35,20
3.00823,38,23
3.00823,15,Inf
3.42911,47,26
3.42911,29,15
3.42911,42,17
3.42911,25,Inf
3.42911,26,Inf
3.42911,27,27
3.42911,22,Inf
3.42911,31,Inf
3.42911,39,Inf
3.42911,25,Inf
3.42911,23,Inf
3.42911,23,18
3.42911,31,Inf
3.42911,25,Inf
3.42911,15,Inf
3.42911,25,18
3.42911,26,22
3.42911,40,Inf
3.42911,20,20
3.42911,26,16
3.42911,30,17
3.42911,33,Inf
3.42911,19,Inf
3.42911,38,19
3.42911,19,Inf
3.42911,43,31
3.42911,47,16
3.42911,22,Inf
4.46254,22,Inf
4.46254,16,Inf
4.46254,26,Inf
4.46254,19,Inf
4.46254,32,Inf
4.46254,29,23
4.46254,20,Inf
4.46254,43,29
4.46254,41,Inf
4.46254,17,Inf
4.46254,45,Inf
4.46254,18,Inf
4.46254,23,22
4.46254,39,Inf
4.46254,39,24
4.46254,22,17
4.46254,24,22
4.46254,39,27
4.46254,30,20
4.46254,30,28
4.46254,25,23
4.46254,21,Inf
4.46254,21,Inf
4.46254,49,24
4.46254,18,Inf
4.46254,29,Inf
4.46254,38,29
4.46254,34,19
4.46254,39,23
4.46254,15,Inf
4.600557,45,18
4.600557,16,Inf
4.600557,29,Inf
4.600557,32,32
4.600557,23,20
4.600557,46,17
4.600557,28,26
4.600557,24,Inf
4.600557,19,Inf
4.600557,36,22
4.600557,30,25
4.600557,30,19
4.600557,49,26
4.600557,36,18
4.600557,20,Inf
4.600557,16,Inf
4.600557,22,13
4.600557,31,18
4.600557,36,23
4.600557,36,21
4.600557,39,27
4.600557,27,19
4.600557,22,19
4.600557,26,23
4.600557,26,Inf
4.600557,26,Inf
4.600557,39,36
4.600557,25,16
4.600557,22,21
4.600557,18,Inf
4.600557,18,Inf
4.600557,33,21
4.600557,24,18
4.600557,30,22
4.600557,17,Inf
4.600557,26,23
4.600557,38,18
4.600557,19,Inf
4.600557,26,23
4.600557,18,Inf
4.600557,26,24
4.600557,22,Inf
4.600557,17,16
4.600557,30,Inf
4.600557,30,27
4.600557,23,Inf
4.600557,29,27
4.600557,41,23
4.600557,18,Inf
4.600557,27,17
2.701011,31,16
2.701011,15,Inf
2.701011,49,22
2.701011,37,36
2.701011,42,20
2.701011,19,Inf
2.701011,17,Inf
2.701011,47,21
2.701011,21,Inf
2.701011,20,15
2.701011,44,17
2.701011,36,Inf
2.701011,21,21
2.701011,17,Inf
2.701011,37,22
2.701011,48,22
2.701011,21,Inf
2.701011,44,24
2.701011,25,Inf
2.701011,24,Inf
2.701011,34,26
2.701011,46,20
2.701011,23,Inf
2.701011,18,Inf
2.701011,34,23
2.701011,19,Inf
2.701011,28,17
2.701011,41,26
2.701011,48,23
2.701011,37,19
2.701011,32,28
2.701011,49,21
2.701011,35,Inf
2.701011,35,Inf
2.701011,23,Inf
2.701011,22,Inf
2.701011,16,Inf
2.701011,40,24
2.701011,26,14
2.701011,38,22
2.701011,16,Inf
2.701011,44,Inf
2.701011,30,22
2.701011,27,26
2.701011,29,20
2.701011,41,17
2.701011,23,22
5.886755,48,28
5.886755,18,Inf
5.886755,35,21
5.886755,33,19
5.886755,42,18
5.886755,15,Inf
5.886755,32,21
5.886755,47,23
5.886755,46,20
5.886755,22,Inf
5.886755,35,Inf
5.886755,24,17
5.886755,33,20
5.886755,42,21
5.886755,21,Inf
5.886755,18,Inf
5.886755,16,Inf
5.886755,36,20
5.886755,16,Inf
5.886755,30,28
5.886755,17,Inf
5.886755,49,15
5.886755,17,Inf
5.886755,15,Inf
5.886755,29,Inf
5.886755,26,26
5.886755,20,18
5.886755,17,Inf
5.886755,22,15
3.706178,31,Inf
3.706178,22,Inf
3.706178,19,Inf
3.706178,23,20
3.706178,28,Inf
3.706178,24,21
3.706178,20,18
3.706178,41,17
3.706178,23,Inf
3.706178,17,Inf
3.706178,49,16
3.706178,24,Inf
3.706178,17,Inf
3.706178,20,Inf
3.706178,21,15
