"space_mo","urban_rural","Freq"
"2","urban",0
"6","urban",0.980749
"7","urban",4.624349
"8","urban",1.586373
"9","urban",14.688155
"10","urban",10.502548
"11","urban",24.226701
"12","urban",34.223374
"13","urban",39.480682
"14","urban",65.938903
"15","urban",75.075926
"16","urban",56.321116
"17","urban",58.111507
"18","urban",83.00768
"19","urban",90.062555
"20","urban",97.353424
"21","urban",92.814126
"22","urban",133.275138
"23","urban",206.547916
"24","urban",174.520987
"25","urban",171.267581
"26","urban",167.229833
"27","urban",190.634752
"28","urban",155.766983
"29","urban",162.505333
"30","urban",135.927441
"31","urban",135.532771
"32","urban",168.491906
"33","urban",131.58889
"34","urban",105.019897
"35","urban",111.234252
"36","urban",141.427586
"37","urban",93.735455
"38","urban",92.005286
"39","urban",76.775972
"40","urban",94.560142
"41","urban",86.761102
"42","urban",60.781306
"43","urban",82.647972
"44","urban",72.613223
"45","urban",82.715198
"46","urban",67.370603
"47","urban",54.659592
"48","urban",57.643662
"49","urban",59.748239
"50","urban",56.356463
"51","urban",42.880025
"52","urban",40.155511
"53","urban",49.072172
"54","urban",45.641858
"55","urban",41.820111
"56","urban",38.638222
"57","urban",53.074691
"58","urban",30.221873
"59","urban",40.148739
"60","urban",55.695708
"61","urban",44.014793
"62","urban",27.020437
"63","urban",44.874344
"64","urban",31.678906
"65","urban",26.541272
"66","urban",21.572629
"67","urban",17.597658
"68","urban",20.514734
"69","urban",12.947396
"70","urban",29.932626
"71","urban",25.28893
"72","urban",26.185
"73","urban",11.136541
"74","urban",12.30073
"75","urban",8.880542
"76","urban",24.657451
"77","urban",13.826375
"78","urban",9.999784
"79","urban",15.54424
"80","urban",12.605213
"81","urban",7.498233
"82","urban",19.435267
"83","urban",5.959436
"84","urban",9.949455
"85","urban",9.368334
"86","urban",10.132661
"87","urban",8.601771
"88","urban",8.498109
"89","urban",7.617459
"90","urban",1.627045
"91","urban",3.914573
"92","urban",4.080066
"93","urban",0.78166
"94","urban",2.421352
"95","urban",7.130276
"96","urban",5.208858
"97","urban",10.768623
"98","urban",2.936707
"99","urban",9.228477
"100","urban",3.857801
"101","urban",3.65703
"102","urban",0.944555
"103","urban",6.032399
"104","urban",10.11489
"105","urban",1.663545
"106","urban",3.796848
"107","urban",7.481191
"108","urban",0.684762
"109","urban",6.022562
"110","urban",0.738081
"111","urban",3.425638
"112","urban",9.189714
"113","urban",6.284833
"114","urban",7.210676
"115","urban",0.553318
"116","urban",0.697938
"117","urban",0
"118","urban",5.410607
"119","urban",0.59233
"120","urban",3.091069
"121","urban",7.001898
"122","urban",1.056018
"123","urban",2.244501
"124","urban",1.551138
"125","urban",6.83131
"126","urban",4.787689
"127","urban",4.769387
"128","urban",0.517115
"129","urban",4.553613
"130","urban",0
"131","urban",0.575118
"132","urban",0
"133","urban",0.517115
"134","urban",2.644468
"135","urban",0.590223
"136","urban",0.575118
"137","urban",4.378431
"139","urban",7.283691
"140","urban",0
"141","urban",0.553318
"142","urban",0
"143","urban",5.661336
"144","urban",1.826959
"145","urban",1.30517
"146","urban",0.684762
"147","urban",0
"148","urban",1.56305
"150","urban",0
"151","urban",0.517115
"152","urban",0.575118
"153","urban",0
"155","urban",0
"156","urban",0.830913
"158","urban",2.411119
"159","urban",0.244107
"164","urban",4.553613
"166","urban",0
"171","urban",0
"174","urban",0.943001
"175","urban",0
"178","urban",5.886755
"182","urban",0
"184","urban",0
"185","urban",0
"191","urban",0
"196","urban",0.712968
"198","urban",0.244107
"203","urban",4.600557
"206","urban",0
"207","urban",0.4623
"211","urban",0
"212","urban",0
"220","urban",0
"241","urban",0
"270","urban",0
"2","rural",0.461302
"6","rural",4.135013
"7","rural",3.998761
"8","rural",15.862718
"9","rural",17.223907
"10","rural",28.292598
"11","rural",39.397145
"12","rural",80.129309
"13","rural",68.542076
"14","rural",86.953624
"15","rural",97.768522
"16","rural",118.857021
"17","rural",158.449654
"18","rural",183.489235
"19","rural",184.055069
"20","rural",216.481492
"21","rural",250.406276
"22","rural",315.418621
"23","rural",312.844728
"24","rural",343.252896
"25","rural",425.249163
"26","rural",361.910914
"27","rural",370.121666
"28","rural",315.840673
"29","rural",318.658352
"30","rural",288.889461
"31","rural",282.698589
"32","rural",279.265716
"33","rural",280.301323
"34","rural",264.309202
"35","rural",213.542583
"36","rural",228.587778
"37","rural",202.247808
"38","rural",183.470746
"39","rural",143.628934
"40","rural",146.40704
"41","rural",151.743451
"42","rural",128.177584
"43","rural",130.52932
"44","rural",116.858805
"45","rural",89.845507
"46","rural",104.72164
