"wt","age","afb"
2.661436,19,16
2.661436,31,20
2.661436,31,17
2.661436,33,30
2.661436,18,Inf
2.661436,44,17
2.661436,22,16
2.661436,23,Inf
2.661436,37,18
2.661436,45,26
2.661436,19,19
2.661436,20,17
2.661436,21,Inf
2.661436,18,Inf
2.661436,15,Inf
2.661436,26,22
2.661436,27,24
2.661436,30,16
2.661436,34,15
2.661436,20,Inf
2.661436,19,Inf
2.661436,15,Inf
2.661436,28,12
2.661436,19,15
2.661436,20,Inf
2.904048,38,Inf
2.904048,38,36
2.904048,22,Inf
2.904048,44,29
2.904048,28,27
2.904048,31,24
2.904048,43,Inf
2.904048,42,21
2.904048,49,22
2.904048,18,Inf
2.904048,17,Inf
2.904048,17,Inf
2.904048,35,27
2.904048,35,Inf
2.904048,21,16
2.904048,20,Inf
2.904048,20,Inf
2.904048,40,24
2.904048,20,Inf
2.904048,27,23
2.904048,31,29
2.904048,20,Inf
2.904048,29,21
2.904048,19,Inf
2.904048,34,15
2.904048,41,27
2.904048,33,Inf
2.904048,25,17
2.904048,49,21
2.904048,19,Inf
2.904048,22,Inf
2.904048,16,Inf
2.341154,19,Inf
2.341154,47,20
2.341154,26,Inf
2.341154,30,12
2.341154,17,Inf
2.341154,44,25
2.341154,18,Inf
2.341154,33,20
2.341154,32,20
2.341154,34,Inf
2.341154,16,Inf
2.341154,30,25
2.341154,22,Inf
2.341154,19,Inf
2.341154,16,Inf
2.341154,19,Inf
2.341154,24,Inf
2.341154,40,24
2.341154,19,Inf
2.341154,30,Inf
2.341154,19,Inf
2.341154,19,Inf
2.341154,16,Inf
2.341154,16,Inf
2.341154,43,20
2.341154,16,Inf
2.341154,21,Inf
2.341154,18,Inf
2.341154,45,22
2.341154,20,Inf
2.341154,23,20
2.341154,24,Inf
2.341154,22,Inf
2.341154,37,16
2.806745,23,18
2.806745,25,18
2.806745,48,24
2.806745,22,Inf
2.806745,28,18
2.806745,32,Inf
2.806745,37,30
2.806745,28,Inf
2.806745,16,Inf
2.806745,28,Inf
2.806745,38,20
2.806745,16,Inf
2.806745,38,16
2.806745,25,23
2.806745,25,25
2.806745,44,23
2.806745,22,Inf
2.806745,30,27
2.806745,17,Inf
2.806745,28,18
2.806745,20,17
3.05451,18,Inf
3.05451,30,13
3.05451,16,Inf
3.05451,20,17
3.05451,32,17
3.05451,29,15
3.05451,41,19
3.05451,21,13
3.05451,20,Inf
3.05451,29,29
3.05451,23,12
3.05451,35,20
3.05451,32,13
3.05451,16,Inf
3.05451,18,Inf
3.05451,35,17
3.05451,18,Inf
3.05451,34,13
3.05451,18,Inf
3.05451,34,20
3.05451,46,19
3.05451,16,Inf
3.05451,20,Inf
3.05451,25,21
3.05451,18,Inf
3.05451,17,17
3.05451,18,Inf
3.05451,27,Inf
3.05451,35,20
3.05451,44,32
3.05451,15,Inf
3.05451,15,Inf
3.05451,16,Inf
3.05451,25,19
2.997096,30,22
2.997096,30,24
2.997096,32,19
2.997096,39,31
2.997096,42,21
2.997096,22,19
2.997096,29,16
2.997096,47,13
2.997096,27,Inf
2.997096,31,21
2.997096,17,Inf
2.997096,20,19
2.997096,45,21
2.997096,24,22
2.997096,29,24
2.997096,29,12
2.997096,19,Inf
2.997096,25,20
2.997096,28,18
2.997096,30,19
2.997096,38,12
2.997096,26,21
2.146131,17,Inf
2.146131,15,Inf
2.146131,25,Inf
2.146131,42,17
2.146131,23,21
2.146131,34,12
2.146131,43,16
2.146131,27,21
2.146131,15,Inf
2.146131,16,Inf
2.146131,19,Inf
2.146131,15,Inf
2.146131,19,Inf
2.146131,19,Inf
2.146131,15,Inf
2.146131,44,14
2.146131,27,16
2.146131,18,Inf
2.146131,34,20
2.146131,38,18
2.146131,19,Inf
2.146131,17,Inf
2.146131,47,29
2.146131,20,Inf
2.146131,19,Inf
2.146131,18,Inf
2.146131,35,21
2.146131,17,Inf
2.146131,24,19
2.146131,36,21
2.146131,16,Inf
2.146131,28,22
2.146131,39,36
2.146131,22,21
2.146131,39,20
2.146131,19,Inf
2.146131,25,13
2.146131,49,16
2.146131,27,22
3.060399,47,36
3.060399,19,Inf
3.060399,35,Inf
3.060399,24,23
3.060399,18,Inf
3.060399,17,Inf
3.060399,41,22
3.060399,19,Inf
3.060399,29,24
3.060399,37,19
3.060399,31,23
3.060399,19,Inf
3.060399,32,23
3.060399,22,21
3.060399,29,19
3.060399,20,Inf
3.060399,40,20
3.060399,32,24
3.060399,26,Inf
3.060399,31,18
3.060399,47,21
3.060399,29,26
3.060399,42,24
4.152206,24,24
4.152206,26,12
4.152206,30,20
4.152206,24,16
4.152206,32,30
4.152206,25,17
