"age","parity","Freq","percentage"
"15-19","0",2576.11493400002,17.316091587206
"20-24","0",934.265647999997,6.27993313265277
"25-29","0",309.506184,2.0804341290118
"30-34","0",188.986323,1.27032549464552
"35-39","0",117.744098,0.791450551336676
"40-44","0",54.949483,0.369358629050055
"45-49","0",33.457337,0.224893037228133
"15-19","1",527.981411,3.54897770613917
"20-24","1",938.716002999997,6.30984746363175
"25-29","1",508.140189,3.4156092710513
"30-34","1",286.81416,1.9279032148445
"35-39","1",162.925492,1.09515018298581
"40-44","1",122.398315,0.822735198917826
"45-49","1",71.879941,0.48316153336618
"15-19","2",91.757521,0.616774359125301
"20-24","2",584.537595,3.92913623441036
"25-29","2",569.033178,3.82491887157657
"30-34","2",444.774405000001,2.9896780733561
"35-39","2",263.829754,1.77340697163708
"40-44","2",159.339404,1.07104526925381
"45-49","2",90.827885,0.610525545492685
"15-19","3",3.679853,0.0247351819340271
"20-24","3",207.92248,1.39761027708828
"25-29","3",501.292425000001,3.36958007141173
"30-34","3",480.216741,3.22791384775441
"35-39","3",335.32468,2.25398051682212
"40-44","3",218.96427,1.47183081919344
"45-49","3",128.432329,0.863294545740232
"15-19","4",0.940135,0.0063193856568582
"20-24","4",43.578168,0.292923090632044
"25-29","4",309.300112,2.07904895726405
"30-34","4",476.256088,3.20129118849803
"35-39","4",348.422787,2.34202318038405
"40-44","4",221.285892,1.48743626390877
"45-49","4",134.921079,0.906910530339187
"15-19","5",0,0
"20-24","5",2.917381,0.0196100088253183
"25-29","5",97.793469,0.657346705880545
"30-34","5",280.268179,1.88390253574898
"35-39","5",321.834667,2.1633035452563
"40-44","5",235.039741,1.5798866844305
"45-49","5",151.522056,1.01849873410102
"15-19","6",0,0
"20-24","6",0.890036,0.00598263093331005
"25-29","6",27.024129,0.18165039403031
"30-34","6",174.37408,1.17210513392209
"35-39","6",388.395205,2.61070919354082
"40-44","6",449.548573,3.02176900581009
"45-49","6",298.876119,2.00898111397411
