year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950,11.262,176.692,309.382,319.605,288.706,227.104,145.144,42.646
1951,11.261,176.769,309.316,319.472,288.744,227.319,145.169,42.672
1952,11.253,176.698,309.136,319.224,288.595,227.438,145.122,42.683
1953,11.402,176.567,308.982,319.013,288.381,227.568,145.072,42.701
1954,11.694,176.607,308.771,318.745,288.15,227.731,144.98,42.715
1955,11.992,176.746,308.451,318.36,287.895,227.845,144.825,42.718
1956,12.361,177.446,308.184,318.036,287.693,227.893,144.686,42.727
1957,12.809,177.994,307.956,317.77,287.538,227.872,144.559,42.741
1958,13.41,178.598,308.192,317.977,287.805,228.089,144.634,42.814
1959,14.667,180.775,308.668,316.377,286.42,227.044,144.052,42.64
1960,15.735,185.264,312.773,318.467,288.376,228.732,145.229,42.962
1961,16.075,188.808,314.682,318.315,288.299,228.789,145.184,42.981
1962,16.74,191.301,316.867,320.129,287.818,228.497,144.729,42.931
1963,17.295,194.352,319.192,322.1,287.474,228.296,144.172,42.897
1964,17.436,194.358,321.41,324.792,287.316,229.513,144.261,42.935
1965,17.343,190.978,323.488,326.407,288.323,231.68,145.102,43.178
1966,17.221,187.541,325.519,327.922,289.244,233.767,145.886,43.282
1967,17.294,188.271,326.629,328.431,289.283,235.133,146.204,43.161
1968,17.52,190.056,326.099,329.447,289.513,236.655,146.601,42.997
1969,18.385,190.431,324.69,331.041,290.857,237.649,146.372,43.017
1970,18.119,188.54,323.356,333.074,292.574,238.952,146.322,43.165
1971,18.421,190.188,319.155,332.929,294.95,239.853,145.997,43.23
1972,18.191,191.975,315.113,332.663,297.287,240.701,145.621,43.274
1973,18.089,197.521,320.713,327.977,295.667,238.333,143.293,42.695
1974,17.961,201.997,321.035,329.163,294.192,235.102,140.196,42.772
1975,18.338,202.189,318.781,328.552,292.068,234.579,141.731,42.295
1976,19.086,205.936,314.285,327.078,288.737,232.566,142.098,41.981
1977,19.527,200.537,319.19,324.889,285.758,229.304,141.005,41.558
1978,19.563,199.205,316.422,319.019,277.334,222.435,135.158,40.795
1979,19.932,198.113,312.449,316.534,275.384,222.666,136.296,39.982
1980,20.309,194.216,307.233,314.225,275.751,224.375,138.405,39.374
1981,20.627,190.892,301.144,311.075,275.606,226.135,140.851,38.675
1982,20.429,184.768,298.231,309.127,275.008,227.609,141.19,38.614
1983,19.277,178.213,296.449,307.521,274.073,226.97,139.232,38.891
1984,18.378,176.88,294.999,304.061,271.646,225.862,137.258,38.781
1985,17.105,172.243,292.506,299.938,269.492,225.064,137.397,38.683
1986,16.48,170.637,286.766,294.564,267.505,224.046,137.521,38.241
1987,15.986,171.826,281.689,289.483,264.476,220.572,134.382,38.062
1988,15.152,161.291,275.623,285.688,266.492,217.658,130.542,39.349
1989,14.346,160.063,269.167,282.56,262.549,213.816,125.974,39.696
1990,14.308,159.914,268.388,277.468,255.707,207.151,120.277,39.455
1991,13.898,155.133,265.507,275.039,250.203,200.478,117.542,39.084
1992,13.54,151.067,262.523,271.092,244.62,193.59,111.103,38.27
1993,12.716,143.964,255.344,269.047,240.431,187.999,108.09,37.302
1994,12.426,137.702,245.324,268.316,236.133,184.105,106.523,36.196
1995,12.039,138.355,242.252,265.158,232.521,181.197,103.264,34.514
1996,11.723,135.013,240.974,262.768,230.245,178.975,100.167,33.18
1997,11.144,135.68,241.014,258.735,228.895,177.79,98.637,31.163
1998,10.812,135.999,242.178,254.164,227.316,176.793,97.335,29.075
1999,10.811,134.861,237.228,251.795,227.74,178.574,95.123,27.588
2000,10.956,138.56,235.936,251.565,227.04,174.882,91.529,26.616
2001,11.305,139.284,234.494,249.547,224.913,170.192,87.492,25.559
2002,11.028,139.304,230.949,247.71,222.911,168.026,84.848,24.81
2003,10.835,137.981,228.434,244.779,221.348,165.875,81.903,24.399
2004,10.97,135.625,225.98,241.351,220.73,166.185,81.861,23.662
2005,10.908,133.791,225.506,240.234,220.526,165.32,81.111,23.195
2006,10.357,134.463,223.338,237.747,217.817,163.028,80.959,22.491
2007,9.95,132.849,222.157,235.362,216.65,161.173,81.039,21.813
2008,9.62,129.776,222.633,232.162,214.196,161.129,81.128,20.934
2009,8.872,128.396,223.174,230.847,212.334,161.808,81.591,20.17
2010,7.963,128.816,223.696,229.539,209.036,159.696,81.679,19.434
2011,7.372,122.921,223.124,227.746,209.94,159.491,81.141,18.996
2012,6.735,120.393,220.622,225.608,209.998,158.439,80.195,18.504
2013,6.218,118.623,218.741,223.309,208.775,157.428,78.536,18.239
2014,5.969,117.527,217.08,220.317,206.378,155.503,76.398,17.633
2015,5.459,116.181,214.655,216.487,203.5,148.741,73.427,17.272
2016,5.015,113.001,213.723,212.966,200.188,143.264,71.015,16.751
2017,4.582,106.786,209.895,211.197,194.632,140.876,68.623,16.203
2018,4.101,102.061,202.545,206.463,188.146,135.89,65.343,15.606
2019,3.687,99.014,198.706,205.476,185.447,133.975,63.817,15.031
2020,3.275,96.903,194.723,204.497,183.248,132.601,62.885,14.331
2021,3.111,94.609,192.327,203.126,181.084,131.482,62.382,13.707
2022,3.041,93.194,190.123,200.616,178.573,129.398,61.076,12.884
2023,2.958,92.085,188.028,198.086,175.841,126.928,59.171,12.251
