"space_mo","urban_rural","Freq"
"9","urban",1.416425
"10","urban",55.041614
"11","urban",103.479531
"12","urban",107.556913
"13","urban",95.267291
"14","urban",111.804788
"15","urban",103.415329
"16","urban",132.514737
"17","urban",164.368973
"18","urban",154.27989
"19","urban",196.077688
"20","urban",195.417899
"21","urban",230.199003
"22","urban",263.588402
"23","urban",206.373311
"24","urban",242.256411
"25","urban",295.49887
"26","urban",264.226328
"27","urban",281.421097
"28","urban",269.251297
"29","urban",218.672828
"30","urban",262.768743
"31","urban",233.558735
"32","urban",259.827534
"33","urban",260.363361
"34","urban",217.748747
"35","urban",194.528948
"36","urban",222.437557
"37","urban",179.783161
"38","urban",229.895464
"39","urban",196.407493
"40","urban",202.148062
"41","urban",209.659894
"42","urban",166.893455
"43","urban",166.636918
"44","urban",136.488792
"45","urban",140.286632
"46","urban",142.399775
"47","urban",96.751867
"48","urban",134.469658
"49","urban",115.471078
"50","urban",142.062423
"51","urban",122.917371
"52","urban",116.944028
"53","urban",134.883653
"54","urban",104.270614
"55","urban",91.088709
"56","urban",82.295234
"57","urban",107.555856
"58","urban",73.548606
"59","urban",75.562542
"60","urban",70.298508
"61","urban",80.658761
"62","urban",104.239688
"63","urban",83.240652
"64","urban",69.065519
"65","urban",68.857239
"66","urban",51.081162
"67","urban",64.447668
"68","urban",73.095649
"69","urban",56.771286
"70","urban",33.406148
"71","urban",65.708759
"72","urban",55.648583
"73","urban",60.908797
"74","urban",35.816067
"75","urban",52.590284
"76","urban",56.238756
"77","urban",59.605202
"78","urban",32.802407
"79","urban",34.201657
"80","urban",45.624668
"81","urban",28.016492
"82","urban",55.128246
"83","urban",21.801766
"84","urban",38.164666
"85","urban",57.74417
"86","urban",44.993809
"87","urban",39.885318
"88","urban",16.642878
"89","urban",15.339509
"90","urban",20.034426
"91","urban",15.390033
"92","urban",33.215537
"93","urban",20.748662
"94","urban",15.011594
"95","urban",17.318356
"96","urban",33.029471
"97","urban",20.334795
"98","urban",33.082998
"99","urban",15.364516
"100","urban",25.395898
"101","urban",11.831488
"102","urban",7.110569
"103","urban",13.186974
"104","urban",17.426417
"105","urban",14.127967
"106","urban",13.541699
"107","urban",4.011193
"108","urban",7.98623
"109","urban",10.754125
"110","urban",7.389756
"111","urban",11.634213
"112","urban",11.907433
"113","urban",7.990369
"114","urban",15.246084
"115","urban",13.199323
"116","urban",13.23668
"117","urban",17.019882
"118","urban",8.972406
"119","urban",12.377195
"120","urban",11.915442
"121","urban",3.098454
"122","urban",22.11594
"123","urban",13.208174
"124","urban",4.319062
"125","urban",5.326364
"126","urban",18.434299
