rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-20.6072905054898,0.2324532408830044,-88.65133661810987,4.986394885827124e-166
"age_grp(18,20]",17.379714730896364,1.060053448537515,16.39513059919195,3.2668242406128525e-39
"age_grp(20,25]",17.370315842013458,0.6549203960086392,26.522789560190034,2.3623012654559222e-68
"age_grp(25,35]",16.23172726864918,0.7232661788600162,22.442259493224185,3.0799315399169096e-57
"age_grp(35,50]",17.31228370717553,1.0806967811109287,16.019557020775935,4.790639895137743e-38
prior_userTRUE,-0.7684820370556855,0.6972514677321728,-1.1021590812210003,0.2716785302773963
"age_grp(18,20]:prior_userTRUE",-16.592075098349085,1.3734018300744293,-12.081005525855389,9.40618796051284e-26
"age_grp(20,25]:prior_userTRUE",-16.936262337069248,1.120851804713925,-15.110170912729973,3.2842977590754487e-35
"age_grp(25,35]:prior_userTRUE",-15.51540049137319,1.0199097212245212,-15.212523391526393,1.5724033367551656e-35
"age_grp(35,50]:prior_userTRUE",3.482584755655486,1.7183536590510535,2.0266984839306676,0.04398208984183871
