rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-3.2997380034846837,0.15017820898178508,-21.972149127739996,2.3712477737694514e-75
"ns(age, knots = c(25, 40))1",-0.7327431403125849,0.23457427153552118,-3.1237148708426314,0.0018896475928662176
"ns(age, knots = c(25, 40))2",0.10498064188081892,0.32739710028054014,0.320652326458796,0.7486081161385515
"ns(age, knots = c(25, 40))3",-3.3186943819424597,0.2738536011975386,-12.118498232011886,8.284923929853308e-30
prior_userTRUE,3.5224428140765167,0.356262256771138,9.88721860687961,3.59556121365445e-21
edu.levelPrimary,0.6101169275079242,0.10798933464507,5.649788745464575,2.7028927682815023e-8
edu.levelSecondary,0.7990672428948592,0.11072858666658734,7.2164494007397995,1.998040255237644e-12
parity,0.20309861328651035,0.024927437638456937,8.147592874655471,3.006385504734778e-15
urban,0.08228229360608794,0.10688006109997754,0.7698563488761444,0.44174939459778106
wealthquintile,0.10415153679164958,0.044530023763529776,2.338905933325596,0.019734059186572454
"ns(age, knots = c(25, 40))1:prior_userTRUE",-0.07240112539274288,0.39550854501368454,-0.18305830886722765,0.8548266201218091
"ns(age, knots = c(25, 40))2:prior_userTRUE",-1.0536354612421466,0.9787466916901804,-1.0765149657084838,0.28221719077566465
"ns(age, knots = c(25, 40))3:prior_userTRUE",2.6972759398715946,0.4286065513761811,6.2931281176433504,6.816558896386343e-10
