rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-3.7524005632973254,0.6247336007599438,-6.006401062361298,4.133921870488657e-9
"ns(age, knots = c(25, 40))1",-1.1298803474858323,0.8203797206510932,-1.3772650871831698,0.16916911611402358
"ns(age, knots = c(25, 40))2",1.0815126360083314,1.8720456708144402,0.5777170145308557,0.5637669981947402
"ns(age, knots = c(25, 40))3",0.49057189265648143,1.1074706234510576,0.44296605460087063,0.6580199890342588
prior_userTRUE,1.7083124983818905,1.1995277368039836,1.424154228341156,0.15514969747101992
edu.levelPrimary,0.11074141892954104,0.33867715305311935,0.3269822541356132,0.7438453755626266
edu.levelSecondary,0.7401934040000732,0.36903127554145915,2.0057741797467665,0.04552584238576923
parity,0.15383461267789383,0.08206020027970175,1.874655583992598,0.061538918540379274
urban,-0.035417655856006654,0.32944000017744207,-0.10750866876192962,0.9144371540245085
wealthquintile,0.15655637878024306,0.11625002216965404,1.3467212810657907,0.1788014860759324
"ns(age, knots = c(25, 40))1:prior_userTRUE",1.1010230489298711,1.4823908041532368,0.7427346728306181,0.4580605253481328
"ns(age, knots = c(25, 40))2:prior_userTRUE",-2.4721338769642496,3.63666073157101,-0.6797812772312986,0.4970201473669055
"ns(age, knots = c(25, 40))3:prior_userTRUE",0.10094221637046093,2.326548622829629,0.04338710800193443,0.9654137217408562
