year,cpr,mcpr
1990,13.6,3.8
1991,14.2,4.2
1992,14.9,4.7
1993,15.6,5.2
1994,16.3,5.8
1995,17.0,6.5
1996,17.7,7.3
1997,18.4,8.1
1998,19.0,9.0
1999,19.3,9.7
2000,19.5,10.3
2001,19.6,10.9
2002,19.7,11.5
2003,19.8,12.0
2004,19.9,12.6
2005,20.0,13.1
2006,20.0,13.6
2007,20.1,13.8
2008,20.1,14.0
2009,20.1,14.2
2010,20.2,14.4
2011,20.2,14.6
2012,20.3,14.9
2013,20.6,15.6
2014,21.1,16.4
2015,21.6,17.2
2016,22.2,18.1
2017,23.2,19.2
2018,23.8,19.6
2019,24.5,20.1
2020,25.2,20.6
2021,25.9,21.3
2022,27.1,22.5
2023,28.0,23.4
2024,28.7,24.2
2025,29.3,24.9
2026,30.0,25.6
2027,30.6,26.3
2028,31.1,26.9
2029,31.6,27.5
2030,32.2,28.1
