age,probs
10,0.003518863550089031
11,0.010403859337760994
12,0.022904772327354207
13,0.051006084958144036
14,0.12246811750450613
15,0.21070734028733154
16,0.19035704967875666
17,0.14561870949423364
18,0.11791052558728965
19,0.05154606304906529
20,0.04597812830714798
21,0.009858941995566025
22,0.006964062911010964
23,0.0038271364266215524
24,0.001999229151464675
25,0.0013202011698444063
26,0.0010974461537356008
27,6.035261097508651e-4
28,4.756552078387982e-4
29,5.310193681960744e-4
30,4.0333146813622395e-4
31,1.0167606370932812e-4
32,3.517053161252721e-4
33,1.4320207759631603e-5
35,1.066791310135399e-5
37,2.1566455460052804e-5
