"age","parity","percent"
"-16","1",0
"-15","1",0
"-14","1",0
"-13","1",0
"-12","1",0
"-11","1",0
"-10","1",0
"-9","1",0
"-8","1",0
"-7","1",0
"-6","1",0
"-5","1",0
"-4","1",0
"-3","1",0
"-2","1",0
"-1","1",0
"0","1",0
"1","1",0
"2","1",0
"3","1",0
"4","1",0
"5","1",0
"6","1",0
"7","1",0
"8","1",0
"9","1",0
"10","1",0
"11","1",0
"12","1",0.0413818866278734
"13","1",0.0529063975423112
"14","1",0.0245956772765148
"15","1",0.00574146333839391
"16","1",0.033208271569235
"17","1",0.0318920663274372
"18","1",0.0119434851774221
"19","1",0.0138503625277615
"20","1",0.0206836832666016
"21","1",0.00364564500553451
"22","1",0.00762566436437673
"23","1",0.00447146198571575
"24","1",0.0233996298987028
"25","1",0
"26","1",0
"27","1",0
"28","1",0
"29","1",0
"30","1",0
"31","1",0
"32","1",0
"33","1",0
"34","1",0
"35","1",0
"36","1",0
"37","1",0
"38","1",0
"39","1",0
"40","1",0
"41","1",0
"42","1",0
"43","1",0
"44","1",0
"45","1",0
"46","1",0
"47","1",0
"48","1",0
"49","1",0
"50","1",0
"-16","2+",0
"-15","2+",0
"-14","2+",0
"-13","2+",0
"-12","2+",0
"-11","2+",0
"-10","2+",0
"-9","2+",0
"-8","2+",0
"-7","2+",0
"-6","2+",0
"-5","2+",0
"-4","2+",0
"-3","2+",0
"-2","2+",0
"-1","2+",0
"0","2+",0
"1","2+",0
"2","2+",0
"3","2+",0
"4","2+",0
"5","2+",0
"6","2+",0
"7","2+",0
"8","2+",0
"9","2+",0
"10","2+",0
"11","2+",0
"12","2+",0
"13","2+",0.175364241432424
"14","2+",0
"15","2+",0.111906559414063
"16","2+",0.111207287576908
"17","2+",0.111444661364405
"18","2+",0.0649364815696676
"19","2+",0.045488155744675
"20","2+",0.0657675496668161
"21","2+",0.0244085467473216
"22","2+",0.0256069041189094
"23","2+",0.06038339540207
"24","2+",0.021979034682477
"25","2+",0
"26","2+",0
"27","2+",0
"28","2+",0
"29","2+",0
"30","2+",0
"31","2+",0
"32","2+",0
"33","2+",0
"34","2+",0
"35","2+",0
"36","2+",0
"37","2+",0
"38","2+",0
"39","2+",0
"40","2+",0
"41","2+",0
"42","2+",0
"43","2+",0
"44","2+",0
"45","2+",0
"46","2+",0
"47","2+",0
"48","2+",0
"49","2+",0
"50","2+",0
