year,probs
1960,208.3
1961,203.2
1962,198.1
1963,193.0
1964,188.1
1965,183.6
1966,178.9
1967,174.3
1968,169.7
1969,165.2
1970,160.7
1971,155.8
1972,150.5
1973,145.1
1974,139.4
1975,133.6
1976,128.2
1977,123.2
1978,118.6
1979,114.8
1980,111.6
1981,108.7
1982,106.4
1983,104.6
1984,103.1
1985,102.1
1986,101.4
1987,100.9
1988,100.5
1989,100.8
1990,100.6
1991,100.5
1992,100.2
1993,99.7
1994,99.2
1995,98.4
1996,97.6
1997,96.3
1998,94.9
1999,93.2
2000,91.4
2001,89.4
2002,87.3
2003,85.1
2004,82.8
2005,80.2
2006,78.1
2007,75.6
2008,73.0
2009,70.9
2010,68.8
2011,67.0
2012,64.9
2013,62.8
2014,60.8
2015,59.0
2016,57.4
2017,55.8
2018,54.1
2019,52.3
2020,50.9
2021,49.2
2022,47.9
2023,46.6
