"postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
0,"None",358.233462,"18-20",0.127851816924908,0,0.241644229762098,0.272262089798858,0,0.0305434392949031,0.17317767484267,0.097909038994241,0.0566117103823204,"grp018-20"
0,"None",371.381033,">35",0.326916132520962,0.011294445939031,0.246329553399675,0.0810480001007482,0.00465949482132007,0.00345855573081999,0.175959010270726,0.109396537221652,0.0409382699950646,"grp0>35"
0,"None",712.343138999998,"20-25",0.243766952319871,0.00121765895186084,0.250824893534913,0.142363329479615,0,0.0319012646516135,0.185519098542199,0.071089801006703,0.0733170015132274,"grp020-25"
0,"None",739.167577999999,"<18",0.086439168737458,0.00360058541420496,0.084089670394066,0.522746030129586,0,0.0217524692350616,0.122306150446442,0.104083267840517,0.0549826578026668,"grp0<18"
0,"None",1014.36642,"25-35",0.294233259417244,0.00669665602692173,0.274701966179047,0.0861707833348824,0.00100113921357925,0.0173124707736284,0.199029913667687,0.0860740658193321,0.0347797455676817,"grp025-35"
0,"Pill",0.9178,"<18",0,0,0,0,0,0,0,1,0,"grp0<18"
0,"Pill",1.438493,"18-20",0,0,0.409504947191262,0,0,0,0,0.590495052808738,0,"grp018-20"
0,"Pill",2.162395,">35",0,0,0.818576624529746,0,0,0,0.181423375470254,0,0,"grp0>35"
0,"Pill",4.83002,"25-35",0,0,0.96151258172844,0,0,0,0.03848741827156,0,0,"grp025-35"
0,"Pill",8.873855,"20-25",0,0,0.181535646007288,0.238549649504077,0,0,0.281967420022076,0.197637441675574,0.100309842790985,"grp020-25"
0,"Injectable",0.900634,"18-20",0,0,0,0,0,0,1,0,0,"grp018-20"
0,"Injectable",6.131868,">35",0.225528175100964,0,0,0.499097338690265,0,0,0,0.27537448620877,0,"grp0>35"
0,"Injectable",6.712825,"20-25",0.48919448965227,0,0,0.266927709272922,0,0.12653733711217,0.117340463962639,0,0,"grp020-25"
