"estimate","coef","se","method","functionform"
0.250732610652046,"shape",0.0153456511787358,"None","gamma"
-2.97679378214386,"rate",0.027792869851984,"None","gamma"
0.397217429746956,"age_grp_fact(0,18]",0.0391632263668229,"None","gamma"
0.0548580939308517,"age_grp_fact(18,20]",0.0412806580761824,"None","gamma"
0,"age_grp_fact(20,25]",0,"None","gamma"
-0.17057584840173,"age_grp_fact(25,35]",0.0277162837368885,"None","gamma"
-0.88040635761576,"age_grp_fact(35,50]",0.0380946729049695,"None","gamma"
2.44326780713542,"meanlog",0.101323768852374,"Pill","lnorm"
0.33058794747987,"sdlog",0.0303510612931245,"Pill","lnorm"
-0.572281555496252,"age_grp_fact(0,18]",0.208943688788907,"Pill","lnorm"
-0.107289236203846,"age_grp_fact(18,20]",0.190037839466225,"Pill","lnorm"
0,"age_grp_fact(20,25]",0,"Pill","lnorm"
0.607238551296977,"age_grp_fact(25,35]",0.124462610065961,"Pill","lnorm"
0.806180266850421,"age_grp_fact(35,50]",0.152768536669084,"Pill","lnorm"
0.051521123982967,"shape",0.508157416804767,"IUD","gamma"
-9.65625070550478,"rate",38.7894704169943,"IUD","gamma"
6.87442922172012,"age_grp_fact(0,18]",38.7615583615165,"IUD","gamma"
6.87442922172012,"age_grp_fact(18,20]",38.7615583615165,"IUD","gamma"
0,"age_grp_fact(20,25]",0,"IUD","gamma"
5.46699885679942,"age_grp_fact(25,35]",38.7235659515813,"IUD","gamma"
4.45005763245258,"age_grp_fact(35,50]",38.7038245708607,"IUD","gamma"
2.75333243887885,"meanlog",0.0941219179082501,"Injectable","lnorm"
0.227501158859567,"sdlog",0.0316537440751141,"Injectable","lnorm"
-0.573915720116837,"age_grp_fact(0,18]",0.183442393228919,"Injectable","lnorm"
-0.752582713309019,"age_grp_fact(18,20]",0.176140316405295,"Injectable","lnorm"
0,"age_grp_fact(20,25]",0,"Injectable","lnorm"
0.129906428020811,"age_grp_fact(25,35]",0.115326700887045,"Injectable","lnorm"
0.523446661108794,"age_grp_fact(35,50]",0.145539593675316,"Injectable","lnorm"
3.95929231264076,"meanlog",0.200147202497173,"Condom","lnorm"
0.663361285480874,"sdlog",0.0508002724005731,"Condom","lnorm"
-0.366149882661905,"age_grp_fact(0,18]",0.235197756591673,"Condom","lnorm"
0.516805453695863,"age_grp_fact(18,20]",0.314763034390795,"Condom","lnorm"
0,"age_grp_fact(20,25]",0,"Condom","lnorm"
-0.277220803309279,"age_grp_fact(25,35]",0.269465206423631,"Condom","lnorm"
-0.0251631922729153,"age_grp_fact(35,50]",0.478215936239272,"Condom","lnorm"
2.61381596531867,"meanlog",0.450566168277664,"Withdrawal","lnorm"
0.498347158792509,"sdlog",0.135905051597663,"Withdrawal","lnorm"
-1.512388397235,"age_grp_fact(0,18]",0.690080037356103,"Withdrawal","lnorm"
0.0278736910984782,"age_grp_fact(18,20]",1.0323422008519,"Withdrawal","lnorm"
0,"age_grp_fact(20,25]",0,"Withdrawal","lnorm"
0.665908172404528,"age_grp_fact(25,35]",0.549839936421625,"Withdrawal","lnorm"
1.64920004003878,"age_grp_fact(35,50]",1.1623247560446,"Withdrawal","lnorm"
0.156703070442034,"shape",0.048664750838018,"Implant","weibull"
3.86134750554581,"scale",0.105392000283683,"Implant","weibull"
-0.244609069549337,"age_grp_fact(0,18]",0.178511035899545,"Implant","weibull"
0.0645640439643101,"age_grp_fact(18,20]",0.198149179876894,"Implant","weibull"
0,"age_grp_fact(20,25]",0,"Implant","weibull"
0.251924095941988,"age_grp_fact(25,35]",0.130314253121014,"Implant","weibull"
0.715445639064212,"age_grp_fact(35,50]",0.160688394253542,"Implant","weibull"
0.365533641875569,"shape",0.0501571837811011,"Other.trad","llogis"
3.07767755182798,"scale",0.11935556603372,"Other.trad","llogis"
0.0349350654365511,"age_grp_fact(0,18]",0.201877086432591,"Other.trad","llogis"
0.255284657943747,"age_grp_fact(18,20]",0.217122235963388,"Other.trad","llogis"
0,"age_grp_fact(20,25]",0,"Other.trad","llogis"
-0.0474440217882942,"age_grp_fact(25,35]",0.154639183933214,"Other.trad","llogis"
0.715330999169661,"age_grp_fact(35,50]",0.174889253653719,"Other.trad","llogis"
3.00478909166061,"meanlog",0.32822451050472,"Other.mod","lnorm"
0.614594524073477,"sdlog",0.0919659128986586,"Other.mod","lnorm"
0.00139035907347955,"age_grp_fact(0,18]",0.545947630183835,"Other.mod","lnorm"
-0.230013737027955,"age_grp_fact(18,20]",0.541854746665951,"Other.mod","lnorm"
0,"age_grp_fact(20,25]",0,"Other.mod","lnorm"
0.619024867802307,"age_grp_fact(25,35]",0.430284325912796,"Other.mod","lnorm"
0.889231578798501,"age_grp_fact(35,50]",0.61998167000084,"Other.mod","lnorm"
