age,female,male
0,0.04507876,0.0581566
1,0.00640824,0.00760606
2,0.00393501,0.00480292
3,0.00270262,0.00334938
4,0.00196829,0.00243171
5,0.0015136,0.00186535
6,0.00126643,0.00158005
7,0.00110655,0.00138903
8,0.00098965,0.00124114
9,0.00091981,0.00114293
10,0.00088479,0.00109228
11,0.00087507,0.00108462
12,0.00090734,0.00111564
13,0.00098293,0.00119027
14,0.00109337,0.00132485
15,0.00124809,0.00151059
16,0.0014053,0.00175557
17,0.00156488,0.00203295
18,0.00173589,0.0023284
19,0.00188269,0.00255776
20,0.00202827,0.00277292
21,0.00213738,0.00296409
22,0.00228165,0.00313543
23,0.00242349,0.00327774
24,0.00257031,0.00340201
25,0.00272059,0.00352236
26,0.00288552,0.00363977
27,0.00305245,0.00377652
28,0.00321401,0.00392892
29,0.00339553,0.00409209
30,0.00358579,0.00430486
31,0.00372989,0.0044686
32,0.00397085,0.00473214
33,0.00418626,0.00497871
34,0.00442478,0.0052585
35,0.00471107,0.00557984
36,0.00496936,0.00588621
37,0.00523324,0.00622533
38,0.00555007,0.00660179
39,0.00584324,0.00696584
40,0.00619001,0.00743297
41,0.0064669,0.0077652
42,0.00684852,0.00829586
43,0.00718511,0.0087377
44,0.00756108,0.00926692
45,0.00801735,0.0098986
46,0.00844844,0.01046798
47,0.0089608,0.01115872
48,0.0095624,0.01195175
49,0.010173,0.01276679
50,0.01092022,0.01378176
51,0.0114723,0.01452475
52,0.01230534,0.01562315
53,0.01299175,0.01657585
54,0.01380116,0.01764423
55,0.01464084,0.0187545
56,0.01560467,0.01996609
57,0.01660674,0.02127179
58,0.01785205,0.02288657
59,0.01914078,0.02457002
60,0.02086348,0.02681751
61,0.02228771,0.02854356
62,0.02434575,0.03109717
63,0.02634688,0.03348028
64,0.02859221,0.03607762
65,0.03114518,0.03894892
66,0.03285219,0.0413196
67,0.0349659,0.04423422
68,0.03734774,0.04746736
69,0.03976369,0.05079093
70,0.04302247,0.0551342
71,0.04546791,0.05854154
72,0.04923806,0.06363826
73,0.05262973,0.06826414
74,0.0564692,0.07336558
75,0.06058699,0.07883869
76,0.06480547,0.08445575
77,0.06921161,0.09035254
78,0.07462557,0.09747619
79,0.07979651,0.10411927
80,0.08629104,0.11259663
81,0.09392105,0.12051674
82,0.10456067,0.13148507
83,0.11515544,0.14184243
84,0.12685469,0.15347949
85,0.13874057,0.16451808
86,0.15189303,0.17676669
87,0.1650787,0.18894058
88,0.1792557,0.20185931
89,0.19395914,0.21473206
90,0.21074718,0.22983634
91,0.2251302,0.24226029
92,0.24333089,0.25860516
93,0.26093658,0.27398485
94,0.27940023,0.28980297
95,0.29913312,0.30577984
96,0.31774745,0.32099769
97,0.33586287,0.3354421
98,0.35333581,0.34908664
99,0.37425982,0.36684097
100,1.0,1.0
