year,crude_death_rate
1950,33.51
1951,33.054
1952,32.566
1953,32.04
1954,31.441
1955,30.844
1956,30.204
1957,29.521
1958,28.861
1959,28.146
1960,27.514
1961,26.894
1962,26.252
1963,25.625
1964,25.025
1965,24.399
1966,23.787
1967,23.176
1968,22.548
1969,21.906
1970,21.255
1971,20.588
1972,19.909
1973,19.263
1974,18.609
1975,17.961
1976,17.395
1977,16.766
1978,16.104
1979,15.557
1980,15.138
1981,14.796
1982,14.507
1983,14.251
1984,14.009
1985,13.814
1986,13.66
1987,13.542
1988,13.475
1989,13.438
1990,13.457
1991,13.478
1992,13.492
1993,13.484
1994,13.493
1995,13.559
1996,13.55
1997,13.547
1998,13.628
1999,13.592
2000,13.478
2001,13.36
2002,13.183
2003,13.092
2004,12.706
2005,12.344
2006,11.996
2007,11.611
2008,11.163
2009,10.995
2010,10.851
2011,10.647
2012,10.482
2013,10.366
2014,10.12
2015,9.798
2016,9.437
2017,9.103
2018,8.776
2019,8.492
2020,8.493
2021,8.378
2022,7.816
2023,7.66
2024,7.607
2025,7.555
2026,7.513
2027,7.474
2028,7.449
2029,7.43
2030,7.408
