year,population
1960,3673666.0
1961,3810151.0
1962,3956939.0
1963,4112061.0
1964,4273952.0
1965,4442377.0
1966,4617519.0
1967,4799744.0
1968,4990021.0
1969,5192221.0
1970,5411567.0
1971,5650868.0
1972,5909716.0
1973,6184944.0
1974,6474057.0
1975,6776297.0
1976,7057958.0
1977,7321950.0
1978,7603130.0
1979,7902267.0
1980,8220714.0
1981,8556596.0
1982,8907936.0
1983,9272744.0
1984,9650516.0
1985,10040483.0
1986,10440917.0
1987,10851475.0
1988,11275189.0
1989,11719771.0
1990,12189778.0
1991,12683870.0
1992,13200310.0
1993,13735951.0
1994,14287201.0
1995,14855565.0
1996,15442312.0
1997,16047170.0
1998,16663948.0
1999,17215935.0
2000,17699004.0
2001,18178913.0
2002,18654771.0
2003,19125542.0
2004,19595000.0
2005,20068458.0
2006,20546802.0
2007,21030558.0
2008,21514439.0
2009,21997940.0
2010,22488065.0
2011,22982000.0
2012,23467078.0
2013,23939775.0
2014,24527395.0
2015,25246342.0
2016,25989405.0
2017,26733372.0
2018,27464173.0
2019,28193009.0
2020,28915449.0
2021,29639736.0
2022,30395002.0
2023,31165654.0
