year,tfr
1960,7.691
1961,7.72
1962,7.75
1963,7.781
1964,7.811
1965,7.841
1966,7.868
1967,7.893
1968,7.912
1969,7.927
1970,7.936
1971,7.941
1972,7.942
1973,7.939
1974,7.929
1975,7.91
1976,7.877
1977,7.828
1978,7.669
1979,7.625
1980,7.586
1981,7.539
1982,7.488
1983,7.417
1984,7.352
1985,7.273
1986,7.187
1987,7.09
1988,6.969
1989,6.85
1990,6.719
1991,6.585
1992,6.426
1993,6.27
1994,6.128
1995,6.038
1996,5.954
1997,5.902
1998,5.854
1999,5.805
2000,5.773
2001,5.704
2002,5.641
2003,5.572
2004,5.527
2005,5.499
2006,5.448
2007,5.403
2008,5.357
2009,5.332
2010,5.292
2011,5.244
2012,5.19
2013,5.135
2014,5.071
2015,4.97
2016,4.873
2017,4.757
2018,4.596
2019,4.523
2020,4.461
2021,4.411
2022,4.349
2023,4.283
