rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-2.114496989130039,0.09142712885507029,-23.12767573049271,4.188848330165056e-81
"age_grp(18,20]",0.8436687417083965,0.1323344581964401,6.375276350593709,4.14387505064937e-10
"age_grp(20,25]",1.1082750058319308,0.1273698482705431,8.701235189335168,4.723664668687995e-17
"age_grp(25,35]",0.8563558989082124,0.10398111659984398,8.23568669880486,1.5581406078143798e-15
"age_grp(35,50]",-0.25708771424792465,0.12258052432705402,-2.0972965783862643,0.03646689850611557
prior_userTRUE,3.7847826339477812,0.3480370543174616,10.87465425591005,7.056787418244093e-25
"age_grp(18,20]:prior_userTRUE",-1.3901411762995506,0.4377287543817657,-3.1758050216804747,0.0015860821572466028
"age_grp(20,25]:prior_userTRUE",-1.5691057645461777,0.3854387937452508,-4.070959617996447,5.438332527158195e-5
"age_grp(25,35]:prior_userTRUE",-1.4156908856969381,0.3538612306093059,-4.000695083943756,7.266889471633004e-5
"age_grp(35,50]:prior_userTRUE",-0.3901520717825906,0.3837073640182651,-1.0167958928305028,0.30974032933158013
