rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-2.9056209802658883,0.5079547296606466,-5.720236097037762,2.0235802785443368e-8
"age_grp(18,20]",0.3394800087085027,0.6505000095088831,0.5218754861584162,0.6020321339945671
"age_grp(20,25]",0.4951890652703925,0.5547315347174456,0.8926643507343038,0.37254810939737415
"age_grp(25,35]",0.37185027867993214,0.5696998082423816,0.6527126625286253,0.5142986327142327
"age_grp(35,50]",0.3943712110432052,0.6780525700482127,0.5816233555683795,0.561132433217457
prior_userTRUE,-13.218545605744492,0.8493874030093734,-15.5624460156947,1.9175309592665396e-43
"age_grp(18,20]:prior_userTRUE",15.041726552354591,1.2513550366094992,12.020350829537236,8.274691581408098e-29
"age_grp(20,25]:prior_userTRUE",14.21822280634943,1.0146211024320682,14.01333243736805,7.102073664999155e-37
"age_grp(25,35]:prior_userTRUE",13.993538568443839,0.9640416429306394,14.515491805835447,5.568483642339693e-39
"age_grp(35,50]:prior_userTRUE",14.68484379044859,1.0538015750078167,13.935112775229685,1.5033663486729888e-36
