age,country,probs
10,CI8,0.0035188635500890343
11,CI8,0.010403859337761003
12,CI8,0.022904772327354207
13,CI8,0.0510060849581441
14,CI8,0.12246811750450641
15,CI8,0.21070734028733146
16,CI8,0.1903570496787556
17,CI8,0.14561870949423414
18,CI8,0.1179105255872898
19,CI8,0.05154606304906538
20,CI8,0.04597812830714799
21,CI8,0.00985894199556603
22,CI8,0.006964062911010966
23,CI8,0.0038271364266215554
24,CI8,0.0019992291514646775
25,CI8,0.001320201169844408
26,CI8,0.001097446153735602
27,CI8,0.0006035261097508659
28,CI8,0.0004756552078387987
29,CI8,0.0005310193681960748
30,CI8,0.00040333146813622433
31,CI8,0.00010167606370932823
32,CI8,0.00035170531612527245
33,CI8,1.4320207759631617e-05
35,CI8,1.0667913101354001e-05
37,CI8,2.1566455460052824e-05
