"edu","urban","percent"
"0","0",0.713824707992569
"1","0",0.00972554970027127
"2","0",0.0252213937200022
"3","0",0.0324958500073354
"4","0",0.0304823596629114
"5","0",0.0533252998660023
"6","0",0.03609326443321
"7","0",0.0124303094401486
"8","0",0.0138620233790225
"9","0",0.0268576507881922
"10","0",0.0161295764446078
"11","0",0.00428676362310574
"12","0",0.00800896626791838
"13","0",0.00879579417400883
"14","0",0.00216951207064901
"15","0",0.00517541769605134
"16","0",0.00111556073399398
"17","0",0
"18","0",0
"19","0",0
"0","1",0.454466877856717
"1","1",0.00745395325578198
"2","1",0.021266422751913
"3","1",0.0330051162560588
"4","1",0.0321251456181035
"5","1",0.0578656859212229
"6","1",0.0568717653062519
"7","1",0.0176554058547197
"8","1",0.0188572926912784
"9","1",0.0492036884644148
"10","1",0.0457411176878752
"11","1",0.0143722302699492
"12","1",0.042387261992968
"13","1",0.0514288571890933
"14","1",0.0154763521840283
"15","1",0.0475976501882483
"16","1",0.0148482803189073
"17","1",0.00932825643082208
"18","1",0.00904114562856143
"19","1",0.00100749413308457
