"space_mo","urban_rural","Freq"
"6","urban",0
"7","urban",0
"8","urban",17.707948
"9","urban",19.802053
"10","urban",41.797081
"11","urban",47.048678
"12","urban",59.801324
"13","urban",55.559864
"14","urban",53.555986
"15","urban",57.054414
"16","urban",49.557422
"17","urban",48.778137
"18","urban",49.999432
"19","urban",41.80738
"20","urban",67.653275
"21","urban",87.376281
"22","urban",107.340653
"23","urban",106.391488
"24","urban",81.895434
"25","urban",134.476776
"26","urban",89.136947
"27","urban",69.390124
"28","urban",78.500835
"29","urban",94.182485
"30","urban",52.166779
"31","urban",74.987123
"32","urban",53.617924
"33","urban",78.667167
"34","urban",55.960984
"35","urban",79.822935
"36","urban",61.764283
"37","urban",52.430032
"38","urban",44.049886
"39","urban",55.702347
"40","urban",35.890328
"41","urban",41.796255
"42","urban",53.837691
"43","urban",56.642828
"44","urban",26.748493
"45","urban",27.692151
"46","urban",42.582863
"47","urban",44.912113
"48","urban",32.802657
"49","urban",24.061503
"50","urban",33.303135
"51","urban",22.95734
"52","urban",26.710972
"53","urban",22.478612
"54","urban",19.096731
"55","urban",14.466947
"56","urban",14.206384
"57","urban",16.390847
"58","urban",17.584527
"59","urban",26.397016
"60","urban",18.86952
"61","urban",38.470939
"62","urban",30.763787
"63","urban",18.743157
"64","urban",20.927073
"65","urban",6.392525
"66","urban",15.698719
"67","urban",12.098828
"68","urban",23.42289
"69","urban",20.619235
"70","urban",18.645985
"71","urban",20.063851
"72","urban",18.866891
"73","urban",17.342336
"74","urban",16.933152
"75","urban",3.537669
"76","urban",14.135693
"77","urban",12.331745
"78","urban",10.632377
"79","urban",7.348358
"80","urban",3.863571
"81","urban",13.568641
"82","urban",6.627295
"83","urban",13.462899
"84","urban",6.702303
"85","urban",6.17683
"86","urban",12.464125
"87","urban",10.678973
"88","urban",12.219953
"89","urban",9.518682
"90","urban",11.138163
"91","urban",8.64522
"92","urban",8.325698
"93","urban",7.186472
"94","urban",5.135452
"95","urban",3.179009
"96","urban",2.691813
"97","urban",3.954187
"98","urban",3.108761
"99","urban",8.974438
"100","urban",11.988154
"101","urban",8.393228
"102","urban",2.619863
"103","urban",9.510411
"104","urban",7.633843
"105","urban",2.060127
"106","urban",7.248257
"107","urban",3.617199
"108","urban",2.226816
"109","urban",0.183823
"110","urban",1.861536
"111","urban",7.342231
"112","urban",0.514679
"113","urban",3.794535
"114","urban",0.698104
"115","urban",3.427699
"116","urban",1.712614
"117","urban",1.454941
"118","urban",5.98281
"119","urban",0.732817
"120","urban",6.319342
"121","urban",2.884823
"122","urban",3.132959
"123","urban",3.445952
"124","urban",0.485141
"125","urban",2.102997
"126","urban",0.995829
"127","urban",0.515087
"128","urban",4.980118
"129","urban",0
"130","urban",3.183291
"131","urban",1.845335
"132","urban",3.355105
"133","urban",4.989294
"134","urban",0.123728
"135","urban",0.1189
"136","urban",3.760736
"137","urban",2.76871
"138","urban",0.486945
"139","urban",0.183196
"140","urban",0.805155
"141","urban",0.027248
"142","urban",0
"143","urban",0.703478
"144","urban",4.836618
"145","urban",2.935921
"146","urban",0.2306
"147","urban",1.131635
"148","urban",0.683663
"149","urban",0.411063
"150","urban",0.68508
"151","urban",1.916663
"152","urban",0
"153","urban",5.099572
"154","urban",0.825455
"155","urban",1.572289
"156","urban",0
"157","urban",0
"158","urban",0.034093
"159","urban",0.947789
"161","urban",3.66854
"163","urban",0.48745
"164","urban",3.019276
"165","urban",0
"166","urban",0
"167","urban",0.136333
"168","urban",0.145599
"169","urban",0
"170","urban",0.447048
"172","urban",0
"173","urban",0.489805
"174","urban",0
"175","urban",0.624166
"176","urban",1.043711
"178","urban",0
"179","urban",0.126157
"180","urban",0.591263
"182","urban",0.027248
"183","urban",0
"186","urban",0
"187","urban",3.091614
"190","urban",0
"191","urban",0.463521
"194","urban",0
"197","urban",0
"198","urban",5.81329
"200","urban",0
"201","urban",0.064391
"204","urban",0
"208","urban",2.340436
"213","urban",0.043367
"6","rural",2.078824
"7","rural",2.229929
"8","rural",103.54025
"9","rural",270.01142
"10","rural",374.755654
