"wt","age","afb"
5.087433,38,15
5.087433,42,24
5.087433,46,21
5.087433,17,Inf
5.087433,27,18
5.087433,34,21
5.087433,25,Inf
5.087433,42,22
5.087433,39,21
0.461695,20,15
0.461695,22,21
0.461695,30,18
0.461695,21,19
0.461695,29,16
0.461695,16,16
2.150055,26,14
2.150055,30,20
2.150055,27,18
2.150055,27,16
2.150055,28,19
2.150055,40,23
2.150055,33,16
2.150055,32,13
2.150055,20,Inf
2.150055,27,16
2.150055,19,Inf
2.150055,27,26
2.150055,30,19
2.150055,40,15
2.150055,32,21
2.150055,27,21
2.150055,27,19
0.07885,25,20
0.07885,20,19
0.067744,18,Inf
0.067744,36,19
0.067744,28,16
0.067744,30,16
0.067744,33,24
0.067744,30,18
0.067744,29,18
0.067744,36,22
0.166429,30,14
0.166429,24,20
0.166429,19,16
0.166429,23,18
0.166429,32,23
0.166429,28,17
0.166429,24,19
0.166429,40,21
0.166429,18,17
0.166429,42,Inf
0.415601,39,21
0.415601,21,15
0.415601,28,16
0.415601,42,24
0.415601,33,20
0.415601,41,16
0.263005,29,18
0.263005,29,24
0.263005,30,23
0.263005,20,16
0.263005,39,17
0.263005,35,19
0.263005,28,19
0.263005,30,14
0.263005,30,16
0.263005,20,Inf
0.263005,17,Inf
0.263005,20,17
0.263005,30,18
0.263005,25,21
0.273461,25,12
0.273461,20,18
0.273461,24,20
0.273461,27,17
0.273461,42,20
0.273461,25,15
2.092998,32,15
2.092998,21,20
2.092998,26,12
2.092998,30,19
2.092998,40,14
2.092998,21,Inf
2.092998,23,18
2.092998,37,20
2.092998,33,15
2.092998,31,14
2.092998,37,19
0.462503,33,22
0.462503,24,23
0.462503,24,19
0.462503,28,Inf
0.462503,25,21
0.462503,37,30
0.462503,41,16
0.462503,32,17
0.462503,41,36
0.462503,23,Inf
0.462503,25,24
2.069881,38,19
2.069881,40,17
2.069881,42,17
2.069881,34,19
2.069881,32,18
2.069881,32,18
2.069881,28,21
2.069881,38,16
2.069881,35,22
2.069881,22,17
2.069881,20,20
2.069881,35,14
2.069881,39,20
2.069881,27,19
2.069881,28,16
2.069881,29,16
2.069881,30,14
2.069881,24,16
2.069881,48,23
2.069881,25,16
2.069881,28,17
0.054345,40,17
0.054345,48,16
0.054345,48,16
0.054345,25,17
1.402739,27,13
1.402739,32,26
1.402739,25,17
1.402739,35,17
1.402739,32,24
1.402739,22,21
1.402739,21,21
1.402739,28,25
1.402739,27,21
1.402739,22,20
0.556598,38,29
0.556598,35,34
0.556598,40,14
0.556598,20,Inf
0.134889,48,17
0.134889,25,16
0.134889,35,21
0.134889,30,16
0.134889,38,20
0.134889,28,17
0.170374,28,Inf
0.170374,34,17
0.170374,28,19
0.170374,30,22
0.170374,30,20
0.170374,25,13
0.170374,23,Inf
0.170374,20,Inf
1.109392,25,16
1.109392,33,15
1.109392,41,16
1.109392,27,20
1.109392,43,Inf
1.109392,26,18
1.109392,25,Inf
1.109392,28,24
1.109392,34,20
0.418612,26,23
0.418612,23,Inf
0.418612,28,24
0.418612,48,33
0.418612,24,23
0.418612,30,Inf
0.418612,35,22
0.418612,30,29
0.418612,26,Inf
1.688765,48,25
1.688765,35,18
1.688765,25,15
1.688765,23,16
1.688765,36,21
1.688765,23,Inf
1.688765,40,20
1.688765,35,17
1.688765,25,17
2.004397,25,17
2.004397,42,20
2.004397,25,19
2.004397,26,15
2.004397,30,17
2.004397,42,25
2.004397,27,15
2.004397,43,16
2.004397,40,17
2.004397,20,19
2.004397,29,16
2.004397,18,Inf
2.004397,35,20
0.340149,35,21
0.340149,20,15
0.340149,19,17
0.340149,34,18
0.340149,40,22
0.340149,32,20
0.340149,30,20
0.340149,25,20
0.340149,42,27
0.340149,31,14
0.340149,24,20
2.354972,33,19
2.354972,26,17
2.354972,31,17
2.354972,44,21
2.354972,18,17
2.354972,24,18
2.354972,28,17
2.354972,38,16
2.354972,33,18
2.354972,29,18
2.354972,34,15
2.354972,35,20
2.354972,44,16
2.209779,45,23
2.209779,19,Inf
2.209779,38,19
2.209779,29,18
2.209779,38,19
2.209779,34,16
2.209779,44,13
2.209779,37,14
2.209779,25,Inf
0.111757,41,24
0.111757,24,21
0.111757,18,Inf
0.111757,18,Inf
0.111757,23,20
0.111757,20,Inf
2.94439,36,19
2.94439,39,18
2.94439,30,17
2.94439,27,18
2.94439,22,20
2.94439,24,20
2.94439,25,18
2.94439,20,20
2.94439,28,18
2.94439,36,15
2.94439,26,18
0.059856,25,18
0.059856,26,18
0.059856,25,25
0.059856,40,20
0.059856,32,26
0.059856,36,21
0.059856,25,18
0.020709,21,16
0.020709,24,22
0.020709,33,24
0.052982,29,15
0.052982,30,17
0.052982,38,21
0.071959,35,24
0.071959,20,20
0.071959,43,17
