"age","parity","Freq","percentage"
"15-19","0",2974.341164,18.9653834897032
"20-24","0",1146.097905,7.30789949322386
"25-29","0",484.922888,3.09202879789563
"30-34","0",150.880527,0.962064167459279
"35-39","0",116.32917,0.741753281967785
"40-44","0",36.906992,0.235331193745806
"45-49","0",35.282161,0.224970733623095
"15-19","1",351.763667,2.24296154158302
"20-24","1",802.729313,5.11846772782351
"25-29","1",534.954683,3.4110480786486
"30-34","1",163.258107,1.04098771335769
"35-39","1",72.30607,0.461047428849465
"40-44","1",49.954844,0.318528615713399
"45-49","1",37.3195,0.237961481255275
"15-19","2",50.831603,0.32411912122242
"20-24","2",525.01696,3.34768186834608
"25-29","2",617.529791,3.93757429187477
"30-34","2",303.378883,1.93444414797226
"35-39","2",166.65074,1.0626202640091
"40-44","2",82.359852,0.525153669740625
"45-49","2",54.794648,0.349388807538724
"15-19","3",3.96634,0.0252906963266402
"20-24","3",201.060921,1.28203096460858
"25-29","3",577.734612,3.68382706209788
"30-34","3",456.708072,2.91212179462107
"35-39","3",216.159473,1.37830432836559
"40-44","3",132.764688,0.846551583351183
"45-49","3",81.983128,0.522751552856304
"15-19","4",0,0
"20-24","4",76.111847,0.485314322356808
"25-29","4",389.481725,2.48346436053162
"30-34","4",444.86517,2.83660753257894
"35-39","4",274.476651,1.75015395281146
"40-44","4",159.62388,1.01781467941731
"45-49","4",117.858078,0.751502105300976
"15-19","5",0,0
"20-24","5",9.296085,0.0592749140924971
"25-29","5",218.366954,1.39237995769082
"30-34","5",366.636718,2.33779703634434
"35-39","5",355.492691,2.26673903256431
"40-44","5",209.321747,1.33470472474342
"45-49","5",146.54175,0.934398689578913
"15-19","6",0,0
"20-24","6",1.530976,0.0097620095855056
"25-29","6",133.709284,0.85257464001989
"30-34","6",459.469377,2.92972878903411
"35-39","6",730.639058,4.65879640682858
"40-44","6",618.668572,3.94483553636051
"45-49","6",542.923111,3.46185741237911
