Estimate,Std. Error,t value,Pr(>|t|),rhs
-21.19810287,1.002714333,-21.14071992,6.82E-55,(Intercept)
0.144466827,2.104283744,0.068653682,0.945327645,"ns(age, knots = c(25, 40))1"
-0.698173277,2.916088101,-0.239421188,0.811001908,"ns(age, knots = c(25, 40))2"
0.896057575,1.935217738,0.463026748,0.643802885,"ns(age, knots = c(25, 40))3"
21.66094896,2.459161484,8.808266192,3.85E-16,prior_userTRUE
-2.817793479,1.44964494,-1.94378182,0.053197053,edu.levelPrimary
-0.961711665,2.016270771,-0.476975454,0.633853051,edu.levelSecondary
-0.189731278,0.299268928,-0.633982552,0.526750827,parity
2.000676941,2.480386265,0.806598944,0.42076867,urban
0.229519465,0.419536737,0.547078347,0.584879409,wealthquintile
2.664545229,4.186370758,0.636480948,0.525124653,"ns(age, knots = c(25, 40))1:prior_userTRUE"
-44.24876606,19.52091826,-2.266735892,0.024378491,"ns(age, knots = c(25, 40))2:prior_userTRUE"
-43.34693373,22.21746963,-1.951029278,0.052323208,"ns(age, knots = c(25, 40))3:prior_userTRUE"
