Estimate,Std. Error,t value,Pr(>|t|),rhs
-19.79549516,0.03777218,-524.0760598,0,(Intercept)
0,0,0,0,"age_grp(0,18]"
0.037222763,0.060321985,0.617067934,0.537420545,"age_grp(18,20]"
0.011482006,0.057902472,0.198299066,0.842877259,"age_grp(20,25]"
-0.004091119,0.057767603,-0.070820302,0.943564024,"age_grp(25,35]"
-0.020037443,0.051154444,-0.391704829,0.695413345,"age_grp(35,50]"
20.8809447,0.201069568,103.8493537,0,fp_ever_user
-0.26304991,0.257929088,-1.019853601,0.308202862,"age_grp(18,20]:fp_ever_user"
-0.117315941,0.231378275,-0.507030923,0.612316659,"age_grp(20,25]:fp_ever_user"
-0.178237497,0.213145883,-0.836223036,0.403357421,"age_grp(25,35]:fp_ever_user"
-0.79799831,0.212866317,-3.748823777,0.000194592,"age_grp(35,50]:fp_ever_user"
