Estimate,Std. Error,t value,Pr(>|t|),rhs
-19.92631395,0.176000816,-113.2171682,0,(Intercept)
0,0,0,0,"age_grp(0,18]"
0.056155328,0.305682532,0.183704733,0.854326754,"age_grp(18,20]"
0.130537965,0.157978432,0.826302445,0.409064674,"age_grp(20,25]"
0.094482519,0.194818639,0.484976794,0.627925699,"age_grp(25,35]"
0.136272951,0.258816568,0.526523291,0.59878068,"age_grp(35,50]"
19.07794463,0.662476087,28.79793702,1.14E-104,fp_ever_user
0.513549091,0.912249735,0.56294792,0.573747021,"age_grp(18,20]:fp_ever_user"
0.182921621,0.699700734,0.261428368,0.793880218,"age_grp(20,25]:fp_ever_user"
-0.319157704,0.668025978,-0.477762415,0.633048247,"age_grp(25,35]:fp_ever_user"
-0.402949921,0.921435339,-0.43730678,0.662095909,"age_grp(35,50]:fp_ever_user"
