age,edu,se
0,0,NA
1,0,NA
2,0,NA
3,0,NA
4,0,NA
5,0,NA
6,0,NA
7,0,NA
8,0,NA
9,0,NA
10,0,NA
11,0,NA
12,0,NA
13,0,NA
14,0.325774561,NA
50,1.499356008,NA
51,1.499356008,NA
52,1.499356008,NA
53,1.499356008,NA
54,1.499356008,NA
55,1.499356008,NA
56,1.499356008,NA
57,1.499356008,NA
58,1.499356008,NA
59,1.499356008,NA
60,1.499356008,NA
61,1.499356008,NA
62,1.499356008,NA
63,1.499356008,NA
64,1.499356008,NA
65,1.499356008,NA
66,1.499356008,NA
67,1.499356008,NA
68,1.499356008,NA
69,1.499356008,NA
70,1.499356008,NA
71,1.499356008,NA
72,1.499356008,NA
73,1.499356008,NA
74,1.499356008,NA
75,1.499356008,NA
76,1.499356008,NA
77,1.499356008,NA
78,1.499356008,NA
79,1.499356008,NA
80,1.499356008,NA
81,1.499356008,NA
82,1.499356008,NA
83,1.499356008,NA
84,1.499356008,NA
85,1.499356008,NA
86,1.499356008,NA
87,1.499356008,NA
88,1.499356008,NA
89,1.499356008,NA
90,1.499356008,NA
91,1.499356008,NA
92,1.499356008,NA
93,1.499356008,NA
94,1.499356008,NA
95,1.499356008,NA
96,1.499356008,NA
97,1.499356008,NA
98,1.499356008,NA
99,1.499356008,NA
15,4.725307829,0.172639327
16,5.112837149,0.205799111
17,5.637820115,0.304050985
18,5.369320815,0.205919534
19,6.062416875,0.298999799
20,4.918958061,0.274909446
21,5.585341619,0.372632833
22,5.228436775,0.30132828
23,5.596695471,0.367085027
24,5.598894662,0.354320814
25,3.717435141,0.260242816
26,4.646274404,0.518046666
27,3.309800383,0.314328511
28,2.687484778,0.221700509
29,3.926205771,0.479676499
30,1.878700634,0.224119726
31,2.100743159,0.269277949
32,1.829943838,0.234086492
33,1.994148588,0.295979844
34,1.946977882,0.28386585
35,1.794672986,0.218171424
36,1.686771749,0.297695171
37,1.875404408,0.301699403
38,1.699446852,0.235069731
39,2.390012167,0.391589759
40,1.59578032,0.227967556
41,1.897874404,0.296145687
42,1.953312924,0.326474292
43,1.433889985,0.279878107
44,1.78191163,0.581565853
45,1.359741587,0.235921356
46,1.485285436,0.363164301
47,0.660051822,0.146832517
48,1.792388919,0.470420697
49,1.916756652,0.642653142
