"edu","urban","percent"
"0","0",0.704396821232008
"1","0",0.0243845849123542
"2","0",0.0474539358538722
"3","0",0.0441424886416803
"4","0",0.0352117661431125
"5","0",0.0244461774467636
"6","0",0.0263993517215623
"7","0",0.0228858142796598
"8","0",0.0202977735556696
"9","0",0.00957376767245379
"10","0",0.0248747727526672
"11","0",0.00111476233131958
"12","0",0.0018479106925848
"13","0",0.00117325234564565
"14","0",0.00254985630585016
"15","0",0.00701938546932557
"16","0",0.00192197452665708
"17","0",0.000305604116813672
"18","0",0
"19","0",0
"20","0",0
"21","0",0
"22","0",0
"0","1",0.21365300599057
"1","1",0.0121685258526646
"2","1",0.0229844102723991
"3","1",0.0424119436421789
"4","1",0.0477669293264222
"5","1",0.0383256849882319
"6","1",0.0366875091146591
"7","1",0.0498240373395156
"8","1",0.0660494985590656
"9","1",0.0259093648735831
"10","1",0.121961508416598
"11","1",0.0107478160651601
"12","1",0.0812447528316294
"13","1",0.0305604045731195
"14","1",0.0354499049163316
"15","1",0.115478437456793
"16","1",0.0385900202233982
"17","1",0.00923758101288081
"18","1",0.000533138017087969
"19","1",0.00032397712397451
"20","1",0
"21","1",0
"22","1",9.15494037368916e-05
