"age","edu","parity","cum.percent"
15,22,"0",0
16,22,"0",0
17,22,"0",0
18,22,"0",0
19,22,"0",0
20,22,"0",0
21,22,"0",0
22,22,"0",0
23,22,"0",0
24,22,"0",0
25,22,"0",0
26,22,"0",0
27,22,"0",0
28,22,"0",0
29,22,"0",0
30,22,"0",0
31,22,"0",0
32,22,"0",0
33,22,"0",0
34,22,"0",0
35,22,"0",0
36,22,"0",0
37,22,"0",0
38,22,"0",0
39,22,"0",0
40,22,"0",0
41,22,"0",0
42,22,"0",0
43,22,"0",0
44,22,"0",0
45,22,"0",0
46,22,"0",0
47,22,"0",0
48,22,"0",0
49,22,"0",0
15,22,"1",0
16,22,"1",0
17,22,"1",0
18,22,"1",0
19,22,"1",0
20,22,"1",0
21,22,"1",0
22,22,"1",0
23,22,"1",0
24,22,"1",0
25,22,"1",0
26,22,"1",0
27,22,"1",0
28,22,"1",0
29,22,"1",0.00427198833952749
30,22,"1",0
31,22,"1",0
32,22,"1",0
33,22,"1",0
34,22,"1",0
35,22,"1",0
36,22,"1",0
37,22,"1",0
38,22,"1",0
39,22,"1",0
40,22,"1",0
41,22,"1",0
42,22,"1",0
43,22,"1",0
44,22,"1",0
45,22,"1",0
46,22,"1",0
47,22,"1",0
48,22,"1",0
49,22,"1",0
15,22,"2",NA
16,22,"2",0
17,22,"2",0
18,22,"2",0
19,22,"2",0
20,22,"2",0
21,22,"2",0
22,22,"2",0
23,22,"2",0
24,22,"2",0
25,22,"2",0
26,22,"2",0
27,22,"2",0
28,22,"2",0
29,22,"2",0
30,22,"2",0
31,22,"2",0
32,22,"2",0
33,22,"2",0
34,22,"2",0
35,22,"2",0
36,22,"2",0
37,22,"2",0
38,22,"2",0
39,22,"2",0
40,22,"2",0
41,22,"2",0
42,22,"2",0
43,22,"2",0
44,22,"2",0
45,22,"2",0
46,22,"2",0
47,22,"2",0
48,22,"2",0
49,22,"2",0
15,22,"3",NA
16,22,"3",NA
17,22,"3",NA
18,22,"3",0
19,22,"3",0
20,22,"3",0
21,22,"3",0
22,22,"3",0
23,22,"3",0
24,22,"3",0
25,22,"3",0
26,22,"3",0
27,22,"3",0
28,22,"3",0
29,22,"3",0
30,22,"3",0
31,22,"3",0
32,22,"3",0
33,22,"3",0
34,22,"3",0
35,22,"3",0
36,22,"3",0
37,22,"3",0
38,22,"3",0
39,22,"3",0
40,22,"3",0
41,22,"3",0
42,22,"3",0
43,22,"3",0
44,22,"3",0
45,22,"3",0
46,22,"3",0
47,22,"3",0
48,22,"3",0
49,22,"3",0
15,22,"4",NA
16,22,"4",NA
17,22,"4",NA
18,22,"4",NA
19,22,"4",NA
20,22,"4",0
21,22,"4",0
22,22,"4",0
23,22,"4",0
24,22,"4",0
25,22,"4",0
26,22,"4",0
27,22,"4",0
28,22,"4",0
29,22,"4",0
30,22,"4",0
31,22,"4",0
32,22,"4",0
33,22,"4",0
34,22,"4",0
35,22,"4",0
36,22,"4",0
37,22,"4",0
38,22,"4",0
39,22,"4",0
40,22,"4",0
41,22,"4",0
42,22,"4",0
43,22,"4",0
44,22,"4",0
45,22,"4",0
46,22,"4",0
47,22,"4",0
48,22,"4",0
49,22,"4",0
15,22,"5",NA
16,22,"5",NA
17,22,"5",NA
18,22,"5",NA
19,22,"5",NA
20,22,"5",NA
21,22,"5",0
22,22,"5",0
23,22,"5",0
24,22,"5",0
25,22,"5",0
26,22,"5",0
27,22,"5",0
28,22,"5",0
29,22,"5",0
30,22,"5",0
31,22,"5",0
32,22,"5",0
33,22,"5",0
34,22,"5",0
35,22,"5",0
36,22,"5",0
37,22,"5",0
38,22,"5",0
39,22,"5",0
40,22,"5",0
41,22,"5",0
42,22,"5",0
43,22,"5",0
44,22,"5",0
45,22,"5",0
46,22,"5",0
47,22,"5",0
48,22,"5",0
49,22,"5",0
15,22,"6",NA
16,22,"6",NA
17,22,"6",NA
18,22,"6",NA
19,22,"6",NA
20,22,"6",NA
21,22,"6",NA
22,22,"6",0
23,22,"6",0
24,22,"6",0
25,22,"6",0
26,22,"6",0
27,22,"6",0
28,22,"6",0
29,22,"6",0
30,22,"6",0
31,22,"6",0
32,22,"6",0
33,22,"6",0
34,22,"6",0
35,22,"6",0
36,22,"6",0
37,22,"6",0
38,22,"6",0
39,22,"6",0
40,22,"6",0
41,22,"6",0
42,22,"6",0
43,22,"6",0
44,22,"6",0
45,22,"6",0
46,22,"6",0
47,22,"6",0
48,22,"6",0
49,22,"6",0
15,19,"0",0
16,19,"0",0
17,19,"0",0
18,19,"0",0
19,19,"0",0
20,19,"0",0
21,19,"0",0
22,19,"0",0
23,19,"0",0
24,19,"0",0
25,19,"0",0
26,19,"0",0
27,19,"0",0
28,19,"0",0
29,19,"0",0
30,19,"0",0
31,19,"0",0
32,19,"0",0
33,19,"0",0
34,19,"0",0
35,19,"0",0
36,19,"0",0
37,19,"0",0
38,19,"0",0
39,19,"0",0
40,19,"0",0
41,19,"0",0
42,19,"0",0
43,19,"0",0
44,19,"0",0
45,19,"0",0
46,19,"0",0
47,19,"0",0
48,19,"0",0
49,19,"0",0
15,19,"1",0
16,19,"1",0
17,19,"1",0
18,19,"1",0
19,19,"1",0
20,19,"1",0
21,19,"1",0
22,19,"1",0
23,19,"1",0
24,19,"1",0
25,19,"1",0
26,19,"1",0
27,19,"1",0
28,19,"1",0
29,19,"1",0.00427198833952749
30,19,"1",0
31,19,"1",0
32,19,"1",0
33,19,"1",0
34,19,"1",0
35,19,"1",0
36,19,"1",0
37,19,"1",0
38,19,"1",0
39,19,"1",0
40,19,"1",0
41,19,"1",0
42,19,"1",0
43,19,"1",0
44,19,"1",0
45,19,"1",0
46,19,"1",0
47,19,"1",0
48,19,"1",0
49,19,"1",0
15,19,"2",NA
16,19,"2",0
17,19,"2",0
18,19,"2",0
19,19,"2",0
20,19,"2",0
21,19,"2",0
22,19,"2",0
23,19,"2",0
24,19,"2",0
25,19,"2",0
26,19,"2",0
27,19,"2",0
28,19,"2",0
29,19,"2",0
30,19,"2",0
