,year,probs
0,1966.0,146.6
1,1967.0,146.1
2,1968.0,145.9
3,1969.0,145.8
4,1970.0,145.6
5,1971.0,145.4
6,1972.0,145.1
7,1973.0,145.0
8,1974.0,144.7
9,1975.0,144.4
10,1976.0,144.1
11,1977.0,143.8
12,1978.0,143.4
13,1979.0,142.6
14,1980.0,141.5
15,1981.0,139.9
16,1982.0,138.0
17,1983.0,135.8
18,1984.0,133.4
19,1985.0,131.0
20,1986.0,128.7
21,1987.0,126.4
22,1988.0,124.2
23,1989.0,121.9
24,1990.0,119.5
25,1991.0,116.9
26,1992.0,114.0
27,1993.0,110.7
28,1994.0,107.2
29,1995.0,103.7
30,1996.0,100.3
31,1997.0,96.8
32,1998.0,93.5
33,1999.0,90.3
34,2000.0,87.0
35,2001.0,83.7
36,2002.0,80.2
37,2003.0,76.7
38,2004.0,73.1
39,2005.0,69.5
40,2006.0,66.1
41,2007.0,62.8
42,2008.0,59.8
43,2009.0,57.0
44,2010.0,54.4
45,2011.0,51.9
46,2012.0,49.5
47,2013.0,47.3
48,2014.0,45.2
49,2015.0,43.2
50,2016.0,41.3
51,2017.0,39.6
52,2018.0,38.0
53,2019.0,36.6
54,2020.0,35.4
55,2021.0,34.3
