"postpartum","age_grp","From","n","None","Withdrawal","Other.trad","Condom","Pill","Injectable","Implant","IUD","F.sterilization","Other.mod"
"1","<18","Birth",1209.310123,0.949998166020479,0,0,0,0.00314523787377574,0.038275124072537,0.00730921939036807,0.00127225264284007,0,0
"1","18-20","Birth",1134.407523,0.938179646574858,0,0,0,0.00153091368382965,0.0466064962793798,0.0118061576007373,0.00187678586119532,0,0
"1","20-25","Birth",3608.427083,0.958265461782646,0.000596515032863143,0,0,0.000296626750487118,0.0342821944727101,0.00528032839842201,0.00125736252822599,0,2.15110346460062e-05
"1","25-35","Birth",4861.624184,0.969266948380805,0,0.000507785856447846,0,0.00319684356745416,0.0195150567812792,0.00444460414507433,0.00252688968440429,0.000529800927121602,1.20706574138599e-05
"1",">35","Birth",1223.020567,0.955597068875784,0,0,0,0.000936277795236783,0.0297832620177024,0.00284792430641111,0.00480787172240579,0.00602759528245938,0
"6","<18","None",838.58196,0.831641275707863,0,0.00462189646912986,0,0.00692560569750391,0.137569086270351,0.0180165800370902,0.0012255558180622,0,0
"6","<18","Withdrawal",0,0,1,0,0,0,0,0,0,0,0
"6","<18","Other.trad",0,0,0,1,0,0,0,0,0,0,0
"6","<18","Condom",0,0,0,0,1,0,0,0,0,0,0
"6","<18","Pill",3.803568,0.013459993353609,0,0,0,0.186122083264976,0.800417923381414,0,0,0,0
"6","<18","Injectable",37.647729,0.00364176017097871,0,0,0,0,0.996358239829021,0,0,0,0
"6","<18","Implant",6.352089,0,0,0,0,0,0,1,0,0,0
"6","<18","IUD",0,0,0,0,0,0,0,0,1,0,0
"6","<18","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","<18","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","18-20","None",895.341791,0.797071488423352,0,0.00268660306508579,0,0.00457809301565373,0.153363638758151,0.0383253360280153,0.00397484070974187,0,0
"6","18-20","Withdrawal",0,0,1,0,0,0,0,0,0,0,0
"6","18-20","Other.trad",0,0,0,1,0,0,0,0,0,0,0
"6","18-20","Condom",0,0,0,0,1,0,0,0,0,0,0
"6","18-20","Pill",0,0,0,0,0,1,0,0,0,0,0
"6","18-20","Injectable",49.28511,0.21506020783965,0,0,0,0.0337022480014755,0.701637999793447,0.049599544365428,0,0,0
"6","18-20","Implant",8.593817,0,0,0,0,0,0,1,0,0,0
"6","18-20","IUD",2.709903,0,0,0,0,0,0,0,1,0,0
"6","18-20","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","18-20","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","20-25","None",2948.672404,0.806995748246573,0.000538650545867828,0.00109138437882569,0.00110542256087123,0.0187220719823307,0.133825315916647,0.0306546128614971,0.00666758368048267,0,0.000399209826904868
"6","20-25","Withdrawal",2.152481,0,1,0,0,0,0,0,0,0,0
"6","20-25","Other.trad",0,0,0,1,0,0,0,0,0,0,0
"6","20-25","Condom",0,0,0,0,1,0,0,0,0,0,0
"6","20-25","Pill",2.807036,0,0,0,0,0.381311817874798,0.618688182125202,0,0,0,0
"6","20-25","Injectable",105.830483,0.0722173969479096,0,0,0,0,0.92778260305209,0,0,0,0
"6","20-25","Implant",19.082669,0,0,0,0,0,0,1,0,0,0
"6","20-25","IUD",4.487141,0,0,0,0,0,0,0,1,0,0
"6","20-25","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","20-25","Other.mod",0.077621,0,0,0,0,0,0,0,0,0,1
"6","25-35","None",4361.482223,0.858240242333323,0.000721462300913751,0.00187885507288929,9.26643694358582e-05,0.0117661953840778,0.108270890228503,0.0151386241245721,0.00389106618628536,0,0
"6","25-35","Withdrawal",0,0,1,0,0,0,0,0,0,0,0
"6","25-35","Other.trad",2.468664,0,0,1,0,0,0,0,0,0,0
"6","25-35","Condom",0,0,0,0,1,0,0,0,0,0,0
"6","25-35","Pill",13.340493,0.295444028942559,0,0,0,0.621396225761672,0,0,0.0831597452957698,0,0
"6","25-35","Injectable",81.053036,0,0,0,0,0,0.989029578114754,0,0.00665688821329284,0.00431353367195277,0
"6","25-35","Implant",20.632007,0,0,0,0,0,0,1,0,0,0
"6","25-35","IUD",11.834989,0,0,0,0,0,0,0,1,0,0
"6","25-35","F.sterilization",2.575693,0,0,0,0,0,0,0,0,1,0
"6","25-35","Other.mod",0.058683,0,0,0,0,0,0,0,0,0,1
