estimate,coef,se,method,functionform,country
0.068278253,shape,0.015186729,None,gamma,Ethiopia
-2.811755249,rate,0.0275339,None,gamma,Ethiopia
0.233421594,"age_grp_fact(0,18]",0.04348456,None,gamma,Ethiopia
0.058725611,"age_grp_fact(18,20]",0.044278188,None,gamma,Ethiopia
0,"age_grp_fact(20,25]",0,None,gamma,Ethiopia
-0.272354739,"age_grp_fact(25,35]",0.029195993,None,gamma,Ethiopia
-1.146288137,"age_grp_fact(35,50]",0.044638226,None,gamma,Ethiopia
2.190608489,meanlog,0.107974562,Pill,lnorm,Ethiopia
0.295556374,sdlog,0.036005526,Pill,lnorm,Ethiopia
-0.490502855,"age_grp_fact(0,18]",0.216662406,Pill,lnorm,Ethiopia
-0.188665351,"age_grp_fact(18,20]",0.234486044,Pill,lnorm,Ethiopia
0,"age_grp_fact(20,25]",0,Pill,lnorm,Ethiopia
-0.006883309,"age_grp_fact(25,35]",0.142909649,Pill,lnorm,Ethiopia
0.361838957,"age_grp_fact(35,50]",0.205221,Pill,lnorm,Ethiopia
0.207112284,shape,0.105505551,IUD,weibull,Ethiopia
3.58190388,scale,0.202308519,IUD,weibull,Ethiopia
-0.407963816,"age_grp_fact(0,18]",0.608943441,IUD,weibull,Ethiopia
-0.444388198,"age_grp_fact(18,20]",0.365140506,IUD,weibull,Ethiopia
0,"age_grp_fact(20,25]",0,IUD,weibull,Ethiopia
0.994941317,"age_grp_fact(25,35]",0.265187077,IUD,weibull,Ethiopia
0.923132673,"age_grp_fact(35,50]",0.338873881,IUD,weibull,Ethiopia
2.813057938,meanlog,0.045868813,Injectable,lnorm,Ethiopia
0.185682323,sdlog,0.01688996,Injectable,lnorm,Ethiopia
-0.466225243,"age_grp_fact(0,18]",0.079780312,Injectable,lnorm,Ethiopia
-0.130943185,"age_grp_fact(18,20]",0.084641171,Injectable,lnorm,Ethiopia
0,"age_grp_fact(20,25]",0,Injectable,lnorm,Ethiopia
0.272429381,"age_grp_fact(25,35]",0.0602049,Injectable,lnorm,Ethiopia
0.565878371,"age_grp_fact(35,50]",0.079164009,Injectable,lnorm,Ethiopia
3.485303316,meanlog,0.378563972,Condom,lnorm,Ethiopia
0.337311117,sdlog,0.094975071,Condom,lnorm,Ethiopia
-2.053563321,"age_grp_fact(0,18]",0.512040825,Condom,lnorm,Ethiopia
-1.860579575,"age_grp_fact(18,20]",0.576773433,Condom,lnorm,Ethiopia
0,"age_grp_fact(20,25]",0,Condom,lnorm,Ethiopia
-0.935218149,"age_grp_fact(25,35]",0.466376341,Condom,lnorm,Ethiopia
0.055102665,"age_grp_fact(35,50]",0.584121114,Condom,lnorm,Ethiopia
3.40462042,meanlog,0.134757861,Withdrawal,lnorm,Ethiopia
-0.282589509,sdlog,0.134757861,Withdrawal,lnorm,Ethiopia
-3.40462042,"age_grp_fact(0,18]",0.134757861,Withdrawal,lnorm,Ethiopia
-0.146523882,"age_grp_fact(18,20]",0.134757861,Withdrawal,lnorm,Ethiopia
0,"age_grp_fact(20,25]",0,Withdrawal,lnorm,Ethiopia
-0.530169318,"age_grp_fact(25,35]",0.134757861,Withdrawal,lnorm,Ethiopia
3.028878422,"age_grp_fact(35,50]",1347.578612,Withdrawal,lnorm,Ethiopia
0.488372629,shape,0.039969441,Implant,weibull,Ethiopia
3.590975666,scale,0.057006316,Implant,weibull,Ethiopia
-0.329211486,"age_grp_fact(0,18]",0.128888605,Implant,weibull,Ethiopia
0,"age_grp_fact(20,25]",0,Implant,weibull,Ethiopia
-0.331178792,"age_grp_fact(18,20]",0.113320548,Implant,weibull,Ethiopia
0.403816358,"age_grp_fact(25,35]",0.075692604,Implant,weibull,Ethiopia
0.517806615,"age_grp_fact(35,50]",0.105153198,Implant,weibull,Ethiopia
0.477832016,shape,0.120153347,Other.trad,llogis,Ethiopia
2.904053741,scale,0.246238486,Other.trad,llogis,Ethiopia
-0.449241378,"age_grp_fact(0,18]",0.521383061,Other.trad,llogis,Ethiopia
0.552999171,"age_grp_fact(18,20]",0.590116314,Other.trad,llogis,Ethiopia
0,"age_grp_fact(20,25]",0,Other.trad,llogis,Ethiopia
0.307485778,"age_grp_fact(25,35]",0.297291525,Other.trad,llogis,Ethiopia
1.070756022,"age_grp_fact(35,50]",0.443040271,Other.trad,llogis,Ethiopia
1.368330387,meanlog,0.251992669,Other.mod,lnorm,Ethiopia
0.372313751,sdlog,0.09538147,Other.mod,lnorm,Ethiopia
-0.281067651,"age_grp_fact(0,18]",0.438702085,Other.mod,lnorm,Ethiopia
0.548793828,"age_grp_fact(18,20]",0.747151704,Other.mod,lnorm,Ethiopia
0,"age_grp_fact(20,25]",0,Other.mod,lnorm,Ethiopia
-0.058325766,"age_grp_fact(25,35]",0.51084665,Other.mod,lnorm,Ethiopia
1.578943271,"age_grp_fact(35,50]",0.641835504,Other.mod,lnorm,Ethiopia
