age,male,female
0,0.04087299,0.03196802
1,0.00407133,0.00367283
2,0.00398259,0.00326058
3,0.00388161,0.00289336
4,0.00373636,0.00255809
5,0.00352451,0.00224835
6,0.00323739,0.00196309
7,0.00288883,0.00170516
8,0.00252579,0.00148406
9,0.00219267,0.0013064
10,0.00193128,0.00117834
11,0.00176247,0.00110203
12,0.00169023,0.00107562
13,0.00170821,0.00109352
14,0.00180736,0.0011487
15,0.00199493,0.00124039
16,0.00226495,0.00136071
17,0.00259805,0.00149616
18,0.00295533,0.00162945
19,0.00328163,0.001741
20,0.00354823,0.00182911
21,0.0037381,0.00189872
22,0.00385345,0.00195874
23,0.00390602,0.00201881
24,0.00391561,0.00208338
25,0.00390644,0.00215466
26,0.0038998,0.0022303
27,0.00391401,0.00230608
28,0.00395508,0.00237717
29,0.00402227,0.00243869
30,0.00410676,0.00248931
31,0.00419648,0.00252932
32,0.0042831,0.00256264
33,0.00436366,0.00259725
34,0.00444625,0.00264444
35,0.00454197,0.00271533
36,0.00466469,0.00282013
37,0.00482904,0.00296868
38,0.00504179,0.0031636
39,0.00530214,0.00340083
40,0.00559336,0.00366104
41,0.00589036,0.00391422
42,0.00617525,0.00413655
43,0.00643654,0.00431176
44,0.00668891,0.00445121
45,0.00696531,0.00458535
46,0.00730558,0.00475262
47,0.00775545,0.00499688
48,0.0083421,0.00534504
49,0.00907098,0.0058071
50,0.00991191,0.00636343
51,0.01080018,0.00696557
52,0.01167388,0.00756431
53,0.01248591,0.00811348
54,0.01323998,0.00860762
55,0.01398648,0.00908313
56,0.01480216,0.00959857
57,0.01578828,0.01023336
58,0.01703315,0.01105705
59,0.01858989,0.01211419
60,0.02045707,0.01341421
61,0.02257817,0.01492931
62,0.02488622,0.01662361
63,0.02732872,0.01846967
64,0.0298806,0.02045637
65,0.03255009,0.02259227
66,0.03537816,0.02490853
67,0.03844763,0.02746709
68,0.04188404,0.0303857
69,0.04576638,0.03372182
70,0.05009205,0.03743379
71,0.05481421,0.04144102
72,0.0598808,0.04565778
73,0.06530044,0.05005228
74,0.07115956,0.0547192
75,0.0775642,0.05981591
76,0.08464012,0.06553002
77,0.09253357,0.07208306
78,0.10163463,0.07968696
79,0.11217776,0.08842332
80,0.12405624,0.09829875
81,0.13711028,0.1092321
82,0.15120169,0.12110112
83,0.16759495,0.13413444
84,0.186816,0.14832537
85,0.20788831,0.16322973
86,0.22990084,0.17844396
87,0.25188556,0.19367512
88,0.27491251,0.20932943
89,0.30049592,0.22624984
90,0.3281337,0.24491137
91,0.35692839,0.26584511
92,0.38588587,0.28952051
93,0.41452021,0.31597438
94,0.44265529,0.3449316
95,0.47081366,0.37549945
96,0.49970859,0.40652006
97,0.52981203,0.43706896
98,0.56139687,0.4664343
99,0.5940077,0.49478728
100,0.6562602,0.55639811
