year,population
1960,22002704
1961,22560645
1962,23143670
1963,23754287
1964,24393105
1965,25061907
1966,25693384
1967,26409808
1968,27147498
1969,27913277
1970,28703215
1971,29495974
1972,30286682
1973,31101950
1974,31875277
1975,32630289
1976,33494143
1977,33895893
1978,34622236
1979,34895411
1980,34995528
1981,36642161
1982,37784625
1983,38685748
1984,39720032
1985,40851897
1986,42058721
1987,43645192
1988,45377881
1989,47014026
1990,48742121
1991,51132739
1992,52890369
1993,54692975
1994,56547446
1995,58405626
1996,60289671
1997,62177288
1998,64095699
1999,66059460
2000,68004275
2001,70033590
2002,72112839
2003,74224838
2004,76377213
2005,78562668
2006,80819432
2007,83172937
2008,85541272
2009,87969898
2010,90505683
2011,93130176
2012,95772383
2013,98396349
2014,101097184
2015,103846607
2016,106739850
2017,109656049
2018,112602827
2019,115638360
2020,118743462
2021,121822590
