year,cpr,mcpr
1970,0.7,""
1971,0.8,""
1972,0.8,""
1973,0.9,""
1974,1,""
1975,1.1,""
1976,1.2,""
1977,1.3,""
1978,1.4,""
1979,1.5,""
1980,1.6,""
1981,1.7,""
1982,1.9,""
1983,2,""
1984,2.2,""
1985,2.4,""
1986,2.6,""
1987,2.8,""
1988,3,""
1989,3.2,""
1990,3.1,2.3
1991,3.2,2.4
1992,3.3,2.6
1993,3.4,2.7
1994,3.5,2.9
1995,3.6,3.0
1996,3.8,3.2
1997,4,3.5
1998,4.4,3.8
1999,4.8,4.3
2000,5.4,4.9
2001,6.1,5.6
2002,7,6.5
2003,8,7.5
2004,9.1,8.6
2005,10.4,9.8
2006,11.7,11.2
2007,13.2,12.6
2008,14.7,14.2
2009,16.4,15.8
2010,18.1,17.6
2011,20,19.4
2012,21.9,21.3
2013,23.7,23.2
2014,25.2,24.8
2015,26.1,25.6
2016,26.4,25.9
2017,26.6,26.1
2018,27,26.5
2019,27.2,26.7
2020,27.3,26.9
2021,27.9,27.4
2022,28.7,28.2
2023,29.6,29.1
2024,30.5,30.1
2025,31.5,31.0
2026,32.4,31.9
2027,33.3,32.8
2028,34.2,33.7
2029,35,34.4
2030,35.7,35.2
