year,crude_death_rate
1950,27.877
1951,27.503
1952,27.125
1953,26.602
1954,26.186
1955,25.701
1956,25.277
1957,31.357
1958,30.52
1959,23.635
1960,23.349
1961,22.865
1962,22.573
1963,22.174
1964,21.959
1965,21.878
1966,23.934
1967,21.713
1968,21.664
1969,21.756
1970,21.818
1971,21.792
1972,22.978
1973,22.879
1974,24.867
1975,24.881
1976,22.487
1977,22.538
1978,22.532
1979,21.802
1980,21.487
1981,21.183
1982,21.04
1983,28.374
1984,27.792
1985,26.791
1986,26.357
1987,19.495
1988,19.782
1989,19.762
1990,20.055
1991,18.88
1992,18.295
1993,17.808
1994,17.345
1995,16.892
1996,16.317
1997,15.808
1998,15.413
1999,15.539
2000,14.758
2001,14.36
2002,13.96
2003,13.258
2004,12.745
2005,12.226
2006,11.539
2007,10.807
2008,10.143
2009,9.485
2010,9.001
2011,8.52
2012,8.119
2013,7.734
2014,7.502
2015,7.208
2016,6.93
2017,6.767
2018,6.569
2019,6.439
2020,6.616
2021,6.776
2022,6.497
2023,6.11
2024,5.893
2025,5.837
2026,5.77
2027,5.71
2028,5.651
2029,5.6
2030,5.553
