region,age,male,female
addis_ababa,0,85808,84859
addis_ababa,5,108489,111190
addis_ababa,10,133471,145996
addis_ababa,15,147218,186305
addis_ababa,20,129919,146393
addis_ababa,25,100445,110036
addis_ababa,30,70030,69564
addis_ababa,35,63485,72648
addis_ababa,40,50878,41109
addis_ababa,45,42145,31884
addis_ababa,50,29904,26223
addis_ababa,55,20016,17206
addis_ababa,60,15553,15942
addis_ababa,65,10196,10025
addis_ababa,70,6959,8397
addis_ababa,75,4145,4493
addis_ababa,80,4791,7015
afar,0,69062,56153
afar,5,112308,82910
afar,10,112744,72748
afar,15,80833,50840
afar,20,50599,38664
afar,25,32117,35948
afar,30,31941,39577
afar,35,26482,30428
afar,40,32553,27661
afar,45,19301,13503
afar,50,19583,12283
afar,55,8486,4301
afar,60,12439,5147
afar,65,4446,1815
afar,70,4755,1924
afar,75,763,1770
afar,80,2864,1236
amhara,0,1063425,1039862
amhara,5,1083627,1072118
amhara,10,962649,885335
amhara,15,742766,740028
amhara,20,525138,564480
amhara,25,481007,531523
amhara,30,366492,420412
amhara,35,342041,367473
amhara,40,292577,309360
amhara,45,248468,211516
amhara,50,224383,236333
amhara,55,149310,120785
amhara,60,164406,154539
amhara,65,109904,78971
amhara,70,92528,80203
amhara,75,45471,31283
amhara,80,53354,42530
benishangul_gumuz,0,35598,34318
benishangul_gumuz,5,39054,37365
benishangul_gumuz,10,32713,29278
benishangul_gumuz,15,24422,25554
benishangul_gumuz,20,16876,20317
benishangul_gumuz,25,16931,19999
benishangul_gumuz,30,12647,14377
benishangul_gumuz,35,12416,13029
benishangul_gumuz,40,10141,9834
benishangul_gumuz,45,8190,6328
benishangul_gumuz,50,7273,5859
benishangul_gumuz,55,3908,2576
benishangul_gumuz,60,4713,3334
benishangul_gumuz,65,2369,1422
benishangul_gumuz,70,2399,1783
benishangul_gumuz,75,1085,606
benishangul_gumuz,80,2278,1467
central,0,763492,760552
central,5,911412,894035
central,10,791413,724175
central,15,567482,565414
central,20,365270,435650
central,25,363297,435550
central,30,275582,326932
central,35,271387,317524
central,40,217935,224555
central,45,169706,156831
central,50,137902,130372
central,55,79859,63999
central,60,93050,77540
central,65,48413,35048
central,70,43511,30689
central,75,20461,12507
central,80,37843,21804
dire_dawa,0,14298,13734
dire_dawa,5,17214,16885
dire_dawa,10,17090,16068
dire_dawa,15,16282,17286
dire_dawa,20,12627,13529
dire_dawa,25,10845,12287
dire_dawa,30,9248,9056
dire_dawa,35,8023,7516
dire_dawa,40,6771,5182
dire_dawa,45,4096,3089
dire_dawa,50,3585,3118
dire_dawa,55,1701,1466
dire_dawa,60,2310,2151
dire_dawa,65,970,829
dire_dawa,70,1075,1070
dire_dawa,75,403,337
dire_dawa,80,748,975
gambela,0,10221,9611
gambela,5,13175,12006
gambela,10,12261,10565
gambela,15,10450,10550
gambela,20,7267,8777
gambela,25,8047,8675
gambela,30,5341,5654
gambela,35,5085,4622
gambela,40,3849,2652
gambela,45,2915,1886
gambela,50,1835,1431
gambela,55,1015,633
gambela,60,966,707
gambela,65,524,369
gambela,70,322,259
gambela,75,140,102
gambela,80,286,199
harari,0,7065,6802
harari,5,9115,8538
harari,10,9372,8546
harari,15,8362,8991
harari,20,5951,6691
harari,25,5040,6071
harari,30,4877,4738
harari,35,4107,3843
harari,40,3558,2716
harari,45,2079,1727
harari,50,1893,1974
harari,55,841,927
harari,60,1340,1549
harari,65,552,610
harari,70,628,851
harari,75,293,276
harari,80,477,739
oromia,0,1442519,1422074
oromia,5,1532890,1505140
oromia,10,1393884,1304803
oromia,15,1035413,1014714
oromia,20,707714,732536
oromia,25,582995,668193
oromia,30,461922,534411
oromia,35,437055,500521
oromia,40,378198,399230
oromia,45,288268,256814
oromia,50,261594,280113
oromia,55,160156,136644
oromia,60,202344,196458
oromia,65,107773,81931
oromia,70,107203,96120
oromia,75,50593,34575
oromia,80,89887,69135
somali,0,236849,209061
somali,5,354039,286088
somali,10,365196,267903
somali,15,248098,173908
somali,20,146947,114943
somali,25,86685,101700
somali,30,80398,101909
somali,35,57492,78121
somali,40,80933,78380
somali,45,41953,36890
somali,50,53574,40614
somali,55,19403,11803
somali,60,37735,18706
somali,65,9732,4490
somali,70,15531,7237
somali,75,2951,1430
somali,80,7901,4565
sidama,0,763492,760552
sidama,5,911412,894035
sidama,10,791413,724175
sidama,15,567482,565414
sidama,20,365270,435650
sidama,25,363297,435550
sidama,30,275582,326932
sidama,35,271387,317524
sidama,40,217935,224555
sidama,45,169706,156831
sidama,50,137902,130372
sidama,55,79859,63999
sidama,60,93050,77540
sidama,65,48413,35048
sidama,70,43511,30689
sidama,75,20461,12507
sidama,80,37843,21804
south,0,763492,760552
south,5,911412,894035
south,10,791413,724175
south,15,567482,565414
south,20,365270,435650
south,25,363297,435550
south,30,275582,326932
south,35,271387,317524
south,40,217935,224555
south,45,169706,156831
south,50,137902,130372
south,55,79859,63999
south,60,93050,77540
south,65,48413,35048
south,70,43511,30689
south,75,20461,12507
south,80,37843,21804
southwest,0,763492,760552
southwest,5,911412,894035
southwest,10,791413,724175
southwest,15,567482,565414
southwest,20,365270,435650
southwest,25,363297,435550
southwest,30,275582,326932
southwest,35,271387,317524
southwest,40,217935,224555
southwest,45,169706,156831
southwest,50,137902,130372
southwest,55,79859,63999
southwest,60,93050,77540
southwest,65,48413,35048
southwest,70,43511,30689
southwest,75,20461,12507
southwest,80,37843,21804
tigray,0,261861,252783
tigray,5,240133,232822
tigray,10,219045,197837
tigray,15,173769,187510
tigray,20,109417,124222
tigray,25,90319,106892
tigray,30,68595,96373
tigray,35,62249,79568
tigray,40,60576,68394
tigray,45,58540,52697
tigray,50,52789,59163
tigray,55,40640,38137
