"region","age","parity","Freq","percentage"
"addis_ababa","15-19","0",211.299864,22.7135324531505
"addis_ababa","15-19","1",4.988107,0.53619310528419
"addis_ababa","15-19","2",1.055169,0.113424660439243
"addis_ababa","15-19","3",0,0
"addis_ababa","15-19","4",0,0
"addis_ababa","15-19","5",0,0
"addis_ababa","15-19","6",0,0
"addis_ababa","20-24","0",152.518749,16.3948972306267
"addis_ababa","20-24","1",27.680814,2.97552991855509
"addis_ababa","20-24","2",4.346943,0.467271625420901
"addis_ababa","20-24","3",0.965626,0.103799297706154
"addis_ababa","20-24","4",0,0
"addis_ababa","20-24","5",0,0
"addis_ababa","20-24","6",0,0
"addis_ababa","25-29","0",80.433181,8.64610905264768
"addis_ababa","25-29","1",46.276241,4.9744324575775
"addis_ababa","25-29","2",35.403792,3.80570608676108
"addis_ababa","25-29","3",4.410128,0.474063653209675
"addis_ababa","25-29","4",1.330524,0.143023755347498
"addis_ababa","25-29","5",0,0
"addis_ababa","25-29","6",0,0
"addis_ababa","30-34","0",42.092594,4.524714222515
"addis_ababa","30-34","1",32.598719,3.50417670849818
"addis_ababa","30-34","2",39.067856,4.19957210730154
"addis_ababa","30-34","3",21.642477,2.32644306721401
"addis_ababa","30-34","4",4.238865,0.455653855707279
"addis_ababa","30-34","5",0.637581,0.0685363277612527
"addis_ababa","30-34","6",1.330338,0.143003761406393
"addis_ababa","35-39","0",25.143385,2.70277074659904
"addis_ababa","35-39","1",19.647654,2.11201095121042
"addis_ababa","35-39","2",28.328404,3.04514215683526
"addis_ababa","35-39","3",18.438701,1.9820553862611
"addis_ababa","35-39","4",6.336825,0.681172612053528
"addis_ababa","35-39","5",3.167293,0.34046596615006
"addis_ababa","35-39","6",2.567527,0.275994535608599
"addis_ababa","40-44","0",12.526242,1.34649970329851
"addis_ababa","40-44","1",10.887329,1.17032588610481
"addis_ababa","40-44","2",16.853737,1.81168077943658
"addis_ababa","40-44","3",12.864233,1.38283181162099
"addis_ababa","40-44","4",8.134948,0.874460597867169
"addis_ababa","40-44","5",5.186171,0.557483857708909
"addis_ababa","40-44","6",2.768196,0.297565310703093
"addis_ababa","45-49","0",7.139915,0.76750021507461
"addis_ababa","45-49","1",7.905192,0.849763135864514
"addis_ababa","45-49","2",11.901216,1.27931296656184
"addis_ababa","45-49","3",5.18432,0.557284885746623
"addis_ababa","45-49","4",6.38584,0.686441445511893
"addis_ababa","45-49","5",2.716151,0.291970769494471
"addis_ababa","45-49","6",3.880977,0.417182933158114
"afar","15-19","0",23.259966,18.146707591843
"afar","15-19","1",4.74151,3.69917976293687
"afar","15-19","2",1.499284,1.16969510381609
"afar","15-19","3",0.026157,0.0204068841063585
"afar","15-19","4",0,0
"afar","15-19","5",0,0
"afar","15-19","6",0,0
"afar","20-24","0",6.547672,5.10829161105816
"afar","20-24","1",9.073551,7.07890444967439
"afar","20-24","2",6.417831,5.00699367019133
"afar","20-24","3",2.622592,2.04606533632538
"afar","20-24","4",1.559559,1.21671979852538
"afar","20-24","5",0.426862,0.333024557992445
"afar","20-24","6",0.06225,0.0485655287540931
"afar","25-29","0",2.396614,1.86976427517208
"afar","25-29","1",3.649746,2.84741918567287
"afar","25-29","2",5.12828,4.00092577990427
"afar","25-29","3",4.991035,3.89385146674996
"afar","25-29","4",4.851096,3.78467537794163
"afar","25-29","5",2.605786,2.03295381381548
"afar","25-29","6",1.894425,1.47797191662607
"afar","30-34","0",0.936748,0.73082187838296
"afar","30-34","1",1.321646,1.03110741872662
"afar","30-34","2",2.332762,1.81994891546114
"afar","30-34","3",3.174662,2.47677331157473
"afar","30-34","4",2.706409,2.11145677284878
"afar","30-34","5",2.816144,2.19706863305489
"afar","30-34","6",4.585399,3.57738677885125
"afar","35-39","0",1.03111,0.804440198451935
"afar","35-39","1",0,0
"afar","35-39","2",1.15197,0.898731440302854
"afar","35-39","3",1.01733,0.793689467749423
"afar","35-39","4",1.214433,0.947463145083046
"afar","35-39","5",1.59794,1.24666347015768
"afar","35-39","6",6.578378,5.13224748456697
"afar","40-44","0",0.402116,0.313718492537846
"afar","40-44","1",0.485123,0.378477992060593
"afar","40-44","2",0.605628,0.472492273868015
"afar","40-44","3",0.715976,0.558582377754869
"afar","40-44","4",0.536641,0.418670745640567
"afar","40-44","5",1.494692,1.16611256714077
"afar","40-44","6",3.622716,2.82633121391025
"afar","45-49","0",0.577377,0.450451715589591
