year,region,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
2019,addis_ababa,4,14,100,129,113,76,NA,NA
2019,afar,2,204,299,278,149,112,NA,NA
2019,amhara,1,42,157,195,144,118,46,NA
2019,benishangul_gumuz,0,73,248,214,169,127,66,NA
2019,dire_dawa,2,69,142,170,151,64,23,NA
2019,gambela,1,124,161,175,135,64,NA,NA
2019,harari,3,78,164,208,164,72,NA,NA
2019,oromia,0,89,235,205,163,113,54,NA
2019,snnpr,1,73,181,214,161,130,38,NA
2019,somali,0,95,264,274,243,194,NA,NA
2019,tigray,0,71,166,168,184,128,70,NA
