"region","space_mo","urban_rural","Freq"
"Addis Ababa","8","urban",0.971163
"Addis Ababa","9","urban",2.714973
"Addis Ababa","10","urban",3.575266
"Addis Ababa","11","urban",5.127556
"Addis Ababa","12","urban",4.757707
"Addis Ababa","13","urban",5.459145
"Addis Ababa","14","urban",7.474843
"Addis Ababa","15","urban",7.953945
"Addis Ababa","16","urban",6.810029
"Addis Ababa","17","urban",7.501946
"Addis Ababa","18","urban",7.967257
"Addis Ababa","19","urban",5.881314
"Addis Ababa","20","urban",6.703547
"Addis Ababa","21","urban",4.345847
"Addis Ababa","22","urban",10.555948
"Addis Ababa","23","urban",9.072923
"Addis Ababa","24","urban",6.088018
"Addis Ababa","25","urban",10.784707
"Addis Ababa","26","urban",14.599349
"Addis Ababa","27","urban",6.629289
"Addis Ababa","28","urban",11.284991
"Addis Ababa","29","urban",11.465014
"Addis Ababa","30","urban",5.623862
"Addis Ababa","31","urban",5.206804
"Addis Ababa","32","urban",5.431549
"Addis Ababa","33","urban",8.282678
"Addis Ababa","34","urban",6.859078
"Addis Ababa","35","urban",10.290993
"Addis Ababa","36","urban",6.101396
"Addis Ababa","37","urban",7.391765
"Addis Ababa","38","urban",8.793983
"Addis Ababa","39","urban",9.378429
"Addis Ababa","40","urban",5.449615
"Addis Ababa","41","urban",3.697198
"Addis Ababa","42","urban",5.824107
"Addis Ababa","43","urban",6.1704
"Addis Ababa","44","urban",3.789346
"Addis Ababa","45","urban",6.653487
"Addis Ababa","46","urban",7.518493
"Addis Ababa","47","urban",8.556969
"Addis Ababa","48","urban",4.527959
"Addis Ababa","49","urban",4.821056
"Addis Ababa","50","urban",4.091668
"Addis Ababa","51","urban",5.063837
"Addis Ababa","52","urban",4.879413
"Addis Ababa","53","urban",6.483406
"Addis Ababa","54","urban",3.120354
"Addis Ababa","55","urban",4.354653
"Addis Ababa","56","urban",3.567254
"Addis Ababa","57","urban",6.46123
"Addis Ababa","58","urban",2.471303
"Addis Ababa","59","urban",5.066673
"Addis Ababa","60","urban",3.740622
"Addis Ababa","61","urban",1.930554
"Addis Ababa","62","urban",3.063
"Addis Ababa","63","urban",2.094144
"Addis Ababa","64","urban",4.13623
"Addis Ababa","65","urban",0.870168
"Addis Ababa","66","urban",2.853298
"Addis Ababa","67","urban",1.754137
"Addis Ababa","68","urban",1.354711
"Addis Ababa","69","urban",3.556754
"Addis Ababa","70","urban",3.728314
"Addis Ababa","71","urban",2.253768
"Addis Ababa","72","urban",4.233749
"Addis Ababa","73","urban",3.780762
"Addis Ababa","74","urban",2.26867
"Addis Ababa","75","urban",2.004927
"Addis Ababa","76","urban",2.303313
"Addis Ababa","77","urban",2.100714
"Addis Ababa","78","urban",2.444668
"Addis Ababa","79","urban",2.303139
"Addis Ababa","80","urban",1.488377
"Addis Ababa","81","urban",2.506934
"Addis Ababa","82","urban",1.107753
"Addis Ababa","83","urban",2.194307
"Addis Ababa","84","urban",2.782035
"Addis Ababa","85","urban",2.404382
"Addis Ababa","86","urban",4.54776
"Addis Ababa","87","urban",0.672066
"Addis Ababa","88","urban",1.64102
"Addis Ababa","89","urban",1.989793
"Addis Ababa","90","urban",0.874631
"Addis Ababa","91","urban",1.642404
"Addis Ababa","92","urban",1.367372
"Addis Ababa","93","urban",2.735087
"Addis Ababa","94","urban",0.485141
"Addis Ababa","96","urban",1.463113
"Addis Ababa","97","urban",1.789777
"Addis Ababa","98","urban",1.747322
"Addis Ababa","99","urban",0.411063
"Addis Ababa","100","urban",2.728079
"Addis Ababa","101","urban",1.260522
"Addis Ababa","102","urban",1.612386
"Addis Ababa","104","urban",3.599498
"Addis Ababa","105","urban",1.204554
"Addis Ababa","108","urban",1.124616
"Addis Ababa","110","urban",0.419123
"Addis Ababa","111","urban",2.391275
"Addis Ababa","112","urban",0.363043
"Addis Ababa","113","urban",1.00653
"Addis Ababa","114","urban",0.559482
"Addis Ababa","115","urban",1.091189
"Addis Ababa","116","urban",1.263329
"Addis Ababa","117","urban",0.685395
"Addis Ababa","119","urban",0.427583
"Addis Ababa","120","urban",0.37311
"Addis Ababa","121","urban",0.427583
"Addis Ababa","122","urban",1.116862
"Addis Ababa","123","urban",0.556598
"Addis Ababa","124","urban",0.485141
"Addis Ababa","125","urban",2.035253
"Addis Ababa","127","urban",0.427583
"Addis Ababa","128","urban",0.979203
"Addis Ababa","130","urban",0.37311
"Addis Ababa","131","urban",1.808515
"Addis Ababa","133","urban",0.411802
"Addis Ababa","136","urban",0.699948
"Addis Ababa","137","urban",2.237805
"Addis Ababa","138","urban",0.418612
"Addis Ababa","139","urban",0.111606
"Addis Ababa","140","urban",0.662023
"Addis Ababa","144","urban",1.127073
"Addis Ababa","147","urban",1.10007
"Addis Ababa","149","urban",0.411063
"Addis Ababa","150","urban",0.566973
"Addis Ababa","151","urban",1.309157
"Addis Ababa","155","urban",1.516305
"Addis Ababa","159","urban",0.947789
"Addis Ababa","161","urban",0.548271
"Addis Ababa","163","urban",0.427583
"Addis Ababa","164","urban",0.419123
"Addis Ababa","170","urban",0.447048
"Addis Ababa","173","urban",0.489805
"Addis Ababa","175","urban",0.559482
"Addis Ababa","176","urban",1.043711
"Addis Ababa","180","urban",0.591263
"Addis Ababa","191","urban",0.463521
"Addis Ababa","8","rural",0
"Addis Ababa","9","rural",0
"Addis Ababa","10","rural",0
"Addis Ababa","11","rural",0
"Addis Ababa","12","rural",0
"Addis Ababa","13","rural",0
"Addis Ababa","14","rural",0
"Addis Ababa","15","rural",0
"Addis Ababa","16","rural",0
"Addis Ababa","17","rural",0
"Addis Ababa","18","rural",0
"Addis Ababa","19","rural",0
"Addis Ababa","20","rural",0
"Addis Ababa","21","rural",0
"Addis Ababa","22","rural",0
"Addis Ababa","23","rural",0
"Addis Ababa","24","rural",0
"Addis Ababa","25","rural",0
"Addis Ababa","26","rural",0
"Addis Ababa","27","rural",0
"Addis Ababa","28","rural",0
"Addis Ababa","29","rural",0
"Addis Ababa","30","rural",0
"Addis Ababa","31","rural",0
"Addis Ababa","32","rural",0
"Addis Ababa","33","rural",0
"Addis Ababa","34","rural",0
"Addis Ababa","35","rural",0
"Addis Ababa","36","rural",0
"Addis Ababa","37","rural",0
"Addis Ababa","38","rural",0
"Addis Ababa","39","rural",0
"Addis Ababa","40","rural",0
"Addis Ababa","41","rural",0
"Addis Ababa","42","rural",0
"Addis Ababa","43","rural",0
"Addis Ababa","44","rural",0
"Addis Ababa","45","rural",0
"Addis Ababa","46","rural",0
"Addis Ababa","47","rural",0
"Addis Ababa","48","rural",0
"Addis Ababa","49","rural",0
"Addis Ababa","50","rural",0
"Addis Ababa","51","rural",0
"Addis Ababa","52","rural",0
"Addis Ababa","53","rural",0
"Addis Ababa","54","rural",0
"Addis Ababa","55","rural",0
"Addis Ababa","56","rural",0
"Addis Ababa","57","rural",0
"Addis Ababa","58","rural",0
"Addis Ababa","59","rural",0
"Addis Ababa","60","rural",0
"Addis Ababa","61","rural",0
"Addis Ababa","62","rural",0
"Addis Ababa","63","rural",0
"Addis Ababa","64","rural",0
"Addis Ababa","65","rural",0
"Addis Ababa","66","rural",0
"Addis Ababa","67","rural",0
"Addis Ababa","68","rural",0
"Addis Ababa","69","rural",0
"Addis Ababa","70","rural",0
"Addis Ababa","71","rural",0
"Addis Ababa","72","rural",0
"Addis Ababa","73","rural",0
"Addis Ababa","74","rural",0
"Addis Ababa","75","rural",0
"Addis Ababa","76","rural",0
"Addis Ababa","77","rural",0
"Addis Ababa","78","rural",0
"Addis Ababa","79","rural",0
"Addis Ababa","80","rural",0
"Addis Ababa","81","rural",0
"Addis Ababa","82","rural",0
"Addis Ababa","83","rural",0
"Addis Ababa","84","rural",0
"Addis Ababa","85","rural",0
"Addis Ababa","86","rural",0
"Addis Ababa","87","rural",0
"Addis Ababa","88","rural",0
"Addis Ababa","89","rural",0
"Addis Ababa","90","rural",0
"Addis Ababa","91","rural",0
"Addis Ababa","92","rural",0
"Addis Ababa","93","rural",0
"Addis Ababa","94","rural",0
"Addis Ababa","96","rural",0
"Addis Ababa","97","rural",0
"Addis Ababa","98","rural",0
"Addis Ababa","99","rural",0
"Addis Ababa","100","rural",0
"Addis Ababa","101","rural",0
"Addis Ababa","102","rural",0
"Addis Ababa","104","rural",0
"Addis Ababa","105","rural",0
"Addis Ababa","108","rural",0
"Addis Ababa","110","rural",0
"Addis Ababa","111","rural",0
"Addis Ababa","112","rural",0
"Addis Ababa","113","rural",0
"Addis Ababa","114","rural",0
"Addis Ababa","115","rural",0
"Addis Ababa","116","rural",0
"Addis Ababa","117","rural",0
"Addis Ababa","119","rural",0
"Addis Ababa","120","rural",0
"Addis Ababa","121","rural",0
"Addis Ababa","122","rural",0
"Addis Ababa","123","rural",0
"Addis Ababa","124","rural",0
"Addis Ababa","125","rural",0
"Addis Ababa","127","rural",0
"Addis Ababa","128","rural",0
"Addis Ababa","130","rural",0
"Addis Ababa","131","rural",0
"Addis Ababa","133","rural",0
"Addis Ababa","136","rural",0
"Addis Ababa","137","rural",0
"Addis Ababa","138","rural",0
"Addis Ababa","139","rural",0
"Addis Ababa","140","rural",0
"Addis Ababa","144","rural",0
"Addis Ababa","147","rural",0
"Addis Ababa","149","rural",0
"Addis Ababa","150","rural",0
"Addis Ababa","151","rural",0
"Addis Ababa","155","rural",0
"Addis Ababa","159","rural",0
"Addis Ababa","161","rural",0
"Addis Ababa","163","rural",0
"Addis Ababa","164","rural",0
"Addis Ababa","170","rural",0
"Addis Ababa","173","rural",0
"Addis Ababa","175","rural",0
"Addis Ababa","176","rural",0
"Addis Ababa","180","rural",0
"Addis Ababa","191","rural",0
"Afar","8","urban",0.40155
"Afar","9","urban",1.284269
"Afar","10","urban",0.667505
"Afar","11","urban",0.585373
