region,month,weights
addis_ababa,0,1
addis_ababa,3,1
addis_ababa,6,1
addis_ababa,9,1
addis_ababa,12,1
addis_ababa,15,1
addis_ababa,18,1
addis_ababa,21,1
addis_ababa,24,1
addis_ababa,27,1
addis_ababa,30,1
addis_ababa,33,1
addis_ababa,36,1
afar,0,1
afar,3,1
afar,6,1
afar,9,1
afar,12,1
afar,15,1
afar,18,1
afar,21,1
afar,24,1
afar,27,1
afar,30,1
afar,33,1
afar,36,1
amhara,0,1
amhara,3,1
amhara,6,1
amhara,9,1
amhara,12,1
amhara,15,1
amhara,18,1
amhara,21,1
amhara,24,1
amhara,27,1
amhara,30,1
amhara,33,1
amhara,36,1
benishangul_gumuz,0,1
benishangul_gumuz,3,1
benishangul_gumuz,6,1
benishangul_gumuz,9,1
benishangul_gumuz,12,1
benishangul_gumuz,15,1
benishangul_gumuz,18,1
benishangul_gumuz,21,1
benishangul_gumuz,24,1
benishangul_gumuz,27,1
benishangul_gumuz,30,1
benishangul_gumuz,33,1
benishangul_gumuz,36,1
central,0,1
central,3,1
central,6,1
central,9,1
central,12,1
central,15,1
central,18,1
central,21,1
central,24,1
central,27,1
central,30,1
central,33,1
central,36,1
dire_dawa,0,1
dire_dawa,3,1
dire_dawa,6,1
dire_dawa,9,1
dire_dawa,12,1
dire_dawa,15,1
dire_dawa,18,1
dire_dawa,21,1
dire_dawa,24,1
dire_dawa,27,1
dire_dawa,30,1
dire_dawa,33,1
dire_dawa,36,1
gambela,0,1
gambela,3,1
gambela,6,1
gambela,9,1
gambela,12,1
gambela,15,1
gambela,18,1
gambela,21,1
gambela,24,1
gambela,27,1
gambela,30,1
gambela,33,1
gambela,36,1
harari,0,1
harari,3,1
harari,6,1
harari,9,1
harari,12,1
harari,15,1
harari,18,1
harari,21,1
harari,24,1
harari,27,1
harari,30,1
harari,33,1
harari,36,1
oromia,0,1
oromia,3,1
oromia,6,1
oromia,9,1
oromia,12,1
oromia,15,1
oromia,18,1
oromia,21,1
oromia,24,1
oromia,27,1
oromia,30,1
oromia,33,1
oromia,36,1
sidama,0,1
sidama,3,1
sidama,6,1
sidama,9,1
sidama,12,1
sidama,15,1
sidama,18,1
sidama,21,1
sidama,24,1
sidama,27,1
sidama,30,1
sidama,33,1
sidama,36,1
somali,0,1
somali,3,1
somali,6,1
somali,9,1
somali,12,1
somali,15,1
somali,18,1
somali,21,1
somali,24,1
somali,27,1
somali,30,1
somali,33,1
somali,36,1
south,0,1
south,3,1
south,6,1
south,9,1
south,12,1
south,15,1
south,18,1
south,21,1
south,24,1
south,27,1
south,30,1
south,33,1
south,36,1
southwest,0,1
southwest,3,1
southwest,6,1
southwest,9,1
southwest,12,1
southwest,15,1
southwest,18,1
southwest,21,1
southwest,24,1
southwest,27,1
southwest,30,1
southwest,33,1
southwest,36,1
tigray,0,1
tigray,3,1
tigray,6,1
tigray,9,1
tigray,12,1
tigray,15,1
tigray,18,1
tigray,21,1
tigray,24,1
tigray,27,1
tigray,30,1
tigray,33,1
tigray,36,1
