rhs,Estimate,Std. Error,t value,Pr(>|t|),region
(Intercept),-35.651234227848285,1.5532847961608494,-22.95215553256239,5.564559717674993e-10,addis_ababa
"age_grp(20,25]",16.02725806508209,1.7832372573090767,8.98773172183907,4.18910648761049e-6,addis_ababa
"age_grp(20,25]:prior_userTRUE",3.0061894268831852,2.0475416965690854,1.468194485084448,0.17278957018308122,addis_ababa
"age_grp(25,35]",16.0837594682025,1.5023217237787887,10.705935495459011,8.4774662778687e-7,addis_ababa
prior_userTRUE,16.08087575687112,1.2472172257259961,12.893404152200157,1.4828916050879317e-7,addis_ababa
(Intercept),-21.73711073729568,0.628664064473782,-34.576671334778055,2.581408717785792e-19,afar
"age_grp(18,20]",0.2909996272800621,0.861785964426002,0.3376704185172989,0.7391299592162031,afar
"age_grp(20,25]",0.1844347137458773,0.7624551218614821,0.24189582895789663,0.8113238851928581,afar
"age_grp(25,35]",0.1012478907374232,0.6867684670456892,0.14742652814705803,0.8842714639002365,afar
prior_userTRUE,21.439856303494803,2.024638969090277,10.589471323437131,1.1973924344884415e-9,afar
(Intercept),-21.562330163301418,0.9999999939208333,-21.56233029438242,5.786091055346919e-11,amhara
"age_grp(18,20]",0.03090873239050321,1.4770978923731808,0.020925310739455232,0.983649153985894,amhara
"age_grp(20,25]",0.04790723833078089,1.2062950903381278,0.039714360702033824,0.968973944589647,amhara
"age_grp(20,25]:prior_userTRUE",-0.10902977227317379,1.525437084403896,-0.07147444715216163,0.9441975762084265,amhara
"age_grp(25,35]",0.004841191240246282,1.0844356710673637,0.004464249350522843,0.9965114132446314,amhara
"age_grp(25,35]:prior_userTRUE",20.785178945792737,1.7000242748051297,12.226401266049745,3.9256805564301336e-8,amhara
"age_grp(35,50]",0.03603547247255731,1.2917832639762967,0.02789591216845068,0.978203729085162,amhara
"age_grp(35,50]:prior_userTRUE",0.045046867578858264,1.7775341062928132,0.02534233656579847,0.9801984610906898,amhara
prior_userTRUE,-0.04272685790005591,1.4142135652964594,-0.03021245089747046,0.9763942918032302,amhara
(Intercept),-68098076933046.44,500189254819301.6,-0.1361446218144921,0.8934052108012652,benishangul_gumuz
"age_grp(20,25]",68098076933021.41,500189254819301.6,0.13614462181444206,0.8934052108013042,benishangul_gumuz
"age_grp(20,25]:prior_userTRUE",-68098076932995.055,290891008749875.94,-0.23410169061481553,0.8178752277091443,benishangul_gumuz
"age_grp(25,35]",68098073419082.555,271300225517349.47,0.251006328097312,0.8050042804495304,benishangul_gumuz
"age_grp(25,35]:prior_userTRUE",-68098073419081.97,506145273159225.94,-0.13454254545148997,0.8946514973465973,benishangul_gumuz
"age_grp(35,50]",68098076933022.43,290891008749875.94,0.23410169061490965,0.8178752277090725,benishangul_gumuz
"age_grp(35,50]:prior_userTRUE",-68098076933021.39,346188420817203.7,-0.19670813013407779,0.8465328658349898,benishangul_gumuz
prior_userTRUE,68098076933019.42,290891008749875.94,0.2341016906148993,0.8178752277090804,benishangul_gumuz
(Intercept),-22.586366400192055,0.5589058362756161,-40.41175621049326,4.054008493372666e-19,central
