year,region,cpr,mcpr
2000,addis_ababa,21,15.6
2000,afar,6.6,6.3
2000,amhara,6,5.4
2000,benishangul_gumuz,6.7,6.3
2000,central,4.7,3.7
2000,dire_dawa,18.1,14.4
2000,gambela,10.9,10
2000,harari,14.5,12.3
2000,oromia,4.5,3
2000,sidama,4.7,3.7
2000,somali,3.4,2.9
2000,south,4.7,3.7
2000,southwest,4.7,3.7
2000,tigray,6.9,6.3
2001,addis_ababa,20.9,15.7
2001,afar,6.6,6.2
2001,amhara,7.1,6.6
2001,benishangul_gumuz,7.2,6.7
2001,central,5.4,4.5
2001,dire_dawa,18.5,15.3
2001,gambela,11.2,10.4
2001,harari,15.7,13.4
2001,oromia,5.6,4.2
2001,sidama,5.4,4.5
2001,somali,3.2,2.7
2001,south,5.4,4.5
2001,southwest,5.4,4.5
2001,tigray,7.8,7.2
2002,addis_ababa,20.8,15.9
2002,afar,6.6,6.1
2002,amhara,8.2,7.7
2002,benishangul_gumuz,7.7,7.2
2002,central,6.1,5.4
2002,dire_dawa,18.9,16.2
2002,gambela,11.4,10.8
2002,harari,16.9,14.5
2002,oromia,6.6,5.4
2002,sidama,6.1,5.4
2002,somali,3,2.5
2002,south,6.1,5.4
2002,southwest,6.1,5.4
2002,tigray,8.6,8.2
2003,addis_ababa,20.8,16
2003,afar,6.5,6.1
2003,amhara,9.3,8.9
2003,benishangul_gumuz,8.1,7.6
2003,central,6.8,6.2
2003,dire_dawa,19.4,17.1
2003,gambela,11.7,11.2
2003,harari,18.1,15.6
2003,oromia,7.7,6.7
2003,sidama,6.8,6.2
2003,somali,2.7,2.4
2003,south,6.8,6.2
2003,southwest,6.8,6.2
2003,tigray,9.5,9.1
2004,addis_ababa,20.7,16.2
2004,afar,6.5,6
2004,amhara,10.4,10
2004,benishangul_gumuz,8.6,8.1
2004,central,7.5,7.1
2004,dire_dawa,19.8,18
2004,gambela,11.9,11.6
2004,harari,19.3,16.7
2004,oromia,8.7,7.9
2004,sidama,7.5,7.1
2004,somali,2.5,2.2
2004,south,7.5,7.1
2004,southwest,7.5,7.1
2004,tigray,10.3,10.1
2005,addis_ababa,20.6,16.3
2005,afar,6.5,5.9
2005,amhara,11.5,11.2
2005,benishangul_gumuz,9.1,8.5
2005,central,8.2,7.9
2005,dire_dawa,20.2,18.9
2005,gambela,12.2,12
2005,harari,20.5,17.8
2005,oromia,9.8,9.1
2005,sidama,8.2,7.9
2005,somali,2.3,2
2005,south,8.2,7.9
2005,southwest,8.2,7.9
2005,tigray,11.2,11
2006,addis_ababa,21.7,17.7
2006,afar,6.8,6.2
2006,amhara,13.4,13.1
2006,benishangul_gumuz,11,10.4
2006,central,9.7,9.3
2006,dire_dawa,20.3,19
2006,gambela,15.7,15.4
2006,harari,20.8,18.2
2006,oromia,11.3,10.5
2006,sidama,9.7,9.3
2006,somali,2.5,2.2
2006,south,9.7,9.3
2006,southwest,9.7,9.3
2006,tigray,12,11.8
2007,addis_ababa,22.9,19.1
2007,afar,7,6.5
2007,amhara,15.4,15
2007,benishangul_gumuz,12.9,12.3
2007,central,11.2,10.8
2007,dire_dawa,20.5,19.1
2007,gambela,19.2,18.9
2007,harari,21.1,18.5
2007,oromia,12.7,11.9
2007,sidama,11.2,10.8
2007,somali,2.7,2.4
2007,south,11.2,10.8
2007,southwest,11.2,10.8
2007,tigray,12.9,12.5
2008,addis_ababa,24,20.6
2008,afar,7.3,6.8
2008,amhara,17.4,16.9
2008,benishangul_gumuz,14.9,14.2
2008,central,12.7,12.2
2008,dire_dawa,20.6,19.2
2008,gambela,22.6,22.3
2008,harari,21.4,18.9
2008,oromia,14.2,13.4
2008,sidama,12.7,12.2
2008,somali,2.9,2.5
2008,south,12.7,12.2
2008,southwest,12.7,12.2
2008,tigray,13.7,13.2
2009,addis_ababa,25.1,22
2009,afar,7.6,7.2
2009,amhara,19.3,18.8
2009,benishangul_gumuz,16.8,16.1
2009,central,14.2,13.6
2009,dire_dawa,20.7,19.4
2009,gambela,26.1,25.7
2009,harari,21.7,19.3
2009,oromia,15.7,14.8
2009,sidama,14.2,13.6
2009,somali,3.1,2.7
2009,south,14.2,13.6
2009,southwest,14.2,13.6
2009,tigray,14.5,14
2010,addis_ababa,26.3,23.4
2010,afar,7.8,7.5
2010,amhara,21.2,20.7
2010,benishangul_gumuz,18.7,18
2010,central,15.7,15.1
2010,dire_dawa,20.9,19.5
2010,gambela,29.6,29.2
2010,harari,22,19.6
2010,oromia,17.1,16.2
2010,sidama,15.7,15.1
2010,somali,3.3,2.9
2010,south,15.7,15.1
2010,southwest,15.7,15.1
2010,tigray,15.4,14.8
2011,addis_ababa,27.4,24.8
2011,afar,8.1,7.8
2011,amhara,23.2,22.6
2011,benishangul_gumuz,20.6,19.9
2011,central,17.2,16.5
2011,dire_dawa,21,19.6
2011,gambela,33.1,32.6
2011,harari,22.3,20
2011,oromia,18.6,17.6
2011,sidama,17.2,16.5
2011,somali,3.5,3.1
2011,south,17.2,16.5
2011,southwest,17.2,16.5
2011,tigray,16.2,15.5
2012,addis_ababa,27.1,24.5
2012,afar,8.5,8.2
2012,amhara,25.4,24.8
2012,benishangul_gumuz,20.9,20.3
2012,central,19.1,18.5
2012,dire_dawa,20.7,19.4
2012,gambela,31.8,31.4
2012,harari,21.9,20
2012,oromia,19.1,18.3
2012,sidama,19.1,18.5
2012,somali,3,2.7
2012,south,19.1,18.5
2012,southwest,19.1,18.5
2012,tigray,18,17.3
2013,addis_ababa,26.8,24.2
2013,afar,8.9,8.7
2013,amhara,27.6,27
2013,benishangul_gumuz,21.2,20.7
2013,central,21,20.5
2013,dire_dawa,20.4,19.3
2013,gambela,30.5,30.2
2013,harari,21.5,20
2013,oromia,19.7,18.9
2013,sidama,21,20.5
2013,somali,2.5,2.3
2013,south,21,20.5
2013,southwest,21,20.5
2013,tigray,19.8,19.1
2014,addis_ababa,26.6,23.8
2014,afar,9.2,9.1
2014,amhara,29.7,29.3
2014,benishangul_gumuz,21.4,21.1
2014,central,22.9,22.5
2014,dire_dawa,20.2,19.1
2014,gambela,29.1,28.9
