region,age,probs
tigray,10,0.014265584
tigray,11,0.015507039
tigray,12,0.038723286
tigray,13,0.080686963
tigray,14,0.135569267
tigray,15,0.182598288
tigray,16,0.130135019
tigray,17,0.093994155
tigray,18,0.120152557
tigray,19,0.049663237
tigray,20,0.055358485
tigray,21,0.018846465
tigray,22,0.022860502
tigray,23,0.014614948
tigray,24,0.008069423
tigray,25,0.007642172
tigray,26,0.001557408
tigray,27,0.003623856
tigray,28,0.002974401
tigray,30,0.002175574
tigray,33,0.000981371
afar,10,0.009796398
afar,11,0.004247337
afar,12,0.010862339
afar,13,0.051066853
afar,14,0.127588066
afar,15,0.254502217
afar,16,0.189845312
afar,17,0.116510859
afar,18,0.09213445
afar,19,0.056536114
afar,20,0.038381415
afar,21,0.016861255
afar,22,0.009703004
afar,23,0.005893127
afar,24,0.004900406
afar,25,0.008020039
afar,26,0.001210306
afar,27,0.000343002
afar,28,0.000449136
afar,33,0.001148369
amhara,10,0.016626727
amhara,11,0.020215539
amhara,12,0.064158587
amhara,13,0.10105512
amhara,14,0.167284948
amhara,15,0.21704049
amhara,16,0.109196894
amhara,17,0.085449187
amhara,18,0.081142486
amhara,19,0.040889117
amhara,20,0.028653675
amhara,21,0.012228869
amhara,22,0.023078268
amhara,23,0.010636527
amhara,24,0.005883005
amhara,25,0.007905591
amhara,26,0.003739191
amhara,27,0.002338189
amhara,29,0.00075595
amhara,30,0.000965691
amhara,43,0.00075595
oromia,10,0.002060642
oromia,11,0.005894605
oromia,12,0.022925515
oromia,13,0.042315931
oromia,14,0.136856545
oromia,15,0.202069364
oromia,16,0.154030419
oromia,17,0.105321968
oromia,18,0.11143506
oromia,19,0.047286996
oromia,20,0.063890227
oromia,21,0.027658119
oromia,22,0.027747703
oromia,23,0.017127029
oromia,24,0.010465258
oromia,25,0.008001424
oromia,26,0.004565675
oromia,27,0.003133417
oromia,28,0.004194748
oromia,29,0.001153713
oromia,30,0.000574184
oromia,31,0.001291459
somali,11,0.006128745
somali,12,0.000950185
somali,13,0.025524707
somali,14,0.091925653
somali,15,0.180487755
somali,16,0.155336585
somali,17,0.115561015
somali,18,0.128403993
somali,19,0.07572419
somali,20,0.100921408
somali,21,0.038766073
somali,22,0.01778119
somali,23,0.015119094
somali,24,0.014201589
somali,25,0.018947756
somali,26,0.004742936
somali,27,0.003389087
somali,28,0.001934592
somali,29,0.001829294
somali,30,0.001499446
somali,31,0.000824708
benishangul_gumuz,10,0.007805901
benishangul_gumuz,11,0.004866016
benishangul_gumuz,12,0.031914384
benishangul_gumuz,13,0.076600867
benishangul_gumuz,14,0.123567228
benishangul_gumuz,15,0.192230653
benishangul_gumuz,16,0.150245104
benishangul_gumuz,17,0.116439725
benishangul_gumuz,18,0.118113091
benishangul_gumuz,19,0.06187865
benishangul_gumuz,20,0.064115764
benishangul_gumuz,21,0.019270774
benishangul_gumuz,22,0.011813823
benishangul_gumuz,23,0.004587865
benishangul_gumuz,24,0.00833174
benishangul_gumuz,25,0.004255183
benishangul_gumuz,27,0.003466226
benishangul_gumuz,30,0.000497007
snnpr,10,0.002357443
snnpr,11,0.001266814
snnpr,12,0.011810548
snnpr,13,0.042847024
snnpr,14,0.094802373
snnpr,15,0.192367612
snnpr,16,0.114619238
snnpr,17,0.122157913
snnpr,18,0.135641121
snnpr,19,0.06857461
snnpr,20,0.075089145
snnpr,21,0.038854714
snnpr,22,0.028904581
snnpr,23,0.030742151
snnpr,24,0.012849164
snnpr,25,0.010841693
snnpr,26,0.004835748
snnpr,27,0.003020915
snnpr,28,0.003957731
snnpr,29,0.003693191
snnpr,33,0.000766273
gambela,10,0.008677336
gambela,11,0.01197353
gambela,12,0.027255271
gambela,13,0.071407995
gambela,14,0.132065696
gambela,15,0.216145584
gambela,16,0.146521526
gambela,17,0.077923848
gambela,18,0.114585437
gambela,19,0.055603651
gambela,20,0.049789887
gambela,21,0.024135818
gambela,22,0.024464479
gambela,23,0.017327218
gambela,24,0.009904241
gambela,26,0.005495552
gambela,27,0.001021422
gambela,29,0.000542185
gambela,30,0.003590986
gambela,36,0.001568341
harari,10,0.002905786
harari,11,0.001808573
harari,12,0.009596698
harari,13,0.033990421
harari,14,0.090843955
harari,15,0.198959168
harari,16,0.104364001
harari,17,0.111201958
harari,18,0.152573103
harari,19,0.067280509
harari,20,0.087309424
harari,21,0.042725207
harari,22,0.018887448
harari,23,0.01605983
harari,24,0.012842455
harari,25,0.01921527
harari,26,0.011455022
harari,27,0.005088714
harari,28,0.001160521
harari,29,0.006848731
harari,30,0.00152656
harari,32,0.001877233
harari,34,0.001479413
addis_ababa,10,0.000828736
addis_ababa,11,0.003942353
addis_ababa,12,0.011094006
addis_ababa,13,0.029339851
addis_ababa,14,0.052426885
addis_ababa,15,0.079717637
addis_ababa,16,0.096484168
addis_ababa,17,0.104760943
addis_ababa,18,0.131719112
addis_ababa,19,0.083204152
addis_ababa,20,0.093413604
addis_ababa,21,0.057568403
addis_ababa,22,0.057262044
addis_ababa,23,0.041523251
addis_ababa,24,0.04248246
addis_ababa,25,0.052014386
addis_ababa,26,0.00996998
addis_ababa,27,0.015998999
addis_ababa,28,0.00822554
addis_ababa,29,0.006738219
addis_ababa,30,0.010725858
addis_ababa,31,0.004297451
addis_ababa,32,0.002406533
addis_ababa,33,0.001013699
addis_ababa,35,0.002012376
addis_ababa,37,0.000829355
dire_dawa,10,0.002984216
dire_dawa,11,0.002764409
dire_dawa,12,0.013809837
