"region","month","rate"
"Addis Adaba",0,1
"Addis Adaba",1,0.802763402730216
"Addis Adaba",2,0.554770769210091
"Addis Adaba",3,0.541252125211242
"Addis Adaba",4,0.184189073536961
"Addis Adaba",5,0.079558478636367
"Addis Adaba",6,0.272368152193582
"Addis Adaba",7,0
"Addis Adaba",8,0
"Addis Adaba",9,0
"Addis Adaba",10,0
"Addis Adaba",11,0
"Afar",0,0.933117993539806
"Afar",1,0.905377145403852
"Afar",2,0.732091058429821
"Afar",3,0.719601171176007
"Afar",4,0.598823776385916
"Afar",5,0.622087908466076
"Afar",6,0.290702142141932
"Afar",7,0.316933304895935
"Afar",8,0.323769098184489
"Afar",9,0.291267307982198
"Afar",10,0
"Afar",11,0.124163347338171
"Amhara",0,1
"Amhara",1,1
"Amhara",2,0.797681674971558
"Amhara",3,0.816090210202489
"Amhara",4,0.571028791656093
"Amhara",5,0.706915130674989
"Amhara",6,0.637885922618518
"Amhara",7,0.373645096419022
"Amhara",8,0.690107047963294
"Amhara",9,0.123291937566275
"Amhara",10,0.0583703223580235
"Amhara",11,0.0724262766260477
"Benishangul-Gumuz",0,1
"Benishangul-Gumuz",1,1
"Benishangul-Gumuz",2,0.904091423410887
"Benishangul-Gumuz",3,0.674435066941636
"Benishangul-Gumuz",4,0.622028233721972
"Benishangul-Gumuz",5,0.700266577435726
"Benishangul-Gumuz",6,0.530869828238774
"Benishangul-Gumuz",7,0.493734399463472
"Benishangul-Gumuz",8,0.456062381094871
"Benishangul-Gumuz",9,0.312046746855379
"Benishangul-Gumuz",10,0.190074347129049
"Benishangul-Gumuz",11,0
"Central",0,1
"Central",1,1
"Central",2,0.807889678823722
"Central",3,0.769152897053023
"Central",4,0.88433108575305
"Central",5,0.457659196056433
"Central",6,0.245016397164985
"Central",7,0.236319345063924
"Central",8,0.416928617849667
"Central",9,0.277043063246
"Central",10,0.119801633847147
"Central",11,0.10601309972665
"Dire Dawa",0,1
"Dire Dawa",1,1
"Dire Dawa",2,1
"Dire Dawa",3,0.701962994495941
"Dire Dawa",4,0.64040617094162
"Dire Dawa",5,0.217926726086301
"Dire Dawa",6,0.284540531846451
"Dire Dawa",7,0
"Dire Dawa",8,0
"Dire Dawa",9,0.17706994070746
"Dire Dawa",10,0.122012115870147
"Dire Dawa",11,0.173598929000092
"Gambela",0,1
"Gambela",1,1
"Gambela",2,0.91381400196749
"Gambela",3,0.737480569974472
"Gambela",4,0.797986091905382
"Gambela",5,0.539823819964684
"Gambela",6,0.68192386231853
"Gambela",7,0.291151734676552
"Gambela",8,0.0722398689126694
"Gambela",9,0.201184271663771
"Gambela",10,0
"Gambela",11,0.0641390460087677
"Harari",0,1
"Harari",1,0.860852454026081
"Harari",2,0.607017422411529
"Harari",3,0.668292554014822
"Harari",4,0.638931398463948
"Harari",5,0.0553821825734004
"Harari",6,0.119347732332475
"Harari",7,0.325065465199914
"Harari",8,0
"Harari",9,0.0734777406004436
"Harari",10,0
"Harari",11,0.0516972804569352
"Oromia",0,1
"Oromia",1,0.794399535520734
"Oromia",2,0.864425395869981
"Oromia",3,0.725954767301147
"Oromia",4,0.660586225462627
"Oromia",5,0.404912836953041
"Oromia",6,0.316251238557706
"Oromia",7,0.117071869107643
"Oromia",8,0.221226869041985
"Oromia",9,0.0394013517770515
"Oromia",10,0.130343821820285
"Oromia",11,0.100713104347368
"Sidama",0,1
"Sidama",1,1
"Sidama",2,0.807889678823722
"Sidama",3,0.769152897053023
"Sidama",4,0.88433108575305
"Sidama",5,0.457659196056433
"Sidama",6,0.245016397164985
"Sidama",7,0.236319345063924
"Sidama",8,0.416928617849667
"Sidama",9,0.277043063246
"Sidama",10,0.119801633847147
"Sidama",11,0.10601309972665
"Somali",0,0.817120579971716
"Somali",1,0.650091248627438
"Somali",2,0.610416106612411
"Somali",3,0.364694768376291
"Somali",4,0.48755122188276
"Somali",5,0.433197932674216
"Somali",6,0.417587822256469
"Somali",7,0.218864069644474
"Somali",8,0.223222997369078
"Somali",9,0
"Somali",10,0.0468922494334447
"Somali",11,0
"South",0,1
"South",1,1
"South",2,0.807889678823722
"South",3,0.769152897053023
"South",4,0.88433108575305
"South",5,0.457659196056433
"South",6,0.245016397164985
"South",7,0.236319345063924
"South",8,0.416928617849667
"South",9,0.277043063246
"South",10,0.119801633847147
"South",11,0.10601309972665
"South West",0,1
"South West",1,1
"South West",2,0.807889678823722
"South West",3,0.769152897053023
"South West",4,0.88433108575305
"South West",5,0.457659196056433
"South West",6,0.245016397164985
"South West",7,0.236319345063924
"South West",8,0.416928617849667
"South West",9,0.277043063246
"South West",10,0.119801633847147
"South West",11,0.10601309972665
"Tigray",0,1
"Tigray",1,0.793655883939902
"Tigray",2,0.95373559751721
"Tigray",3,0.750826694326998
"Tigray",4,0.799745079199003
"Tigray",5,0.712932092321506
"Tigray",6,0.623131768203589
"Tigray",7,0.267904771475177
"Tigray",8,0.161010346465941
"Tigray",9,0.120286335437345
"Tigray",10,0.0920989132867969
"Tigray",11,0.0536256683754625
