"region","postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
"addis_ababa",0,"None",17.159971,"18-20",0.178593483637006,0,0.38451387825772,0.153886565426014,0,0.0307682338157798,0.188682370150859,0.063555468712622,0,"grp018-20"
"addis_ababa",0,"Pill",0.662023,"18-20",0,0,1,0,0,0,0,0,0,"grp018-20"
"addis_ababa",0,"IUD",0.527982,"18-20",0,0,1,0,0,0,0,0,0,"grp018-20"
"addis_ababa",0,"Injectable",1.1445,"18-20",0.401140235910878,0,0,0,0,0,0.598859764089122,0,0,"grp018-20"
"addis_ababa",0,"Implant",1.080483,"18-20",0,0,0.47112911540487,0.52887088459513,0,0,0,0,0,"grp018-20"
"addis_ababa",0,"None",63.781531,"20-25",0.265018332658086,0.0757242092542433,0.281341615960897,0.0908475527186703,0,0.00569197688277505,0.120992235197365,0.0584690104099258,0.101915066918039,"grp020-25"
"addis_ababa",0,"Pill",5.690554,"20-25",0,0,0.704464451088593,0,0,0,0.220396467549557,0.0751390813618498,0,"grp020-25"
"addis_ababa",0,"Injectable",9.473417,"20-25",0.472798146645503,0.125588581184593,0,0,0,0,0.341293326367878,0.0603199458020269,0,"grp020-25"
"addis_ababa",0,"Condom",0.672066,"20-25",0,0,1,0,0,0,0,0,0,"grp020-25"
"addis_ababa",0,"Implant",2.787607,"20-25",0.340000939874236,0,0.659999060125764,0,0,0,0,0,0,"grp020-25"
"addis_ababa",0,"Other.trad",0.596064,"20-25",0,0,0,0,0,0,0,0,1,"grp020-25"
"addis_ababa",0,"Other.mod",0.917348,"20-25",0.466107736649559,0,0,0,0,0,0,0.533892263350441,0,"grp020-25"
"addis_ababa",0,"None",50.918424,"25-35",0.18017937868619,0.0359387792520837,0.287566500487132,0.163979093304223,0,0.00822122852820425,0.209137227028079,0.102141908398422,0.0128358843156654,"grp025-35"
"addis_ababa",0,"Pill",6.219851,"25-35",0,0.177335116227061,0.44818308348544,0,0,0,0.300122623516222,0.0743591767712763,0,"grp025-35"
"addis_ababa",0,"IUD",0.449799,"25-35",0,0,0,0,0,0,0,1,0,"grp025-35"
"addis_ababa",0,"Injectable",16.826954,"25-35",0.543069292279518,0.224478238901705,0,0.0241827487018744,0,0,0.180723379882063,0.0275463402348399,0,"grp025-35"
"addis_ababa",0,"Condom",0.699948,"25-35",0,0,0,0,0,0,0,0,1,"grp025-35"
"addis_ababa",0,"Withdrawal",1.003065,"25-35",0,0,1,0,0,0,0,0,0,"grp025-35"
"addis_ababa",0,"Implant",2.958699,"25-35",0.301613986417679,0.163971056197335,0.227149162520419,0,0,0,0,0.189097302564404,0.118168492300163,"grp025-35"
"addis_ababa",0,"Other.trad",0.559482,"25-35",0,0,0,0,0,0,1,0,0,"grp025-35"
"addis_ababa",0,"Other.mod",0.699948,"25-35",0,1,0,0,0,0,0,0,0,"grp025-35"
"addis_ababa",0,"None",28.360921,"<18",0.127053560778227,0.0198911734918623,0.411493935616548,0.119081393724837,0,0.0143479825637538,0.132964687571324,0.0660027930686736,0.109164473184774,"grp0<18"
"addis_ababa",0,"Pill",0.885858,"<18",0,0,1,0,0,0,0,0,0,"grp0<18"
"addis_ababa",0,"Injectable",1.3858,"<18",0.276183431952663,0,0,0.297158320103911,0,0,0.426658247943426,0,0,"grp0<18"
"addis_ababa",0,"Other.mod",1.092114,"<18",0.516550470005879,0,0,0.483449529994121,0,0,0,0,0,"grp0<18"
"addis_ababa",0,"None",11.342038,">35",0.484040169853072,0,0.140932608407766,0.0752924650755005,0,0,0.0974715478823118,0.0910272915678822,0.111235917213467,"grp0>35"
"addis_ababa",0,"Pill",1.959285,">35",0,0,0.190431713609812,0,0,0,0.333582403785054,0.285554168995322,0.190431713609812,"grp0>35"
"addis_ababa",0,"Injectable",3.66526,">35",0.566596094137933,0,0,0,0,0.162625298068896,0.270778607793172,0,0,"grp0>35"
"addis_ababa",0,"Implant",2.824361,">35",0.143095730326258,0,0.589594602106459,0.0395154868658787,0,0,0,0.227794180701405,0,"grp0>35"
"addis_ababa",1,"Birth",7.746489,"18-20",0,0.274839349800923,0.298372849945311,0,0,0,0.426787800253767,0,0,"grp118-20"
"addis_ababa",1,"Birth",9.581634,"20-25",0,0.183867908125065,0.583915227820224,0,0,0,0.232216864054711,0,0,"grp120-25"
"addis_ababa",1,"Birth",21.56259,"25-35",0.124729311274759,0.212674080432824,0.319720914788066,0,0,0,0.232217743786809,0.110657949717543,0,"grp125-35"
"addis_ababa",1,"Birth",1.974304,"<18",0.331044763116521,0,0.436415060699872,0,0,0,0.232540176183607,0,0,"grp1<18"
"addis_ababa",1,"Birth",3.248438,">35",0,0.182014555918875,0.327112599963429,0,0.166414750720192,0,0.324458093397504,0,0,"grp1>35"
"addis_ababa",6,"None",3.231303,"18-20",0.289195720735567,0,0.362794204071856,0,0,0,0.348010075192577,0,0,"grp618-20"
"addis_ababa",6,"None",39.753439,"20-25",0.179165958447016,0.0563857632543439,0.498577544448419,0,0,0.0399538766947936,0.170630872966739,0.0383801260565155,0.0169058581321732,"grp620-25"
"addis_ababa",6,"None",57.544917,"25-35",0.202708520719563,0.102388852172643,0.386229299800711,0.00702327887622117,0,0.0546815455481498,0.152346227208912,0.0946222756738011,0,"grp625-35"
"addis_ababa",6,"None",2.229607,"<18",0.564264016035113,0,0.435735983964887,0,0,0,0,0,0,"grp6<18"
"addis_ababa",6,"None",6.232529,">35",0.222888172682389,0.130877208914712,0.174027108417787,0.0742079178452278,0,0,0.0816758333575343,0.167907923091894,0.148415835690456,"grp6>35"
"afar",0,"None",1.575299,"18-20",0,0,0.949325175728544,0,0,0,0.0506748242714558,0,0,"grp018-20"
"afar",0,"None",3.252879,"20-25",0.0929619576996255,0,0.823215065792487,0,0,0,0.0838229765078873,0,0,"grp020-25"
"afar",0,"None",2.732798,"25-35",0,0,0.815471176427969,0,0,0,0.138492124189201,0,0.0460366993828303,"grp025-35"
"afar",0,"Pill",0.183823,"25-35",0,0,1,0,0,0,0,0,0,"grp025-35"
"afar",0,"Injectable",0.136333,"25-35",1,0,0,0,0,0,0,0,0,"grp025-35"
"afar",0,"None",2.562157,"<18",0.0532102443370957,0,0.800393574632624,0.0568267284167207,0,0,0.0895694526135596,0,0,"grp0<18"
"afar",0,"Injectable",0.183823,"<18",1,0,0,0,0,0,0,0,0,"grp0<18"
"afar",0,"None",0.405034,">35",0.407471965316492,0,0.592528034683508,0,0,0,0,0,0,"grp0>35"
"afar",1,"Birth",0.436448,"18-20",0,0,1,0,0,0,0,0,0,"grp118-20"
"afar",1,"Birth",1.147804,"20-25",0,0,0.820721133573328,0,0,0,0.179278866426672,0,0,"grp120-25"
"afar",1,"Birth",0.602994,"25-35",0,0,1,0,0,0,0,0,0,"grp125-35"
"afar",1,"Birth",0.183823,"<18",0,0,1,0,0,0,0,0,0,"grp1<18"
"afar",6,"None",0.413314,"18-20",0,0,1,0,0,0,0,0,0,"grp618-20"
"afar",6,"None",1.197465,"20-25",0,0,1,0,0,0,0,0,0,"grp620-25"
"afar",6,"None",1.005782,"25-35",0,0,0.607737064294251,0,0,0,0.392262935705749,0,0,"grp625-35"
"afar",6,"None",1.563025,"<18",0,0,1,0,0,0,0,0,0,"grp6<18"
"afar",6,"None",0.205777,">35",0,0,1,0,0,0,0,0,0,"grp6>35"
"amhara",0,"None",134.85623,"18-20",0.090881689336859,0.0157218839648713,0.669147202172269,0.0148643262532254,0,0,0.209384898272775,0,0,"grp018-20"
"amhara",0,"Injectable",12.351859,"18-20",0.123544075430265,0.363047133229095,0,0,0,0,0.513408791340639,0,0,"grp018-20"
"amhara",0,"None",276.842973,"20-25",0.0437289553309341,0.039254411561315,0.705700097361691,0,0,0,0.202817385579803,0,0.00849915016625689,"grp020-25"
"amhara",0,"Pill",2.597618,"20-25",0,0,0.427080502213951,0,0,0,0.572919497786049,0,0,"grp020-25"
"amhara",0,"IUD",3.882808,"20-25",0,0,0,0,0,0,1,0,0,"grp020-25"
"amhara",0,"Injectable",34.795243,"20-25",0.136105645245817,0.282885623187055,0,0,0,0,0.528225481856816,0.0527832497103124,0,"grp020-25"
"amhara",0,"Implant",15.068272,"20-25",0,0.0736243678107217,0.926375632189278,0,0,0,0,0,0,"grp020-25"
"amhara",0,"None",441.868713,"25-35",0.0846838006383131,0.0460040853808991,0.62787076757797,0,0.0044130234674479,0,0.237028322935369,0,0,"grp025-35"
"amhara",0,"Pill",9.05615,"25-35",0,0,0.615673216543454,0,0,0,0.384326783456546,0,0,"grp025-35"
"amhara",0,"Injectable",67.80024,"25-35",0.105071220986828,0.220171020043587,0,0,0,0,0.632975930468683,0.0417818285009021,0,"grp025-35"
"amhara",0,"Implant",9.697427,"25-35",0,0,1,0,0,0,0,0,0,"grp025-35"
"amhara",0,"None",316.735863,"<18",0.0446257517734895,0.00659901275530646,0.827026543565103,0,0,0.00742868198666849,0.0993060264855451,0.00469863433178705,0.0103153491021003,"grp0<18"
"amhara",0,"Pill",10.283009,"<18",0,0,1,0,0,0,0,0,0,"grp0<18"
"amhara",0,"Injectable",8.546825,"<18",0.178545717269278,0.28845109148719,0,0,0,0,0.533003191243532,0,0,"grp0<18"
"amhara",0,"None",159.004207,">35",0.0288708776114333,0,0.800712732085133,0,0,0,0.170416390303434,0,0,"grp0>35"
"amhara",0,"Pill",4.76436,">35",0,0.44229781124852,0.55770218875148,0,0,0,0,0,0,"grp0>35"
"amhara",0,"IUD",2.107266,">35",1,0,0,0,0,0,0,0,0,"grp0>35"
"amhara",0,"Injectable",18.329843,">35",0.212120638458278,0.114963668810475,0,0,0,0,0.672915692731247,0,0,"grp0>35"
"amhara",0,"Implant",6.079688,">35",0,0,1,0,0,0,0,0,0,"grp0>35"
"amhara",1,"Birth",16.799673,"18-20",0,0,0.884931212649199,0,0,0,0.115068787350801,0,0,"grp118-20"
"amhara",1,"Birth",30.339007,"20-25",0,0,0.857384158947588,0,0,0.0709476417603252,0.0716681992920863,0,0,"grp120-25"
"amhara",1,"Birth",45.187328,"25-35",0.184663917282296,0,0.769684102587345,0,0,0,0.0456519801303587,0,0,"grp125-35"
"amhara",1,"Birth",19.856125,"<18",0,0,0.877968233983217,0,0,0,0.122031766016783,0,0,"grp1<18"
"amhara",1,"Birth",16.006908,">35",0,0.194932650328221,0.544868503023819,0,0.26019884664796,0,0,0,0,"grp1>35"
"amhara",6,"None",39.977928,"18-20",0,0,0.847532493429874,0,0,0,0.152467506570125,0,0,"grp618-20"
"amhara",6,"None",120.130398,"20-25",0.142999800932983,0.0420648235927762,0.670259229474958,0,0,0,0.144676145999283,0,0,"grp620-25"
"amhara",6,"None",132.622681,"25-35",0.0353888638399641,0,0.886072066360957,0,0,0,0.0785390697990791,0,0,"grp625-35"
"amhara",6,"None",19.908261,"<18",0.0884769895271114,0,0.741886345572825,0,0,0,0.169636664900063,0,0,"grp6<18"
"amhara",6,"None",24.594405,">35",0,0,0.675895229016518,0,0,0,0.203166451882044,0.120938319101438,0,"grp6>35"
"benishangul_gumuz",0,"None",4.808276,"18-20",0.061619174939209,0.0299421247865139,0.876427226723258,0,0,0,0.0320114735510191,0,0,"grp018-20"
"benishangul_gumuz",0,"Injectable",0.311545,"18-20",0,0.546868028695694,0,0,0,0,0.453131971304306,0,0,"grp018-20"
"benishangul_gumuz",0,"None",8.487899,"20-25",0.0473450496995782,0,0.78749711795581,0,0,0,0.149122415335055,0,0.0160354170095568,"grp020-25"
"benishangul_gumuz",0,"Injectable",0.514471,"20-25",0,0.274400306334079,0,0,0,0,0.725599693665921,0,0,"grp020-25"
"benishangul_gumuz",0,"Implant",0.398353,"20-25",0,0,1,0,0,0,0,0,0,"grp020-25"
"benishangul_gumuz",0,"None",12.025084,"25-35",0.0465567641772814,0.0420638225895137,0.680261692974452,0,0,0,0.231117720258753,0,0,"grp025-35"
"benishangul_gumuz",0,"Pill",0.11979,"25-35",0,0,1,0,0,0,0,0,0,"grp025-35"
"benishangul_gumuz",0,"Injectable",0.81264,"25-35",0,0.322708702500492,0,0,0,0,0.582063398306753,0.0952278991927545,0,"grp025-35"
"benishangul_gumuz",0,"Implant",0.23958,"25-35",0,0.5,0.5,0,0,0,0,0,0,"grp025-35"
"benishangul_gumuz",0,"None",9.400887,"<18",0,0.0145841557291349,0.849010843338506,0.00781117781758254,0,0,0.128593823114776,0,0,"grp0<18"
"benishangul_gumuz",0,"Injectable",0.296282,"<18",1,0,0,0,0,0,0,0,0,"grp0<18"
"benishangul_gumuz",0,"Implant",0.286013,"<18",0,0,1,0,0,0,0,0,0,"grp0<18"
"benishangul_gumuz",0,"None",3.660188,">35",0,0,0.695008289191703,0,0,0,0.304991710808297,0,0,"grp0>35"
"benishangul_gumuz",0,"Pill",0.15392,">35",0,0,1,0,0,0,0,0,0,"grp0>35"
"benishangul_gumuz",0,"Injectable",0.622654,">35",0,0,0,0,0,0,1,0,0,"grp0>35"
"benishangul_gumuz",0,"Implant",0.239103,">35",0.643739309000724,0,0.356260690999276,0,0,0,0,0,0,"grp0>35"
"benishangul_gumuz",1,"Birth",0.15392,"18-20",0,0,1,0,0,0,0,0,0,"grp118-20"
"benishangul_gumuz",1,"Birth",0.513257,"20-25",0,0,1,0,0,0,0,0,0,"grp120-25"
"benishangul_gumuz",1,"Birth",1.267211,"25-35",0.0853149159847886,0.111593886101052,0.609659322717369,0,0,0,0.19343187519679,0,0,"grp125-35"
"benishangul_gumuz",1,"Birth",0.5156,"<18",0,0,1,0,0,0,0,0,0,"grp1<18"
"benishangul_gumuz",1,"Birth",0.163785,">35",0,0,0.596098543822694,0,0.403901456177306,0,0,0,0,"grp1>35"
"benishangul_gumuz",6,"None",2.583669,"18-20",0.151309629832614,0,0.425530514938253,0,0,0,0.423159855229133,0,0,"grp618-20"
"benishangul_gumuz",6,"None",7.180496,"20-25",0.0365742143718206,0,0.788853444107482,0,0,0,0.174572341520697,0,0,"grp620-25"
"benishangul_gumuz",6,"None",6.18885,"25-35",0.0232628032671659,0.0927154479426711,0.726312804479023,0,0,0,0.15770894431114,0,0,"grp625-35"
"benishangul_gumuz",6,"None",3.76996,"<18",0,0,0.715595125677726,0,0,0,0.284404874322274,0,0,"grp6<18"
"benishangul_gumuz",6,"None",0.887591,">35",0,0,0.815669604581389,0,0,0,0.184330395418611,0,0,"grp6>35"
"central",0,"None",38.140169,"18-20",0,0.0508370846495201,0.756218463531192,0.10167416929904,0,0,0.045534145378328,0.0457361371419199,0,"grp018-20"
"central",0,"Injectable",4.714357,"18-20",0.361066419025967,0,0,0,0,0,0.638933580974033,0,0,"grp018-20"
"central",0,"None",149.938318,"20-25",0.129296174977767,0.0395741200724954,0.547586321463203,0,0,0.0263422389465513,0.241554383716643,0.0116340107269978,0.00401275009634295,"grp020-25"
"central",0,"Pill",5.687642,"20-25",0,0,0.662389440122989,0,0,0,0.33761055987701,0,0,"grp020-25"
"central",0,"Injectable",5.62702,"20-25",0.735700779453423,0,0,0,0,0,0,0,0.264299220546577,"grp020-25"
"central",0,"Implant",3.230604,"20-25",0,0,1,0,0,0,0,0,0,"grp020-25"
"central",0,"None",243.79615,"25-35",0.052955282517792,0.0317018295818043,0.689156805798615,0,0,0,0.226186082101789,0,0,"grp025-35"
"central",0,"Pill",2.870258,"25-35",0,0,1,0,0,0,0,0,0,"grp025-35"
"central",0,"Injectable",11.257822,"25-35",0.163032867281078,0,0,0,0.148756926517403,0,0.688210206201519,0,0,"grp025-35"
"central",0,"None",34.792176,"<18",0.0497571063103383,0,0.737437894082854,0,0,0,0.0461560955543568,0.0551907992187669,0.111458104833684,"grp0<18"
"central",0,"Injectable",1.317149,"<18",0,0,0,0,0,0,0,1,0,"grp0<18"
"central",0,"None",143.648836,">35",0.0622753044793207,0.0291500308432712,0.712302172779179,0,0,0,0.187895605363624,0.00837688653460443,0,"grp0>35"
"central",0,"Injectable",3.485372,">35",0.49951282101308,0,0,0,0,0,0.50048717898692,0,0,"grp0>35"
"central",0,"Implant",1.740988,">35",0,0,1,0,0,0,0,0,0,"grp0>35"
"central",1,"Birth",24.444484,"18-20",0.0710458850348406,0,0.601617731018581,0,0,0,0.327336383946579,0,0,"grp118-20"
"central",1,"Birth",42.658923,"20-25",0.014104083218416,0.0623834549221976,0.90940837864097,0,0,0,0.014104083218416,0,0,"grp120-25"
