year,region,method,perc,freq
2000,Addis Ababa,Condoms,2.7,0.027
2001,Addis Ababa,Condoms,2.58,0.0258
2002,Addis Ababa,Condoms,2.46,0.0246
2003,Addis Ababa,Condoms,2.34,0.0234
2004,Addis Ababa,Condoms,2.22,0.0222
2005,Addis Ababa,Condoms,2.1,0.021
2006,Addis Ababa,Condoms,2.1,0.021
2007,Addis Ababa,Condoms,2.1,0.021
2008,Addis Ababa,Condoms,2.1,0.021
2009,Addis Ababa,Condoms,2.1,0.021
2010,Addis Ababa,Condoms,2.1,0.021
2011,Addis Ababa,Condoms,2.1,0.021
2012,Addis Ababa,Condoms,1.96,0.0196
2013,Addis Ababa,Condoms,1.82,0.0182
2014,Addis Ababa,Condoms,1.68,0.0168
2015,Addis Ababa,Condoms,1.54,0.0154
2016,Addis Ababa,Condoms,1.4,0.014
2017,Addis Ababa,Condoms,1.2,0.012
2018,Addis Ababa,Condoms,1,0.01
2019,Addis Ababa,Condoms,0.8,0.008
2000,Addis Ababa,Implants,0.3,0.003
2001,Addis Ababa,Implants,0.38,0.0038
2002,Addis Ababa,Implants,0.46,0.0046
2003,Addis Ababa,Implants,0.54,0.0054
2004,Addis Ababa,Implants,0.62,0.0062
2005,Addis Ababa,Implants,0.7,0.007
2006,Addis Ababa,Implants,0.816666667,0.008166667
2007,Addis Ababa,Implants,0.933333333,0.009333333
2008,Addis Ababa,Implants,1.05,0.0105
2009,Addis Ababa,Implants,1.166666667,0.011666667
2010,Addis Ababa,Implants,1.283333333,0.012833333
2011,Addis Ababa,Implants,1.4,0.014
2012,Addis Ababa,Implants,2.42,0.0242
2013,Addis Ababa,Implants,3.44,0.0344
2014,Addis Ababa,Implants,4.46,0.0446
2015,Addis Ababa,Implants,5.48,0.0548
2016,Addis Ababa,Implants,6.5,0.065
2017,Addis Ababa,Implants,6.566666667,0.065666667
2018,Addis Ababa,Implants,6.633333333,0.066333333
2019,Addis Ababa,Implants,6.7,0.067
2000,Addis Ababa,Injectables,4.8,0.048
2001,Addis Ababa,Injectables,5.36,0.0536
2002,Addis Ababa,Injectables,5.92,0.0592
2003,Addis Ababa,Injectables,6.48,0.0648
2004,Addis Ababa,Injectables,7.04,0.0704
2005,Addis Ababa,Injectables,7.6,0.076
2006,Addis Ababa,Injectables,8.8,0.088
2007,Addis Ababa,Injectables,10,0.1
2008,Addis Ababa,Injectables,11.2,0.112
2009,Addis Ababa,Injectables,12.4,0.124
2010,Addis Ababa,Injectables,13.6,0.136
2011,Addis Ababa,Injectables,14.8,0.148
2012,Addis Ababa,Injectables,13.36,0.1336
2013,Addis Ababa,Injectables,11.92,0.1192
2014,Addis Ababa,Injectables,10.48,0.1048
2015,Addis Ababa,Injectables,9.04,0.0904
2016,Addis Ababa,Injectables,7.6,0.076
2017,Addis Ababa,Injectables,8.1,0.081
2018,Addis Ababa,Injectables,8.6,0.086
2019,Addis Ababa,Injectables,9.1,0.091
2000,Addis Ababa,IUDs,1.3,0.013
2001,Addis Ababa,IUDs,1.26,0.0126
2002,Addis Ababa,IUDs,1.22,0.0122
2003,Addis Ababa,IUDs,1.18,0.0118
2004,Addis Ababa,IUDs,1.14,0.0114
