region,age,probs
Addis Adaba,10,8.287359197709841e-4
Addis Adaba,11,0.003942353273812708
Addis Adaba,12,0.011094005934374315
Addis Adaba,13,0.029339850472418872
Addis Adaba,14,0.05242688475600138
Addis Adaba,15,0.07971763680755277
Addis Adaba,16,0.09648416803492778
Addis Adaba,17,0.1047609427787616
Addis Adaba,18,0.13171911233763636
Addis Adaba,19,0.08320415233846878
Addis Adaba,20,0.09341360366219241
Addis Adaba,21,0.05756840301652649
Addis Adaba,22,0.0572620438659103
Addis Adaba,23,0.04152325059449052
Addis Adaba,24,0.04248245957534242
Addis Adaba,25,0.05201438606073198
Addis Adaba,26,0.00996997984269428
Addis Adaba,27,0.015998999196976085
Addis Adaba,28,0.008225540265747747
Addis Adaba,29,0.0067382188860055404
Addis Adaba,30,0.010725858246342652
Addis Adaba,31,0.004297450973864518
Addis Adaba,32,0.0024065329251786753
Addis Adaba,33,0.0010136992512535874
Addis Adaba,35,0.0020123764448271224
Addis Adaba,37,8.293545381900865e-4
Afar,10,0.009796398080971484
Afar,11,0.00424733731713959
Afar,12,0.0108623384907303
Afar,13,0.051066852765490264
Afar,14,0.1275880658804877
Afar,15,0.25450221650637084
Afar,16,0.18984531186055362
Afar,17,0.1165108585010323
Afar,18,0.09213444980603468
Afar,19,0.056536113582167806
Afar,20,0.03838141454433951
Afar,21,0.016861254907605604
Afar,22,0.009703003937481736
Afar,23,0.005893127282796064
Afar,24,0.004900405579058174
Afar,25,0.00802003859370274
Afar,26,0.0012103055942717794
Afar,27,3.43001624261824e-4
Afar,28,4.491361295958816e-4
Afar,33,0.0011483690159081643
Amhara,10,0.016626726663686676
Amhara,11,0.020215538887960176
Amhara,12,0.06415858688653635
Amhara,13,0.1010551200798965
Amhara,14,0.16728494786645534
Amhara,15,0.21704048975113532
Amhara,16,0.10919689376616806
Amhara,17,0.08544918735143994
Amhara,18,0.08114248621053498
Amhara,19,0.040889116621113615
Amhara,20,0.028653675149870068
Amhara,21,0.01222886937048103
Amhara,22,0.0230782681198707
Amhara,23,0.01063652663644963
Amhara,24,0.005883005140106855
Amhara,25,0.007905591222683615
Amhara,26,0.003739190575706639
Amhara,27,0.002338188731197931
Amhara,29,7.559497626367809e-4
Amhara,30,9.656914434329074e-4
Amhara,43,7.559497626367809e-4
Benishangul-Gumuz,10,0.007805900544990806
Benishangul-Gumuz,11,0.004866015817285353
Benishangul-Gumuz,12,0.031914383794805906
Benishangul-Gumuz,13,0.07660086699350498
Benishangul-Gumuz,14,0.12356722821887783
Benishangul-Gumuz,15,0.19223065248231683
Benishangul-Gumuz,16,0.15024510408561334
Benishangul-Gumuz,17,0.11643972526592612
Benishangul-Gumuz,18,0.11811309063292763
Benishangul-Gumuz,19,0.06187865017014988
Benishangul-Gumuz,20,0.06411576423236492
Benishangul-Gumuz,21,0.019270773770366508
Benishangul-Gumuz,22,0.011813822896493084
Benishangul-Gumuz,23,0.004587864905106211
Benishangul-Gumuz,24,0.008331740141828246
Benishangul-Gumuz,25,0.004255183149658389
Benishangul-Gumuz,27,0.0034662262683243005
Benishangul-Gumuz,30,4.970066294595215e-4
Central,10,0.0023574428137916287
Central,11,0.001266813831139228
Central,12,0.011810547576044253
Central,13,0.04284702378232681
Central,14,0.09480237258028591
Central,15,0.19236761234609187
Central,16,0.1146192380999839
Central,17,0.12215791295575465
Central,18,0.13564112081511817
Central,19,0.06857460955973788
Central,20,0.0750891452327006
Central,21,0.038854714306909836
Central,22,0.028904580924657763
Central,23,0.03074215117176199
Central,24,0.012849164074230821
Central,25,0.01084169255250718
Central,26,0.004835748386894408
Central,27,0.003020914471399592
Central,28,0.003957730633671071
Central,29,0.0036931907184028882
Central,33,7.662731665895938e-4
Dire Dawa,10,0.0029842157234817616
Dire Dawa,11,0.0027644088405001837
Dire Dawa,12,0.013809836905679891
Dire Dawa,13,0.04558736436001128
Dire Dawa,14,0.10283253099565624
Dire Dawa,15,0.16387721876684533
Dire Dawa,16,0.11826553046143588
Dire Dawa,17,0.1222058736436002
Dire Dawa,18,0.1332186381249592
Dire Dawa,19,0.08248198517236466
Dire Dawa,20,0.056081500022964186
Dire Dawa,21,0.04030140843197875
Dire Dawa,22,0.02496972348659734
Dire Dawa,23,0.022334790554211264
Dire Dawa,24,0.017602786043554662
Dire Dawa,25,0.01127869621235378
Dire Dawa,26,0.01237035790343907
Dire Dawa,27,0.010855263157894732
Dire Dawa,28,0.004733469990596754
Dire Dawa,29,0.004171994768992014
Dire Dawa,30,0.002901756037777352
Dire Dawa,32,0.0030799402688506034
Dire Dawa,34,6.453550631274366e-4
Dire Dawa,36,6.453550631274366e-4
Gambela,10,0.00867733583219001
Gambela,11,0.011973529487979508
Gambela,12,0.027255270675622775
Gambela,13,0.07140799508072612
Gambela,14,0.1320656958384372
Gambela,15,0.21614558361399927
Gambela,16,0.1465215256752621
Gambela,17,0.0779238479031105
Gambela,18,0.11458543701627547
Gambela,19,0.05560365107612617
Gambela,20,0.049789887334340456
Gambela,21,0.02413581790282333
Gambela,22,0.02446447918658293
Gambela,23,0.01732721785786072
Gambela,24,0.009904240842719805
Gambela,26,0.005495551712956447
Gambela,27,0.0010214216729593315
Gambela,29,5.421846646678616e-4
Gambela,30,0.003590985906812536
Gambela,36,0.0015683407185473578
Harari,10,0.002905786238275339
Harari,11,0.0018085734451219876
Harari,12,0.009596698100672481
Harari,13,0.033990420873501716
Harari,14,0.09084395502349511
Harari,15,0.19895916818782172
Harari,16,0.10436400145591206
Harari,17,0.1112019579826831
Harari,18,0.152573102656519
Harari,19,0.06728050854097382
Harari,20,0.08730942358889275
Harari,21,0.04272520656846744
Harari,22,0.018887447848767655
Harari,23,0.01605982993219784
Harari,24,0.012842455073914079
Harari,25,0.019215270315420748
Harari,26,0.011455021596981706
Harari,27,0.0050887143563570865
Harari,28,0.0011605211795115262
