"region","age","probs"
"Addis Adaba",0,0
"Addis Adaba",5,0
"Addis Adaba",10,0
"Addis Adaba",15,39.1248279166768
"Addis Adaba",20,49.1468120705248
"Addis Adaba",25,58.7631956580083
"Addis Adaba",30,51.2606165308562
"Addis Adaba",35,45.7516204757617
"Addis Adaba",40,43.3011016013148
"Addis Adaba",45,32.6042351433273
"Addis Adaba",50,0
"Afar",0,0
"Afar",5,0
"Afar",10,0
"Afar",15,54.5683640315307
"Afar",20,66.8399092060871
"Afar",25,65.3870673670467
"Afar",30,62.9483187401032
"Afar",35,69.642974146705
"Afar",40,73.3444632815752
"Afar",45,36.0269391047516
"Afar",50,0
"Amhara",0,0
"Amhara",5,0
"Amhara",10,0
"Amhara",15,58.9217564093865
"Amhara",20,64.0646986209307
"Amhara",25,72.2502614779581
"Amhara",30,71.5797558814415
"Amhara",35,71.892716407024
"Amhara",40,68.4271663679678
"Amhara",45,64.9982265597654
"Amhara",50,0
"Benishangul-Gumuz",0,0
"Benishangul-Gumuz",5,0
"Benishangul-Gumuz",10,0
"Benishangul-Gumuz",15,65.1732488586239
"Benishangul-Gumuz",20,75.405491716312
"Benishangul-Gumuz",25,83.0529572101089
"Benishangul-Gumuz",30,75.9115827955422
"Benishangul-Gumuz",35,76.4603018688402
"Benishangul-Gumuz",40,81.8650506861862
"Benishangul-Gumuz",45,63.5286882199879
"Benishangul-Gumuz",50,0
"Central",0,0
"Central",5,0
"Central",10,0
"Central",15,69.0213193817115
"Central",20,76.1372189798263
"Central",25,76.845524029241
"Central",30,75.6105207341459
"Central",35,74.9834202924848
"Central",40,80.1531919563112
"Central",45,66.3492471747813
"Central",50,0
"Dire Dawa",0,0
"Dire Dawa",5,0
"Dire Dawa",10,0
"Dire Dawa",15,72.0024736630827
"Dire Dawa",20,64.8025693016594
"Dire Dawa",25,63.1414875620646
"Dire Dawa",30,59.2593045087535
"Dire Dawa",35,53.9259837069547
"Dire Dawa",40,49.1733358189458
"Dire Dawa",45,44.4902229865105
"Dire Dawa",50,0
"Gambela",0,0
"Gambela",5,0
"Gambela",10,0
"Gambela",15,46.5003936460226
"Gambela",20,50.6011374546953
"Gambela",25,47.9103010490745
"Gambela",30,53.0052595656673
"Gambela",35,58.495859676103
"Gambela",40,52.1235498443432
"Gambela",45,49.5816981533875
"Gambela",50,0
"Harari",0,0
"Harari",5,0
"Harari",10,0
"Harari",15,66.5513435017882
"Harari",20,63.4172682752142
"Harari",25,64.9370007755608
"Harari",30,54.4886786226956
"Harari",35,54.2221041969275
"Harari",40,46.3479303634847
"Harari",45,41.3424261275835
"Harari",50,0
"Oromia",0,0
"Oromia",5,0
"Oromia",10,0
"Oromia",15,63.948160849317
"Oromia",20,74.9950181235055
"Oromia",25,83.7397889535038
"Oromia",30,74.4638722955088
"Oromia",35,72.0281557552025
"Oromia",40,70.0704284093654
"Oromia",45,62.6250275497792
"Oromia",50,0
"Sidama",0,0
"Sidama",5,0
"Sidama",10,0
"Sidama",15,69.0213193817115
"Sidama",20,76.1372189798263
"Sidama",25,76.845524029241
"Sidama",30,75.6105207341459
"Sidama",35,74.9834202924848
"Sidama",40,80.1531919563112
"Sidama",45,66.3492471747813
"Sidama",50,0
"Somali",0,0
"Somali",5,0
"Somali",10,0
"Somali",15,58.7586899586187
"Somali",20,65.8980930303087
"Somali",25,65.3411807203489
"Somali",30,57.5735810854637
"Somali",35,69.2917766065847
"Somali",40,61.8937158945071
"Somali",45,45.9230385760407
"Somali",50,0
"South",0,0
"South",5,0
"South",10,0
"South",15,69.0213193817115
"South",20,76.1372189798263
"South",25,76.845524029241
"South",30,75.6105207341459
"South",35,74.9834202924848
"South",40,80.1531919563112
"South",45,66.3492471747813
"South",50,0
"South West",0,0
"South West",5,0
"South West",10,0
"South West",15,69.0213193817115
"South West",20,76.1372189798263
"South West",25,76.845524029241
"South West",30,75.6105207341459
"South West",35,74.9834202924848
"South West",40,80.1531919563112
"South West",45,66.3492471747813
"South West",50,0
"Tigray",0,0
"Tigray",5,0
"Tigray",10,0
"Tigray",15,48.0214621113712
"Tigray",20,57.5114189762592
"Tigray",25,60.5384636496826
"Tigray",30,59.1566795808193
"Tigray",35,51.7128023451534
"Tigray",40,48.1611260535282
"Tigray",45,38.961515182488
"Tigray",50,0
