"region","month","probs"
"Addis Adaba",0,0.280448583529683
"Addis Adaba",1,0
"Addis Adaba",2,0.428051295606839
"Addis Adaba",3,0.581927377836785
"Addis Adaba",4,0.736353271156815
"Addis Adaba",5,0.775363547949234
"Addis Adaba",6,0.896748670395591
"Addis Adaba",7,0.94519120415228
"Addis Adaba",8,0.715748090255773
"Addis Adaba",9,0.760698876777321
"Addis Adaba",10,0.654508860790874
"Addis Adaba",11,0.491916989924769
"Addis Adaba",12,0.937118933085097
"Addis Adaba",13,0.434516332288527
"Addis Adaba",14,0.718271967267424
"Addis Adaba",15,0.576914733390769
"Addis Adaba",16,0.598395676550886
"Addis Adaba",17,1
"Addis Adaba",18,0.765067651939866
"Addis Adaba",19,0.739162398608082
"Addis Adaba",20,0.692376523388691
"Addis Adaba",21,0.767221541266487
"Addis Adaba",22,1
"Addis Adaba",23,0.747062441272732
"Afar",0,0
"Afar",1,0.322326231339622
"Afar",2,0.649362709418695
"Afar",3,0.47462715027928
"Afar",4,0.980986510688017
"Afar",5,0.786886492799186
"Afar",6,0.822337565406155
"Afar",7,0.678992807194116
"Afar",8,0.742351319871703
"Afar",9,0.732459805575923
"Afar",10,0.741293431127539
"Afar",11,0.6886833633437
"Afar",12,0.690830081388759
"Afar",13,0.604043451156254
"Afar",14,0.719681743497395
"Afar",15,0.851850893053003
"Afar",16,0.640038103692328
"Afar",17,0.820257987279774
"Afar",18,0.568375496397647
"Afar",19,0.712965542628281
"Afar",20,0.656875667169497
"Afar",21,0.446390261574428
"Afar",22,1
"Afar",23,1
"Amhara",0,0.338781764436546
"Amhara",1,0.437247220962032
"Amhara",2,0.56146469098272
"Amhara",3,0.652690034113179
"Amhara",4,0.767359362848145
"Amhara",5,0.675970296843402
"Amhara",6,0.734791156587684
"Amhara",7,0.7907014055513
"Amhara",8,0.911179921295123
"Amhara",9,0.627235862051
"Amhara",10,0.83315587322689
"Amhara",11,0.806437476396455
"Amhara",12,0.899467604579653
"Amhara",13,1
"Amhara",14,0.96378341061794
"Amhara",15,0.851625084874072
"Amhara",16,0.893679488580842
"Amhara",17,0.833980034047656
"Amhara",18,0.716044230730565
"Amhara",19,0.780704103899623
"Amhara",20,0.870707908749189
"Amhara",21,0.916937098411627
"Amhara",22,0.930591726679795
"Amhara",23,0.632886451201245
"Benishangul-Gumuz",0,0.168103382928597
"Benishangul-Gumuz",1,0.221791167097321
"Benishangul-Gumuz",2,0.656435253024665
"Benishangul-Gumuz",3,0.922343255511306
"Benishangul-Gumuz",4,0.772534275665961
"Benishangul-Gumuz",5,0.849245812652204
"Benishangul-Gumuz",6,0.833641509015643
"Benishangul-Gumuz",7,0.921891050693921
"Benishangul-Gumuz",8,0.564417733385303
"Benishangul-Gumuz",9,0.841114731766218
"Benishangul-Gumuz",10,0.892616545491988
"Benishangul-Gumuz",11,0.803050484526256
"Benishangul-Gumuz",12,0.846003467189353
"Benishangul-Gumuz",13,0.950196014249822
"Benishangul-Gumuz",14,0.915529433886908
"Benishangul-Gumuz",15,1
"Benishangul-Gumuz",16,0.582251009232084
"Benishangul-Gumuz",17,0.891962692642072
"Benishangul-Gumuz",18,0.79343959540103
"Benishangul-Gumuz",19,0.649444128822429
"Benishangul-Gumuz",20,0.855834213027422
"Benishangul-Gumuz",21,0.8811208626516
"Benishangul-Gumuz",22,0.924212262962652
"Benishangul-Gumuz",23,0.861850364200398
"Central",0,0.0950392187216912
"Central",1,0.315543780116259
"Central",2,0.594102683621297
"Central",3,0.696029290120841
"Central",4,0.745630076788778
"Central",5,0.644626350890192
"Central",6,0.67789927294745
"Central",7,0.851027239249082
"Central",8,0.87425998073972
"Central",9,0.865903303316021
"Central",10,1
"Central",11,0.731747772170557
"Central",12,0.863204710876647
"Central",13,0.8060779721955
"Central",14,0.845975607537444
"Central",15,0.846349817608961
"Central",16,0.744783817317423
"Central",17,1
"Central",18,0.792281711874752
"Central",19,0.758144269674011
"Central",20,0.841327345173776
"Central",21,0.85223431546315
"Central",22,0.562855945968949
"Central",23,1
"Dire Dawa",0,0
"Dire Dawa",1,0.148949960598897
"Dire Dawa",2,0.762520029818735
"Dire Dawa",3,0.653836652956483
"Dire Dawa",4,0.767433696875794
"Dire Dawa",5,0.405000057951529
"Dire Dawa",6,0.772959798019033
"Dire Dawa",7,0.816069381805497
"Dire Dawa",8,0.440888189491325
"Dire Dawa",9,0.691613846364799
"Dire Dawa",10,1
"Dire Dawa",11,0.633925768627089
"Dire Dawa",12,0.608514626859313
"Dire Dawa",13,0.678509059276967
"Dire Dawa",14,0.556230525480076
"Dire Dawa",15,0.747601061585804
"Dire Dawa",16,0.871014204108237
"Dire Dawa",17,0.482506121883896
"Dire Dawa",18,0.849772501077304
"Dire Dawa",19,0.91906467010748
"Dire Dawa",20,0.753044621909791
"Dire Dawa",21,0.846505768359583
"Dire Dawa",22,0.890762253569487
"Dire Dawa",23,0.776679674334902
"Gambela",0,0.558587727412889
"Gambela",1,0
"Gambela",2,0.197882020892866
"Gambela",3,0.127354425704789
"Gambela",4,0.110305118405401
"Gambela",5,0.17034126110076
"Gambela",6,0.176658118058042
"Gambela",7,0.171820298353022
"Gambela",8,0.452826103996447
"Gambela",9,0.335654267749769
"Gambela",10,0.924102552252429
"Gambela",11,0.633644035101555
"Gambela",12,0.732279120057878
"Gambela",13,0.444953158487023
"Gambela",14,0.640910994293308
"Gambela",15,0.325255538944679
"Gambela",16,0.209130411697505
"Gambela",17,0.370953826593495
"Gambela",18,0.237683313072982
"Gambela",19,0.365810015880471
"Gambela",20,0.424227938375492
"Gambela",21,0.495898435349431
"Gambela",22,0.591898108287619
"Gambela",23,0.57816143275289
"Harari",0,0.312341257888298
"Harari",1,0
"Harari",2,0.439314749699175
"Harari",3,0.507427863833193
"Harari",4,0.821559667390816
"Harari",5,0.810703545344817
"Harari",6,0.67455153683867
"Harari",7,0.941632442093267
"Harari",8,0.751429369912782
"Harari",9,0.863520964896937
"Harari",10,0.76288083852646
"Harari",11,0.793148468977637
"Harari",12,0.67103549172354
"Harari",13,0.449993217886693
"Harari",14,0.704203353192387
"Harari",15,0.656276588781988
"Harari",16,0.614982813322919
"Harari",17,0.602438081094043
"Harari",18,0.764666643464541
"Harari",19,0.623593101323964
"Harari",20,1
"Harari",21,0.897503202156498
"Harari",22,0.872778167815185
"Harari",23,0.7186115631208
"Oromia",0,0.182727975409682
"Oromia",1,0.339576547779022
"Oromia",2,0.426188028573458
"Oromia",3,0.633999734058196
"Oromia",4,0.811670533343575
"Oromia",5,0.673564298656703
"Oromia",6,0.795359265004452
"Oromia",7,0.749879202760547
"Oromia",8,0.865726965190587
"Oromia",9,0.926869439009483
"Oromia",10,0.937116521938329
"Oromia",11,0.910661728073573
"Oromia",12,0.881643103125725
"Oromia",13,0.874987332164468
"Oromia",14,0.710379919897199
"Oromia",15,0.82216341636589
"Oromia",16,0.897117631466845
"Oromia",17,0.869212361397202
"Oromia",18,0.845737406956692
"Oromia",19,0.881336528560276
"Oromia",20,0.832718969345799
"Oromia",21,0.638984161941142
"Oromia",22,0.892159851157225
"Oromia",23,0.891937604495012
"Sidama",0,0.0950392187216912
"Sidama",1,0.315543780116259
"Sidama",2,0.594102683621297
"Sidama",3,0.696029290120841
"Sidama",4,0.745630076788778
"Sidama",5,0.644626350890192
"Sidama",6,0.67789927294745
"Sidama",7,0.851027239249082
"Sidama",8,0.87425998073972
"Sidama",9,0.865903303316021
"Sidama",10,1
"Sidama",11,0.731747772170557
"Sidama",12,0.863204710876647
"Sidama",13,0.8060779721955
"Sidama",14,0.845975607537444
"Sidama",15,0.846349817608961
"Sidama",16,0.744783817317423
"Sidama",17,1
"Sidama",18,0.792281711874752
"Sidama",19,0.758144269674011
"Sidama",20,0.841327345173776
"Sidama",21,0.85223431546315
"Sidama",22,0.562855945968949
"Sidama",23,1
"Somali",0,0.145790632696618
"Somali",1,0.290432500531885
"Somali",2,0.593046885066732
"Somali",3,0.589987268622181
"Somali",4,0.689937192811413
"Somali",5,0.76351094565113
"Somali",6,0.864515823836751
"Somali",7,0.852290536215324
"Somali",8,0.76678164650875
"Somali",9,0.839076024847695
"Somali",10,0.72172807710887
"Somali",11,0.732238113114558
"Somali",12,0.803677927909061
"Somali",13,0.713429330696496
"Somali",14,0.507899299359127
"Somali",15,0.51563991464651
"Somali",16,0.51960000199917
"Somali",17,0.509078452419328
"Somali",18,0.67346212313321
"Somali",19,0.613480436196516
"Somali",20,0.708032992744782
"Somali",21,0.85689316892338
"Somali",22,1
"Somali",23,0.924200981296404
"South",0,0.0950392187216912
"South",1,0.315543780116259
"South",2,0.594102683621297
"South",3,0.696029290120841
"South",4,0.745630076788778
"South",5,0.644626350890192
"South",6,0.67789927294745
"South",7,0.851027239249082
"South",8,0.87425998073972
"South",9,0.865903303316021
"South",10,1
"South",11,0.731747772170557
"South",12,0.863204710876647
"South",13,0.8060779721955
"South",14,0.845975607537444
"South",15,0.846349817608961
"South",16,0.744783817317423
"South",17,1
"South",18,0.792281711874752
"South",19,0.758144269674011
"South",20,0.841327345173776
"South",21,0.85223431546315
"South",22,0.562855945968949
"South",23,1
"South West",0,0.0950392187216912
"South West",1,0.315543780116259
"South West",2,0.594102683621297
"South West",3,0.696029290120841
"South West",4,0.745630076788778
"South West",5,0.644626350890192
"South West",6,0.67789927294745
"South West",7,0.851027239249082
"South West",8,0.87425998073972
"South West",9,0.865903303316021
"South West",10,1
"South West",11,0.731747772170557
"South West",12,0.863204710876647
"South West",13,0.8060779721955
"South West",14,0.845975607537444
"South West",15,0.846349817608961
"South West",16,0.744783817317423
"South West",17,1
"South West",18,0.792281711874752
"South West",19,0.758144269674011
"South West",20,0.841327345173776
"South West",21,0.85223431546315
"South West",22,0.562855945968949
"South West",23,1
"Tigray",0,0.171265747648999
"Tigray",1,0.0856954770420969
"Tigray",2,0.263443464629117
"Tigray",3,0.585610943440709
"Tigray",4,0.793954483505709
"Tigray",5,0.615851757989048
"Tigray",6,0.655682418701016
"Tigray",7,0.84986629858487
"Tigray",8,0.715580293046773
"Tigray",9,0.703199124201975
"Tigray",10,0.84660792377003
"Tigray",11,0.853039001200796
"Tigray",12,0.561127767388696
"Tigray",13,0.597938244511889
"Tigray",14,0.596462577734823
"Tigray",15,0.495245230427433
"Tigray",16,0.5318227944997
"Tigray",17,0.641286208657869
"Tigray",18,0.665828031650155
"Tigray",19,0.770405137036068
"Tigray",20,0.693249748167815
"Tigray",21,0.896662545682902
"Tigray",22,0.631417103516986
"Tigray",23,0.684386335067331
