year,region,tfr
2000,addis_ababa,1.8
2000,afar,4.4
2000,amhara,5.5
2000,benishangul_gumuz,5
2000,dire_dawa,3.5
2000,gambela,4.4
2000,harari,4.2
2000,oromia,6.1
2000,snnpr,5.6
2000,somali,5.1
2000,tigray,5.3
2001,addis_ababa,1.72
2001,afar,4.5
2001,amhara,5.42
2001,benishangul_gumuz,5.04
2001,dire_dawa,3.52
2001,gambela,4.32
2001,harari,4.12
2001,oromia,6.12
2001,snnpr,5.6
2001,somali,5.28
2001,tigray,5.26
2002,addis_ababa,1.64
2002,afar,4.6
2002,amhara,5.34
2002,benishangul_gumuz,5.08
2002,dire_dawa,3.54
2002,gambela,4.24
2002,harari,4.04
2002,oromia,6.14
2002,snnpr,5.6
2002,somali,5.46
2002,tigray,5.22
2003,addis_ababa,1.56
2003,afar,4.7
2003,amhara,5.26
2003,benishangul_gumuz,5.12
2003,dire_dawa,3.56
2003,gambela,4.16
2003,harari,3.96
2003,oromia,6.16
2003,snnpr,5.6
2003,somali,5.64
2003,tigray,5.18
2004,addis_ababa,1.48
2004,afar,4.8
2004,amhara,5.18
2004,benishangul_gumuz,5.16
2004,dire_dawa,3.58
2004,gambela,4.08
2004,harari,3.88
2004,oromia,6.18
2004,snnpr,5.6
2004,somali,5.82
2004,tigray,5.14
2005,addis_ababa,1.4
2005,afar,4.9
2005,amhara,5.1
2005,benishangul_gumuz,5.2
2005,dire_dawa,3.6
2005,gambela,4
2005,harari,3.8
2005,oromia,6.2
2005,snnpr,5.6
2005,somali,6
2005,tigray,5.1
2006,addis_ababa,1.416666667
2006,afar,4.916666667
2006,amhara,4.95
2006,benishangul_gumuz,5.2
2006,dire_dawa,3.566666667
2006,gambela,4
2006,harari,3.8
2006,oromia,6.1
2006,snnpr,5.483333333
2006,somali,6.183333333
2006,tigray,5.016666667
2007,addis_ababa,1.433333333
2007,afar,4.933333333
2007,amhara,4.8
2007,benishangul_gumuz,5.2
2007,dire_dawa,3.533333333
2007,gambela,4
2007,harari,3.8
2007,oromia,6
2007,snnpr,5.366666667
2007,somali,6.366666667
2007,tigray,4.933333333
2008,addis_ababa,1.45
2008,afar,4.95
2008,amhara,4.65
2008,benishangul_gumuz,5.2
2008,dire_dawa,3.5
2008,gambela,4
2008,harari,3.8
2008,oromia,5.9
2008,snnpr,5.25
2008,somali,6.55
2008,tigray,4.85
2009,addis_ababa,1.466666667
2009,afar,4.966666667
2009,amhara,4.5
2009,benishangul_gumuz,5.2
2009,dire_dawa,3.466666667
2009,gambela,4
2009,harari,3.8
2009,oromia,5.8
2009,snnpr,5.133333333
2009,somali,6.733333333
2009,tigray,4.766666667
2010,addis_ababa,1.483333333
2010,afar,4.983333333
2010,amhara,4.35
2010,benishangul_gumuz,5.2
2010,dire_dawa,3.433333333
2010,gambela,4
2010,harari,3.8
2010,oromia,5.7
2010,snnpr,5.016666667
2010,somali,6.916666667
2010,tigray,4.683333333
2011,addis_ababa,1.5
2011,afar,5
2011,amhara,4.2
2011,benishangul_gumuz,5.2
2011,dire_dawa,3.4
2011,gambela,4
2011,harari,3.8
2011,oromia,5.6
2011,snnpr,4.9
2011,somali,7.1
2011,tigray,4.6
2012,addis_ababa,1.56
2012,afar,5.1
2012,amhara,4.1
2012,benishangul_gumuz,5.04
2012,dire_dawa,3.34
2012,gambela,3.9
2012,harari,3.86
2012,oromia,5.56
2012,snnpr,4.8
2012,somali,7.12
2012,tigray,4.62
2013,addis_ababa,1.62
2013,afar,5.2
2013,amhara,4
2013,benishangul_gumuz,4.88
2013,dire_dawa,3.28
2013,gambela,3.8
2013,harari,3.92
2013,oromia,5.52
2013,snnpr,4.7
2013,somali,7.14
2013,tigray,4.64
2014,addis_ababa,1.68
2014,afar,5.3
2014,amhara,3.9
2014,benishangul_gumuz,4.72
2014,dire_dawa,3.22
2014,gambela,3.7
2014,harari,3.98
2014,oromia,5.48
2014,snnpr,4.6
2014,somali,7.16
2014,tigray,4.66
2015,addis_ababa,1.74
2015,afar,5.4
2015,amhara,3.8
2015,benishangul_gumuz,4.56
2015,dire_dawa,3.16
2015,gambela,3.6
2015,harari,4.04
2015,oromia,5.44
2015,snnpr,4.5
2015,somali,7.18
2015,tigray,4.68
2016,addis_ababa,1.8
2016,afar,5.5
2016,amhara,3.7
2016,benishangul_gumuz,4.4
2016,dire_dawa,3.1
2016,gambela,3.5
2016,harari,4.1
2016,oromia,5.4
2016,snnpr,4.4
2016,somali,7.2
2016,tigray,4.7
2017,addis_ababa,1.966666667
2017,afar,5.6
2017,amhara,3.666666667
2017,benishangul_gumuz,4.5
2017,dire_dawa,3.133333333
2017,gambela,3.5
2017,harari,3.966666667
2017,oromia,5.033333333
2017,snnpr,4.3
2017,somali,6.733333333
2017,tigray,4.433333333
2018,addis_ababa,2.133333333
2018,afar,5.7
2018,amhara,3.633333333
2018,benishangul_gumuz,4.6
2018,dire_dawa,3.166666667
2018,gambela,3.5
2018,harari,3.833333333
2018,oromia,4.666666667
2018,snnpr,4.2
2018,somali,6.266666667
2018,tigray,4.166666667
2019,addis_ababa,2.3
2019,afar,5.8
2019,amhara,3.6
2019,benishangul_gumuz,4.7
2019,dire_dawa,3.2
2019,gambela,3.5
2019,harari,3.7
2019,oromia,4.3
2019,snnpr,4.1
2019,somali,5.8
2019,tigray,3.9
