"region","urban","urban.se"
"addis_ababa",1.00000000000001,4.12231502408369e-16
"afar",0.273257977108495,0.0339388293103058
"amhara",0.193094380514167,0.0135931283517513
"benishangul_gumuz",0.166068737104956,0.026976448974451
"central",0.129412450011042,0.0174904936269903
"dire_dawa",0.713509097285621,0.0265059690702648
"gambela",0.465291659602166,0.0356145800775992
"harari",0.573914519215708,0.0187856113593254
"oromia",0.152365328292441,0.0210506922788692
"sidama",0.129412450011042,0.0174904936269903
"somali",0.188826335019977,0.0284937832531422
"south",0.129412450011042,0.0174904936269903
"southwest",0.129412450011042,0.0174904936269903
"tigray",0.247203553338378,0.0215920547956037
