"age","parity","dataset","Freq","percentage"
"15-19",0,"DHS 2011",1924.989767,21.6656138431688
"15-19",0,"PMA 2019",1748.83636860177,19.7899328005521
"15-19",1,"DHS 2011",251.050641,2.82555592566223
"15-19",1,"PMA 2019",196.918906353414,2.22834565535026
"15-19",2,"DHS 2011",31.507224,0.354611416723558
"15-19",2,"PMA 2019",24.3285290822387,0.275303032529406
"15-19",3,"DHS 2011",1.592348,0.017921755981959
"15-19",3,"PMA 2019",3.1659946590662,0.0358265774172577
"15-19",4,"DHS 2011",0.943743,0.0106217558948684
"15-19",5,"PMA 2019",1.97493064403534,0.0223484286082515
"20-24",0,"DHS 2011",605.228453,6.81180034012953
"20-24",0,"PMA 2019",681.867311667651,7.71604966540395
"20-24",1,"DHS 2011",467.820574,5.26528508251212
"20-24",1,"PMA 2019",482.009445890784,5.45444657640358
"20-24",2,"DHS 2011",266.3605,2.99786722766167
"20-24",2,"PMA 2019",266.185324352235,3.01216842009959
"20-24",3,"DHS 2011",99.296383,1.11757326037848
"20-24",3,"PMA 2019",87.6768935024738,0.99215676304947
"20-24",4,"DHS 2011",34.820152,0.391898170122814
"20-24",4,"PMA 2019",19.0508399233222,0.215580398855756
"20-24",5,"DHS 2011",5.965134,0.0671371307953332
"20-24",5,"PMA 2019",3.73203928396106,0.0422319709062661
"20-24",6,"DHS 2011",1.151756,0.0129629264348982
"20-24",6,"PMA 2019",2.25435706600547,0.0255104340495661
"25-29",0,"DHS 2011",247.783432,2.78878373614081
"25-29",0,"PMA 2019",283.126309789717,3.20387358440319
"25-29",1,"DHS 2011",277.57045,3.1240343647887
"25-29",1,"PMA 2019",375.841600164771,4.25304513586914
"25-29",2,"DHS 2011",441.152803,4.96514134229656
"25-29",2,"PMA 2019",407.695037834346,4.61350046620485
"25-29",3,"DHS 2011",292.680037,3.29409162061606
"25-29",3,"PMA 2019",261.825465388596,2.96283200563602
"25-29",4,"DHS 2011",215.083646,2.42075012454693
"25-29",4,"PMA 2019",180.592089481652,2.0435904578143
"25-29",5,"DHS 2011",98.512674,1.1087526750172
"25-29",5,"PMA 2019",78.6072780638933,0.88952447378626
"25-29",6,"DHS 2011",94.500106,1.06359152647616
"25-29",6,"PMA 2019",72.5460388921201,0.82093514315988
"30-34",0,"DHS 2011",56.051299,0.63085311951271
"30-34",0,"PMA 2019",72.2513028457761,0.817599893129763
"30-34",1,"DHS 2011",72.76956,0.81901587921392
"30-34",1,"PMA 2019",97.0524041354656,1.09825057990331
"30-34",2,"DHS 2011",172.343391,1.93971179579172
"30-34",2,"PMA 2019",196.155573181808,2.21970773333438
"30-34",3,"DHS 2011",222.319426,2.50218827971097
"30-34",3,"PMA 2019",203.761149354279,2.30577287016763
"30-34",4,"DHS 2011",214.917792,2.41888345035471
"30-34",4,"PMA 2019",202.123854283243,2.28724514509729
"30-34",5,"DHS 2011",189.081659,2.12809973276067
"30-34",5,"PMA 2019",157.14728635177,1.77828771892313
"30-34",6,"DHS 2011",232.244519,2.61389444874202
"30-34",6,"PMA 2019",221.695351973176,2.50871733714668
"35-39",0,"DHS 2011",43.272801,0.487032093598807
"35-39",0,"PMA 2019",49.8969632163644,0.56463690184632
"35-39",1,"DHS 2011",53.898923,0.606628290861294
"35-39",1,"PMA 2019",54.4280374795198,0.615910798473853
"35-39",2,"DHS 2011",97.615577,1.09865591631486
"35-39",2,"PMA 2019",101.147806555033,1.14459438892373
"35-39",3,"DHS 2011",125.994307,1.41805637032234
"35-39",3,"PMA 2019",110.216253548861,1.24721345599901
"35-39",4,"DHS 2011",200.927002,2.26141816991675
"35-39",4,"PMA 2019",164.735520586371,1.86415661339133
"35-39",5,"DHS 2011",187.951157,2.11537601848395
"35-39",5,"PMA 2019",194.098339106888,2.19642795437471
"35-39",6,"DHS 2011",355.25537,3.99837224803911
"35-39",6,"PMA 2019",479.233376923949,5.423032420517
"40-44",0,"DHS 2011",17.92331,0.201725494809556
"40-44",0,"PMA 2019",29.5979323834181,0.334931902960962
"40-44",1,"DHS 2011",35.990395,0.405069166340724
"40-44",1,"PMA 2019",21.3025755435228,0.241061168474019
"40-44",2,"DHS 2011",25.493553,0.286928005674099
"40-44",2,"PMA 2019",46.4846054017544,0.526022464809788
"40-44",3,"DHS 2011",52.439499,0.590202584418849
"40-44",3,"PMA 2019",65.8937855437398,0.745657862163059
"40-44",4,"DHS 2011",124.618831,1.40257549225357
"40-44",4,"PMA 2019",76.9151460789144,0.870376211047894
"40-44",5,"DHS 2011",102.804942,1.15706182584677
"40-44",5,"PMA 2019",109.484679296613,1.23893491973882
"40-44",6,"DHS 2011",380.042777,4.27735263403482
"40-44",6,"PMA 2019",431.458297345787,4.88240687580193
"45-49",0,"DHS 2011",19.691702,0.22162861266096
"45-49",0,"PMA 2019",17.1799319162965,0.194409096382983
"45-49",1,"DHS 2011",15.912199,0.179090593020102
"45-49",1,"PMA 2019",14.0876224711537,0.159416345078975
"45-49",2,"DHS 2011",26.229672,0.295212969194437
"45-49",2,"PMA 2019",26.090009778738,0.295236049270739
"45-49",3,"DHS 2011",42.867626,0.482471879700846
"45-49",3,"PMA 2019",27.5526229403913,0.311787063820753
"45-49",4,"DHS 2011",68.680714,0.772996227567541
"45-49",4,"PMA 2019",51.6179953292012,0.584112200091555
"45-49",5,"DHS 2011",93.90717,1.05691807676233
"45-49",5,"PMA 2019",78.1323318183422,0.884149954790612
"45-49",6,"DHS 2011",295.744898,3.32858639874284
"45-49",6,"PMA 2019",359.024519424886,4.06274208424065
