region,barrier,perc
Addis Ababa,Access,0.17064846
Afar,Access,0.17064846
Amhara,Access,0.76791809
Benishangul-Gumuz,Access,0.08532423
Dire Dawa,Access,0
Gambela,Access,0.17064846
Harari,Access,0
Oromia,Access,0.51194539
SNNPR,Access,0.76791809
Somali,Access,0
Tigray,Access,0.08532423
Addis Ababa,Health,1.19453925
Afar,Health,0.17064846
Amhara,Health,3.83959044
Benishangul-Gumuz,Health,0.08532423
Dire Dawa,Health,0.68259386
Gambela,Health,0.2559727
Harari,Health,0.51194539
Oromia,Health,5.54607509
SNNPR,Health,6.14334471
Somali,Health,0
Tigray,Health,2.47440273
Addis Ababa,Knowledge,0.08532423
Afar,Knowledge,0
Amhara,Knowledge,0.2559727
Benishangul-Gumuz,Knowledge,0
Dire Dawa,Knowledge,0
Gambela,Knowledge,0.17064846
Harari,Knowledge,0
Oromia,Knowledge,0.42662116
SNNPR,Knowledge,0.17064846
Somali,Knowledge,0.17064846
Tigray,Knowledge,0
Addis Ababa,No need,5.46075085
Afar,No need,1.10921502
Amhara,No need,11.51877133
Benishangul-Gumuz,No need,2.64505119
Dire Dawa,No need,4.01023891
Gambela,No need,2.21843003
Harari,No need,2.90102389
Oromia,No need,8.61774744
SNNPR,No need,11.34812287
Somali,No need,0.51194539
Tigray,No need,8.19112628
Addis Ababa,Opposition,0.59726962
Afar,Opposition,0.59726962
Amhara,Opposition,2.90102389
Benishangul-Gumuz,Opposition,0.42662116
Dire Dawa,Opposition,1.96245734
Gambela,Opposition,0.17064846
Harari,Opposition,1.27986348
Oromia,Opposition,3.58361775
SNNPR,Opposition,3.92491468
Somali,Opposition,0.2559727
Tigray,Opposition,0.85324232
