Year,Region,Method,Perc,Freq
2000,Addis Ababa,Condoms,2.7,0.027
2000,Addis Ababa,Implants,0.3,0.003
2000,Addis Ababa,Injectables,4.8,0.048
2000,Addis Ababa,IUDs,1.3,0.013
2000,Addis Ababa,Other modern,0,0
2000,Addis Ababa,Other traditional,4.7,0.047
2000,Addis Ababa,Pills,5.2,0.052
2000,Addis Ababa,Sterilization,1.3,0.013
2000,Addis Ababa,Withdrawal,0.6,0.006
2000,Afar,Condoms,0.3,0.003
2000,Afar,Implants,0,0
2000,Afar,Injectables,1.7,0.017
2000,Afar,IUDs,0,0
2000,Afar,Other modern,0,0
2000,Afar,Other traditional,0.3,0.003
2000,Afar,Pills,3.9,0.039
2000,Afar,Sterilization,0.5,0.005
2000,Afar,Withdrawal,0,0
2000,Amhara,Condoms,0.1,0.001
2000,Amhara,Implants,0,0
2000,Amhara,Injectables,2.6,0.026
2000,Amhara,IUDs,0,0
2000,Amhara,Other modern,0,0
2000,Amhara,Other traditional,0.6,0.006
2000,Amhara,Pills,2.6,0.026
2000,Amhara,Sterilization,0.1,0.001
2000,Amhara,Withdrawal,0,0
2000,Benishangul-Gumuz,Condoms,0.2,0.002
2000,Benishangul-Gumuz,Implants,0,0
2000,Benishangul-Gumuz,Injectables,4.1,0.041
2000,Benishangul-Gumuz,IUDs,0,0
2000,Benishangul-Gumuz,Other modern,0,0
2000,Benishangul-Gumuz,Other traditional,0.3,0.003
2000,Benishangul-Gumuz,Pills,1.6,0.016
2000,Benishangul-Gumuz,Sterilization,0.4,0.004
2000,Benishangul-Gumuz,Withdrawal,0.1,0.001
2000,Dire Dawa,Condoms,1.9,0.019
2000,Dire Dawa,Implants,0.5,0.005
2000,Dire Dawa,Injectables,5.7,0.057
2000,Dire Dawa,IUDs,1,0.01
2000,Dire Dawa,Other modern,0,0
2000,Dire Dawa,Other traditional,3.5,0.035
2000,Dire Dawa,Pills,5.3,0.053
2000,Dire Dawa,Sterilization,0.1,0.001
2000,Dire Dawa,Withdrawal,0.2,0.002
2000,Gambela,Condoms,0.2,0.002
2000,Gambela,Implants,0,0
2000,Gambela,Injectables,3.5,0.035
2000,Gambela,IUDs,0,0
2000,Gambela,Other modern,0,0
2000,Gambela,Other traditional,0.9,0.009
2000,Gambela,Pills,6,0.06
2000,Gambela,Sterilization,0.3,0.003
2000,Gambela,Withdrawal,0,0
2000,Harari,Condoms,1.9,0.019
2000,Harari,Implants,0.5,0.005
2000,Harari,Injectables,4.1,0.041
2000,Harari,IUDs,0.4,0.004
2000,Harari,Other modern,0,0
2000,Harari,Other traditional,2,0.02
2000,Harari,Pills,5,0.05
2000,Harari,Sterilization,0.4,0.004
2000,Harari,Withdrawal,0.3,0.003
2000,Oromia,Condoms,0.3,0.003
2000,Oromia,Implants,0,0
2000,Oromia,Injectables,1.1,0.011
2000,Oromia,IUDs,0,0
2000,Oromia,Other modern,0,0
2000,Oromia,Other traditional,1.3,0.013
2000,Oromia,Pills,1.3,0.013
2000,Oromia,Sterilization,0.2,0.002
2000,Oromia,Withdrawal,0.2,0.002
2000,SNNPR,Condoms,0.4,0.004
2000,SNNPR,Implants,0,0
2000,SNNPR,Injectables,2,0.02
2000,SNNPR,IUDs,0,0
2000,SNNPR,Other modern,0,0
2000,SNNPR,Other traditional,0.7,0.007
2000,SNNPR,Pills,1.2,0.012
2000,SNNPR,Sterilization,0.1,0.001
2000,SNNPR,Withdrawal,0.2,0.002
2000,Somali,Condoms,0.6,0.006
2000,Somali,Implants,0,0
2000,Somali,Injectables,0.4,0.004
2000,Somali,IUDs,0,0
2000,Somali,Other modern,0,0
2000,Somali,Other traditional,0.5,0.005
2000,Somali,Pills,1.7,0.017
