age,region,perc
0,Addis Ababa,0
5,Addis Ababa,0
10,Addis Ababa,0
15,Addis Ababa,4.938183
20,Addis Ababa,23.485852
25,Addis Ababa,45.095993
30,Addis Ababa,44.119399
35,Addis Ababa,42.884594
40,Addis Ababa,41.354786
45,Addis Ababa,30.629064
50,Addis Ababa,30.629064
0,Afar,0
5,Afar,0
10,Afar,0
15,Afar,26.477082
20,Afar,61.880685
25,Afar,63.270923
30,Afar,62.504016
35,Afar,69.642974
40,Afar,72.170926
45,Afar,36.026939
50,Afar,36.026939
0,Amhara,0
5,Amhara,0
10,Amhara,0
15,Amhara,18.676323
20,Amhara,47.624907
25,Amhara,68.253581
30,Amhara,70.291497
35,Amhara,71.113327
40,Amhara,68.427166
45,Amhara,64.998227
50,Amhara,64.998227
0,Benishangul-Gumuz,0
5,Benishangul-Gumuz,0
10,Benishangul-Gumuz,0
15,Benishangul-Gumuz,18.748693
20,Benishangul-Gumuz,61.176628
25,Benishangul-Gumuz,79.609863
30,Benishangul-Gumuz,73.198711
35,Benishangul-Gumuz,76.460302
40,Benishangul-Gumuz,81.865051
45,Benishangul-Gumuz,63.528688
50,Benishangul-Gumuz,63.528688
0,Dire Dawa,0
5,Dire Dawa,0
10,Dire Dawa,0
15,Dire Dawa,16.275721
20,Dire Dawa,46.455721
25,Dire Dawa,56.773481
30,Dire Dawa,56.672613
35,Dire Dawa,52.781144
40,Dire Dawa,47.253385
45,Dire Dawa,43.907839
50,Dire Dawa,43.907839
0,Gambela,0
5,Gambela,0
10,Gambela,0
15,Gambela,17.355256
20,Gambela,46.748265
25,Gambela,46.906959
30,Gambela,53.00526
35,Gambela,57.974215
40,Gambela,52.12355
45,Gambela,49.581698
50,Gambela,49.581698
0,Harari,0
5,Harari,0
10,Harari,0
15,Harari,17.609022
20,Harari,49.401482
25,Harari,59.541466
30,Harari,53.681201
35,Harari,53.046955
40,Harari,44.766715
45,Harari,39.928588
50,Harari,39.928588
0,Oromia,0
5,Oromia,0
10,Oromia,0
15,Oromia,16.324713
20,Oromia,61.387284
25,Oromia,79.744718
30,Oromia,73.141136
35,Oromia,70.669111
40,Oromia,70.070428
45,Oromia,62.625028
50,Oromia,62.625028
0,SNNPR,0
5,SNNPR,0
10,SNNPR,0
15,SNNPR,11.053994
20,SNNPR,46.797423
25,SNNPR,64.480772
30,SNNPR,72.428857
35,SNNPR,74.064696
40,SNNPR,78.446504
45,SNNPR,65.776287
50,SNNPR,65.776287
0,Somali,0
5,Somali,0
10,Somali,0
15,Somali,15.957323
20,Somali,51.523513
25,Somali,61.970034
30,Somali,57.072149
35,Somali,67.350863
40,Somali,61.614467
45,Somali,45.086483
50,Somali,45.086483
0,Tigray,0
5,Tigray,0
10,Tigray,0
15,Tigray,12.973801
20,Tigray,46.931252
25,Tigray,57.320536
30,Tigray,58.896967
35,Tigray,51.078061
40,Tigray,48.161126
45,Tigray,38.961515
50,Tigray,38.961515
