Region,Var1,Freq,Perc,Use
Addis Ababa,0,0.740,74,No current method
Afar,0,0.900,90,No current method
Amhara,0,0.659,65.9,No current method
Benishangul-Gumuz,0,0.780,78,No current method
Dire Dawa,0,0.804,80.4,No current method
Gambela,0,0.735,73.5,No current method
Harari,0,0.797,79.7,No current method
Oromia,0,0.787,78.7,No current method
SNNPR,0,0.733,73.3,No current method
Somali,0,0.989,98.9,No current method
Tigray,0,0.748,74.8,No current method
Addis Ababa,1,0.260,26,Any current method
Afar,1,0.100,10,Any current method
Amhara,1,0.341,34.1,Any current method
Benishangul-Gumuz,1,0.220,22,Any current method
Dire Dawa,1,0.196,19.6,Any current method
Gambela,1,0.265,26.5,Any current method
Harari,1,0.203,20.3,Any current method
Oromia,1,0.213,21.3,Any current method
SNNPR,1,0.267,26.7,Any current method
Somali,1,0.011,1.1,Any current method
Tigray,1,0.252,25.2,Any current method
