year,region,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
2000,Addis Ababa,1,22,78,124,93,45,3,4
2000,Afar,0,133,229,198,171,96,51,5
2000,Amhara,4,143,235,230,226,153,105,12
2000,Benishangul-Gumuz,0,110,248,222,188,163,74,NA
2000,Dire Dawa,0,49,113,181,195,95,59,NA
2000,Gambela,1,96,212,213,175,130,35,NA
2000,Harari,0,86,178,189,185,152,37,14
2000,Oromia,0,104,263,280,275,191,83,16
2000,SNNPR,1,60,226,265,250,178,95,38
2000,Somali,0,128,242,239,184,124,97,NA
2000,Tigray,1,99,213,234,238,183,84,19
2001,Addis Ababa,1,21,74.2,115.4,89.4,41.2,5.8,3.2
2001,Afar,0.8,129,230.8,198,175.6,102.4,54.2,5.9375
2001,Amhara,4.2,134.8,233.8,229.8,222.2,150.8,96.6,18.6
2001,Benishangul-Gumuz,0,112.6,252.6,232.6,186,152.6,68,NA
2001,Dire Dawa,0,50.6,132.6,174.8,190.4,96.8,51.2,NA
2001,Gambela,1.2,102.8,210.2,201,167,123.2,31.8,NA
2001,Harari,0,86.6,180.2,189.2,177.4,143.6,35.6,NA
2001,Oromia,0.2,109.6,260.6,278,272,191.4,88,17.2
2001,SNNPR,1,63.6,226,262.6,253.4,175,94.6,40
2001,Somali,1.4,129.4,255.2,240.6,189,134.6,101.4545455,NA
2001,Tigray,1.4,100,217.6,231,227.2,176.4,88.4,20.4
2002,Addis Ababa,1,20,70.4,106.8,85.8,37.4,8.6,2.4
2002,Afar,1.6,125,232.6,198,180.2,108.8,57.4,6.875
2002,Amhara,4.4,126.6,232.6,229.6,218.4,148.6,88.2,25.2
2002,Benishangul-Gumuz,0,115.2,257.2,243.2,184,142.2,62,NA
2002,Dire Dawa,0,52.2,152.2,168.6,185.8,98.6,43.4,NA
2002,Gambela,1.4,109.6,208.4,189,159,116.4,28.6,NA
2002,Harari,0,87.2,182.4,189.4,169.8,135.2,34.2,NA
2002,Oromia,0.4,115.2,258.2,276,269,191.8,93,18.4
2002,SNNPR,1,67.2,226,260.2,256.8,172,94.2,42
2002,Somali,2.8,130.8,268.4,242.2,194,145.2,105.9090909,NA
2002,Tigray,1.8,101,222.2,228,216.4,169.8,92.8,21.8
2003,Addis Ababa,1,19,66.6,98.2,82.2,33.6,11.4,1.6
2003,Afar,2.4,121,234.4,198,184.8,115.2,60.6,7.8125
2003,Amhara,4.6,118.4,231.4,229.4,214.6,146.4,79.8,31.8
2003,Benishangul-Gumuz,0,117.8,261.8,253.8,182,131.8,56,NA
2003,Dire Dawa,0,53.8,171.8,162.4,181.2,100.4,35.6,NA
2003,Gambela,1.6,116.4,206.6,177,151,109.6,25.4,NA
2003,Harari,0,87.8,184.6,189.6,162.2,126.8,32.8,NA
2003,Oromia,0.6,120.8,255.8,274,266,192.2,98,19.6
2003,SNNPR,1,70.8,226,257.8,260.2,169,93.8,44
2003,Somali,4.2,132.2,281.6,243.8,199,155.8,110.3636364,NA
2003,Tigray,2.2,102,226.8,225,205.6,163.2,97.2,23.2
2004,Addis Ababa,1,18,62.8,89.6,78.6,29.8,14.2,0.8
2004,Afar,3.2,117,236.2,198,189.4,121.6,63.8,8.75
