"parameter","region","fitgumbel$estimate"
"a","addis adaba",8.59501372433084
"b","addis adaba",7.48129018437151
"a","afar",7.15815591356047
"b","afar",6.30456236456081
"a","amhara",12.5669036575218
"b","amhara",10.7546653157766
"a","benishangul",10.1823090269959
"b","benishangul",8.90955024151107
"a","dire dawa",9.25467239093859
"b","dire dawa",7.8327779258538
"a","gambela",11.0573172185163
"b","gambela",8.95650532716312
"a","harari",8.03037384408415
"b","harari",6.90532849979381
"a","oromia",9.09671867673669
"b","oromia",8.12282272074618
"a","snnpr",10.8948038961311
"b","snnpr",9.14617213460201
"a","somali",6.26613513894357
"b","somali",5.53459861844008
"a","tigray",8.45879617882805
"b","tigray",7.07125136516254
