region,counseling,odds_ratio,ci_lower,ci_upper
(Intercept),Home Visit,0.3242107,0.2620344,0.4011404
Addis Ababa,Home Visit,0.5890118,0.4527123,0.7663475
Afar,Home Visit,0.6254891,0.4542427,0.8612942
Amhara,Home Visit,1.1021678,0.8187663,1.4836636
Benishangul-Gumuz,Home Visit,2.2689547,1.7083646,3.0134994
Dire Dawa,Home Visit,0.9151816,0.6863432,1.2203185
Gambela,Home Visit,0.5445181,0.381984,0.7762104
Harari,Home Visit,1.4518625,1.0655247,1.9782786
SNNPR,Home Visit,0.9184506,0.7076715,1.19201
Somali,Home Visit,0.39826,0.2737166,0.5794716
Tigray,Home Visit,1.9019704,1.4568299,2.4831253
(Intercept),Health Facility Visit,0.5776954,0.4595869,0.7261563
Addis Ababa,Health Facility Visit,0.5436622,0.4003222,0.7383269
Afar,Health Facility Visit,0.3941829,0.2700067,0.5754677
Amhara,Health Facility Visit,0.8878718,0.6816073,1.156555
Benishangul-Gumuz,Health Facility Visit,0.8376974,0.5929251,1.183517
Dire Dawa,Health Facility Visit,1.0560823,0.7652221,1.4574982
Gambela,Health Facility Visit,0.5296597,0.366004,0.7664929
Harari,Health Facility Visit,3.1452878,2.1695299,4.5598982
SNNPR,Health Facility Visit,1.1511583,0.8582575,1.5440184
Somali,Health Facility Visit,0.2161826,0.1147701,0.4072046
Tigray,Health Facility Visit,1.5678079,1.1805364,2.0821226
