region,age,male,female
Addis Ababa,0,85808,84859
Addis Ababa,5,108489,111190
Addis Ababa,10,133471,145996
Addis Ababa,15,147218,186305
Addis Ababa,20,129919,146393
Addis Ababa,25,100445,110036
Addis Ababa,30,70030,69564
Addis Ababa,35,63485,72648
Addis Ababa,40,50878,41109
Addis Ababa,45,42145,31884
Addis Ababa,50,29904,26223
Addis Ababa,55,20016,17206
Addis Ababa,60,15553,15942
Addis Ababa,65,10196,10025
Addis Ababa,70,6959,8397
Addis Ababa,75,4145,4493
Addis Ababa,80,4791,7015
Afar,0,69062,56153
Afar,5,112308,82910
Afar,10,112744,72748
Afar,15,80833,50840
Afar,20,50599,38664
Afar,25,32117,35948
Afar,30,31941,39577
Afar,35,26482,30428
Afar,40,32553,27661
Afar,45,19301,13503
Afar,50,19583,12283
Afar,55,8486,4301
Afar,60,12439,5147
Afar,65,4446,1815
Afar,70,4755,1924
Afar,75,763,1770
Afar,80,2864,1236
Amhara,0,1063425,1039862
Amhara,5,1083627,1072118
Amhara,10,962649,885335
Amhara,15,742766,740028
Amhara,20,525138,564480
Amhara,25,481007,531523
Amhara,30,366492,420412
Amhara,35,342041,367473
Amhara,40,292577,309360
Amhara,45,248468,211516
Amhara,50,224383,236333
Amhara,55,149310,120785
Amhara,60,164406,154539
Amhara,65,109904,78971
Amhara,70,92528,80203
Amhara,75,45471,31283
Amhara,80,53354,42530
Benishangul-Gumuz,0,35598,34318
Benishangul-Gumuz,5,39054,37365
Benishangul-Gumuz,10,32713,29278
Benishangul-Gumuz,15,24422,25554
Benishangul-Gumuz,20,16876,20317
Benishangul-Gumuz,25,16931,19999
Benishangul-Gumuz,30,12647,14377
Benishangul-Gumuz,35,12416,13029
Benishangul-Gumuz,40,10141,9834
Benishangul-Gumuz,45,8190,6328
Benishangul-Gumuz,50,7273,5859
Benishangul-Gumuz,55,3908,2576
Benishangul-Gumuz,60,4713,3334
Benishangul-Gumuz,65,2369,1422
Benishangul-Gumuz,70,2399,1783
Benishangul-Gumuz,75,1085,606
Benishangul-Gumuz,80,2278,1467
Dire Dawa,0,14298,13734
Dire Dawa,5,17214,16885
Dire Dawa,10,17090,16068
Dire Dawa,15,16282,17286
Dire Dawa,20,12627,13529
Dire Dawa,25,10845,12287
Dire Dawa,30,9248,9056
Dire Dawa,35,8023,7516
Dire Dawa,40,6771,5182
Dire Dawa,45,4096,3089
Dire Dawa,50,3585,3118
Dire Dawa,55,1701,1466
Dire Dawa,60,2310,2151
Dire Dawa,65,970,829
Dire Dawa,70,1075,1070
Dire Dawa,75,403,337
Dire Dawa,80,748,975
Gambela,0,10221,9611
Gambela,5,13175,12006
Gambela,10,12261,10565
Gambela,15,10450,10550
Gambela,20,7267,8777
Gambela,25,8047,8675
Gambela,30,5341,5654
Gambela,35,5085,4622
Gambela,40,3849,2652
Gambela,45,2915,1886
Gambela,50,1835,1431
Gambela,55,1015,633
Gambela,60,966,707
Gambela,65,524,369
Gambela,70,322,259
Gambela,75,140,102
Gambela,80,286,199
Harari,0,7065,6802
Harari,5,9115,8538
Harari,10,9372,8546
Harari,15,8362,8991
Harari,20,5951,6691
Harari,25,5040,6071
Harari,30,4877,4738
Harari,35,4107,3843
Harari,40,3558,2716
Harari,45,2079,1727
Harari,50,1893,1974
Harari,55,841,927
Harari,60,1340,1549
Harari,65,552,610
Harari,70,628,851
Harari,75,293,276
Harari,80,477,739
Oromia,0,1442519,1422074
Oromia,5,1532890,1505140
Oromia,10,1393884,1304803
Oromia,15,1035413,1014714
Oromia,20,707714,732536
Oromia,25,582995,668193
Oromia,30,461922,534411
Oromia,35,437055,500521
Oromia,40,378198,399230
Oromia,45,288268,256814
Oromia,50,261594,280113
Oromia,55,160156,136644
Oromia,60,202344,196458
Oromia,65,107773,81931
Oromia,70,107203,96120
Oromia,75,50593,34575
Oromia,80,89887,69135
SNNPR,0,763492,760552
SNNPR,5,911412,894035
SNNPR,10,791413,724175
SNNPR,15,567482,565414
SNNPR,20,365270,435650
SNNPR,25,363297,435550
SNNPR,30,275582,326932
SNNPR,35,271387,317524
SNNPR,40,217935,224555
SNNPR,45,169706,156831
SNNPR,50,137902,130372
SNNPR,55,79859,63999
SNNPR,60,93050,77540
SNNPR,65,48413,35048
SNNPR,70,43511,30689
SNNPR,75,20461,12507
SNNPR,80,37843,21804
Somali,0,236849,209061
Somali,5,354039,286088
Somali,10,365196,267903
Somali,15,248098,173908
Somali,20,146947,114943
Somali,25,86685,101700
Somali,30,80398,101909
Somali,35,57492,78121
Somali,40,80933,78380
Somali,45,41953,36890
Somali,50,53574,40614
Somali,55,19403,11803
Somali,60,37735,18706
Somali,65,9732,4490
Somali,70,15531,7237
Somali,75,2951,1430
Somali,80,7901,4565
Tigray,0,261861,252783
Tigray,5,240133,232822
Tigray,10,219045,197837
Tigray,15,173769,187510
Tigray,20,109417,124222
Tigray,25,90319,106892
Tigray,30,68595,96373
Tigray,35,62249,79568
Tigray,40,60576,68394
Tigray,45,58540,52697
Tigray,50,52789,59163
Tigray,55,40640,38137
Tigray,60,36559,40860
Tigray,65,26686,22138
Tigray,70,19746,19529
Tigray,75,10471,7045
Tigray,80,10770,8132
